hold,rsi,dist,maxdist,minatr,exitbuf,train_pf,test_pf,all_pf,train_tpd,test_tpd,all_tpd,trades,net,dd,score
8,37.0,1.35,2.5,0.0,0.2,1.16851215513545,2.2219899230769906,1.5307775032846167,0.49394553043765754,0.8338848444738584,0.5524712254570074,153,5979.011428571435,1449.6128571429094,1.5823141803839946
8,37.0,1.35,2.5,0.0002,0.2,1.16851215513545,2.2219899230769906,1.5307775032846167,0.49394553043765754,0.8338848444738584,0.5524712254570074,153,5979.011428571435,1449.6128571429094,1.5823141803839946
8,37.0,1.35,2.5,0.0003,0.2,1.1637644872197737,2.2219899230769906,1.5276624427411203,0.48799437946852914,0.8338848444738584,0.5488603024148048,152,5943.921428571437,1449.6128571429094,1.5803237051442662
8,37.0,1.35,2.5,0.0004,0.2,1.1637644872197737,2.2053646965453755,1.5219454322252726,0.48799437946852914,0.8190715181932247,0.5416384563303994,150,5879.521428571453,1514.0128571428936,1.56940585879765
10,45.0,1.35,2.5,0.0003,0.3,1.1984987240597598,2.242957314590668,1.5031451009520955,0.6684605114511657,0.9291859695565851,0.6896863010607086,191,7172.472857142951,2530.720000000035,1.568147207824194
10,37.0,1.35,2.5,0.0,0.2,1.0032394762781074,2.3511952540765186,1.4384057169368007,0.48202330771138113,0.8338848444738584,0.5452493793726021,151,5406.541428571482,1894.9428571429223,1.566943060045663
10,37.0,1.35,2.5,0.0002,0.2,1.0032394762781074,2.3511952540765186,1.4384057169368007,0.48202330771138113,0.8338848444738584,0.5452493793726021,151,5406.541428571482,1894.9428571429223,1.566943060045663
10,37.0,1.35,2.5,0.0003,0.2,0.9990375828515227,2.3511952540765186,1.4355603384613829,0.4760724026779073,0.8338848444738584,0.5416384563303994,150,5371.451428571484,1894.9428571429223,1.5651429648418234
10,45.0,1.35,2.5,0.0004,0.3,1.1984987240597598,2.227468955425655,1.4986274756997338,0.6684605114511657,0.9154328732747805,0.6824644549763034,189,7108.072857142966,2530.720000000035,1.5599128288452455
8,45.0,1.35,2.5,0.0003,0.2,1.3747561773187689,2.032161592343982,1.5891447756011652,0.6802637254297862,0.9291859695565851,0.696908147145114,193,8064.38285714289,1756.29000000001,1.5581474233619728
10,37.0,1.35,2.5,0.0004,0.2,0.9990375828515227,2.335019557594019,1.4303382702420373,0.4760724026779073,0.8190715181932247,0.5344166102459942,148,5307.0514285715,1959.3428571429067,1.5545263954766093
10,45.0,1.35,2.5,0.0003,0.2,1.1918743281776512,2.2087660526460637,1.4978931780682583,0.6684055946928464,0.9291859695565851,0.6896863010607086,191,7359.475714285778,2481.390000000016,1.5515345564018281
8,35.0,1.35,2.5,0.0,0.2,1.2066944362187968,2.1490028266041037,1.5339611833387663,0.4225317188081167,0.7239212400502724,0.47303091852854884,131,5335.865714285725,1604.1171428571752,1.5510451493350115
8,35.0,1.35,2.5,0.0002,0.2,1.2066944362187968,2.1490028266041037,1.5339611833387663,0.4225317188081167,0.7239212400502724,0.47303091852854884,131,5335.865714285725,1604.1171428571752,1.5510451493350115
8,45.0,1.35,2.5,0.0004,0.2,1.3747561773187689,2.0177348474375103,1.5844400233317337,0.6802637254297862,0.9154328732747805,0.6896863010607086,191,7999.98285714291,1756.29000000001,1.5503533453959537
8,35.0,1.35,2.5,0.0003,0.2,1.2013145052907759,2.1490028266041037,1.5304497197962725,0.4165805678389883,0.7239212400502724,0.4694199954863462,130,5300.775714285726,1604.1171428571752,1.548817327742397
8,35.0,1.35,2.5,0.0004,0.2,1.2013145052907759,2.1490028266041037,1.5304497197962725,0.4165805678389883,0.7239212400502724,0.4694199954863462,130,5300.775714285726,1604.1171428571752,1.548817327742397
10,45.0,1.35,2.5,0.0,0.3,1.2019739050873621,2.1935053899430845,1.495770740693844,0.6743760911985212,0.9410986101919259,0.696908147145114,193,7113.8228571429445,2530.720000000035,1.5456488572422522
10,45.0,1.35,2.5,0.0002,0.3,1.2019739050873621,2.1935053899430845,1.495770740693844,0.6743760911985212,0.9410986101919259,0.696908147145114,193,7113.8228571429445,2530.720000000035,1.5456488572422522
10,45.0,1.35,2.5,0.0004,0.2,1.1918743281776512,2.19428828170894,1.4935363024004247,0.6684055946928464,0.9154328732747805,0.6824644549763034,189,7295.075714285793,2481.390000000016,1.5437870920423353
10,35.0,1.35,2.5,0.0,0.2,1.0690216542895945,2.244704866769197,1.4591142402260233,0.4165633523431689,0.7239212400502724,0.4694199954863462,130,4973.595714285776,1731.3971428571858,1.5407245371523435
