feature,continuation_n,reversal_n,continuation_mean,reversal_mean,continuation_median,reversal_median,standardized_difference,rank_biserial,spearman_direction,p_value,holm_adjusted_p
trend_efficiency_15m,11,9,0.30460669539190904,0.14994435520233332,0.314186248912,0.170860927152,1.0203600182672423,0.5555555555555556,0.4793130701480019,0.0402386771197594,1.0
shock_pre_momentum_5m,11,9,-0.000159935096,0.00038479804033333324,-0.000279520103,0.000477565441,-0.77469412024377,-0.4545454545454546,-0.3921652392120015,0.09463839528709553,1.0
atr14_m1,11,9,0.07633104473454545,0.06128906815588889,0.071965697177,0.068992001333,0.7442815002104202,0.3535353535353536,0.3050174082760012,0.1965119202345007,1.0
spread_atr_ratio,11,9,0.2608427809051818,0.29477422884233334,0.267198713992,0.289888677143,-0.6605155415972428,-0.33333333333333337,-0.28758784208880117,0.22414515405220226,1.0
return_5m,11,9,0.0002473577287272727,0.0005720989965555556,0.000279520103,0.0008021544,-0.5309850922538784,-0.19191919191919193,-0.1655808787784007,0.4941245444092638,1.0
entry_spread,11,9,0.01936363636363636,0.01703111111111111,0.019,0.019,0.5046719621027109,0.19191919191919182,0.1694471010401262,0.4840965879438027,1.0
repeat_direction_balance,11,9,0.2975206611570909,0.5530864197531111,0.0,0.6,-0.48825271654395497,-0.2828282828282829,-0.26105821851188343,0.27251631702041923,1.0
ema_alignment_m5,11,9,-0.09090909090909091,-0.5555555555555556,-1.0,-1.0,0.4806947379235923,0.23232323232323226,0.24232015747572205,0.31233950898781926,1.0
shock_alignment_m15,11,9,-0.09090909090909091,-0.5555555555555556,-1.0,-1.0,0.4806947379235923,0.23232323232323226,0.24232015747572205,0.31233950898781926,1.0
spread_prevol_ratio,11,9,0.4696103889157273,0.41520329044411114,0.413980124126,0.413296345732,0.44815860750882247,0.1515151515151516,0.13072174640400053,0.5948534237883254,1.0
initial_shock_spread_ratio,11,9,0.5882693917788182,0.3712475633531111,0.500000000001,0.368421052632,0.4026986284197989,0.19191919191919182,0.1655808787784007,0.4941245444092638,1.0
spread_atr_percentile,11,9,0.10988752298511262,0.14619553629834345,0.09009009009009009,0.09395973154362416,-0.39388958372310967,-0.2525252525252525,-0.21786957734000087,0.3619347669211923,1.0
shock_pre_vol_ratio,11,9,0.22759974667781824,0.14676300316066668,0.165820052689,0.157572374828,0.376401063183893,0.1515151515151516,0.13072174640400053,0.5948534237883254,1.0
ema_alignment_m15,11,9,-0.2727272727272727,-0.5555555555555556,-1.0,-1.0,0.29846234958390355,0.14141414141414144,0.15352206215727943,0.5343443182253012,1.0
ema20_distance_m1,11,9,0.09224812373363635,0.48295017658033335,-0.415545973371,0.465459030002,-0.29489094790766734,-0.21212121212121215,-0.18301044496560076,0.44741170200931857,1.0
ema50_distance_m1,11,9,-0.218632476574909,0.42341805752055556,-1.187515737694,-0.228371664489,-0.28962893441167414,-0.2727272727272727,-0.23529914352720097,0.32332000913391523,1.0
severity,11,9,1.6363636363636365,1.4444444444444444,2.0,1.0,0.27384587061473736,0.18181818181818188,0.17629529511598171,0.46798497948758133,1.0
ema20_slope_m1,11,9,-0.015296035810000013,0.08864324619199998,-0.027094602542,0.173201603143,-0.2721257306558092,-0.1717171717171717,-0.1481513125912006,0.5433269342132927,1.0
ema50_slope_m1,11,9,-0.046275124713272726,0.023135569651555554,-0.137183055933,-0.008209598013,-0.26108898448958545,-0.2525252525252525,-0.21786957734000087,0.3619347669211923,1.0
directional_range_position,11,9,0.3898377151881819,0.4540644563617778,0.370205394704,0.461766889384,-0.25380550399851465,-0.1717171717171717,-0.1481513125912006,0.5433269342132927,1.0
tick_activity_percentile,11,9,0.8854652528441231,0.906021798781974,0.8680555555555556,0.9111111111111111,-0.2435418964847858,-0.07070707070707072,-0.06109542365410294,0.8194404914911643,1.0
ema_alignment_m1,11,9,-0.09090909090909091,-0.3333333333333333,-1.0,-1.0,0.23709558638633976,0.1212121212121211,0.12309149097933277,0.6228385210152535,1.0
repeat_count,11,9,4.818181818181818,7.333333333333333,1.0,1.0,-0.20474331061558787,-0.11111111111111116,-0.09841140006430484,0.6965598414125174,1.0
short_long_vol_ratio,11,9,0.9043670876055454,1.0897881828621112,0.581845023627,1.373434039493,-0.1910153143174239,-0.09090909090909094,-0.07843304784240032,0.7612079858009609,1.0
atr14_m15,11,9,0.21493770265109094,0.203251084034,0.207644805595,0.241267684218,0.18956947477844968,-0.2727272727272727,-0.23529914352720097,0.32332000913391523,1.0
atr14_m5,11,9,0.15460190863827272,0.14633699980688888,0.152914486461,0.178850105646,0.1863544587301513,-0.21212121212121215,-0.18301044496560076,0.44741170200931857,1.0
realized_vol_15m,11,9,0.00032405593118181814,0.0003390654688888888,0.000318322657,0.00033750813,-0.17260472186345652,-0.1717171717171717,-0.1481513125912006,0.5433269342132927,1.0
return_15m,11,9,0.00011600129072727269,-6.884498533333335e-05,7.134376e-05,-1.6930758e-05,0.16474996638077435,0.11111111111111116,0.09586261402960039,0.7040429655866594,1.0
atr_percentile,11,9,0.9172055936113366,0.9273187836092371,0.9279279279279279,0.9731543624161074,-0.15854492460065595,-0.21212121212121215,-0.18301044496560076,0.44741170200931857,1.0
shock_alignment_m5,11,9,-0.2727272727272727,-0.1111111111111111,-1.0,-1.0,-0.1566325722006126,-0.08080808080808077,-0.08206099398622183,0.7542930972704321,1.0
usd_factor_alignment,11,9,0.2727272727272727,0.1111111111111111,1.0,1.0,0.1566325722006126,0.08080808080808088,0.08206099398622183,0.7542930972704321,1.0
quote_age_ms,11,9,154.72727272727272,139.88888888888889,134.0,139.0,0.1347207393719989,0.11111111111111116,0.09586261402960039,0.7040429655866594,1.0
