feature,label,episodes,clusters,mean,median,q10,q25,q75,q90
ema20_distance_m1,CONTINUATION,11,11,0.09224812373363635,-0.415545973371,-1.566566159091,-1.28482702251,1.6264855616229998,2.168854927056
ema20_distance_m1,NEUTRAL_TIMEOUT,28,28,0.40101099028814285,0.514953985792,-1.2570043263578,-0.9128654007705,1.5148248734202499,2.3980848441997
ema20_distance_m1,REVERSAL,9,9,0.48295017658033335,0.465459030002,-0.27355923896,-0.140663994479,0.900091844421,1.1260166353120002
ema50_distance_m1,CONTINUATION,11,11,-0.218632476574909,-1.187515737694,-2.761537445385,-1.970474711634,2.2222230436665003,2.877074622888
ema50_distance_m1,NEUTRAL_TIMEOUT,28,28,0.6472766677681072,0.39488748529199996,-1.9758271979181,-0.732921217524,2.390224637428,3.4537719232255
ema50_distance_m1,REVERSAL,9,9,0.42341805752055556,-0.228371664489,-0.69084180634,-0.391461778418,1.501480760644,1.7839619457776001
ema20_slope_m1,CONTINUATION,11,11,-0.015296035810000013,-0.027094602542,-0.374096351384,-0.288415597037,0.25385604859,0.63480159744
ema20_slope_m1,NEUTRAL_TIMEOUT,28,28,0.09781199557032141,0.083806461054,-0.3279837119127,-0.122306874016,0.303069238249,0.6665037520657
ema20_slope_m1,REVERSAL,9,9,0.08864324619199998,0.173201603143,-0.2119118955562,-0.171321262398,0.252323762388,0.31393575454260003
ema50_slope_m1,CONTINUATION,11,11,-0.046275124713272726,-0.137183055933,-0.325843661538,-0.190595320982,0.1289874294975,0.335941380594
ema50_slope_m1,NEUTRAL_TIMEOUT,28,28,0.06645606661896429,0.0365887611415,-0.2134393355449,-0.10068315183925,0.25124269338525,0.41407217420900005
ema50_slope_m1,REVERSAL,9,9,0.023135569651555554,-0.008209598013,-0.09958220111199999,-0.073244186886,0.074717680956,0.20770364571500005
ema_alignment_m1,CONTINUATION,11,11,-0.09090909090909091,-1.0,-1.0,-1.0,1.0,1.0
ema_alignment_m1,NEUTRAL_TIMEOUT,28,28,0.21428571428571427,1.0,-1.0,-1.0,1.0,1.0
ema_alignment_m1,REVERSAL,9,9,-0.3333333333333333,-1.0,-1.0,-1.0,1.0,1.0
ema_alignment_m5,CONTINUATION,11,11,-0.09090909090909091,-1.0,-1.0,-1.0,1.0,1.0
