feature,bin,episodes,clusters,continuation,reversal,neutral_timeout,ambiguous,continuation_rate,continuation_rate_ci_low,continuation_rate_ci_high,reversal_rate,neutral_rate,continuation_given_directional,continuation_given_directional_ci_low,continuation_given_directional_ci_high,continuation_mean_r,reversal_mean_r,support_gate
ema20_distance_m1,LOW,4,4,2,0,2,0,0.5,0.15003898915214947,0.8499610108478506,0.0,0.5,1.0,0.34238022750665303,1.0,0.34996723750000003,-0.67153308,False
ema20_distance_m1,MID_LOW,9,9,2,0,7,0,0.2222222222222222,0.06322510711784671,0.5474110308930111,0.0,0.7777777777777778,1.0,0.34238022750665303,1.0,-0.5094948811111111,-0.5189996377777778,False
ema20_distance_m1,MID,11,11,3,4,4,0,0.2727272727272727,0.09746059290024889,0.5656453011761291,0.36363636363636365,0.36363636363636365,0.42857142857142855,0.15821985525146975,0.7495416354723428,-0.49609344454545456,-0.11784878363636359,False
ema20_distance_m1,MID_HIGH,14,14,1,4,9,0,0.07142857142857142,0.012722215247890939,0.31468704424151117,0.2857142857142857,0.6428571428571429,0.2,0.03622410863243014,0.6244653702374747,-0.6464555478571429,-0.19307540499999995,False
ema20_distance_m1,HIGH,10,10,3,1,6,0,0.3,0.10779126740630099,0.6032218525388546,0.1,0.6,0.75,0.30064184258240184,0.9544127391902995,-0.19323185600000004,-0.5915650679999999,False
ema50_distance_m1,LOW,5,5,2,0,3,0,0.4,0.11762077423264783,0.769275718723987,0.0,0.6,1.0,0.34238022750665303,1.0,0.29145440600000005,-0.712109486,False
ema50_distance_m1,MID_LOW,8,8,4,0,4,0,0.5,0.21521606221387757,0.7847839377861224,0.0,0.5,1.0,0.5101091635454027,1.0,0.11519288624999999,-0.67316352625,False
ema50_distance_m1,MID,15,15,1,5,9,0,0.06666666666666667,0.011866895493268553,0.2981652987378003,0.3333333333333333,0.6,0.16666666666666666,0.030053369748306635,0.5635028221864702,-0.7847294973333333,-0.1248418053333333,False
ema50_distance_m1,MID_HIGH,9,9,0,3,6,0,0.0,0.0,0.2991450484195441,0.3333333333333333,0.6666666666666666,0.0,5.551115123125783e-17,0.5614970317550454,-1.0165752311111111,0.13049417222222226,False
ema50_distance_m1,HIGH,11,11,4,1,6,0,0.36363636363636365,0.15166471095367573,0.6461988254921511,0.09090909090909091,0.5454545454545454,0.8,0.37553462976252533,0.9637758913675698,-0.09854587999999995,-0.6934669872727274,False
ema20_slope_m1,LOW,6,6,3,0,3,0,0.5,0.1876163064826506,0.8123836935173494,0.0,0.5,1.0,0.4385029682449546,1.0,0.23722983500000003,-0.8367173566666667,False
ema20_slope_m1,MID_LOW,10,10,1,3,6,0,0.1,0.017876213095072896,0.4041500267952385,0.3,0.6,0.25,0.04558726080970055,0.6993581574175981,-0.735013631,-0.05416556900000001,False
ema20_slope_m1,MID,7,7,2,0,5,0,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.0,0.7142857142857143,1.0,0.34238022750665303,1.0,-0.25413088000000006,-0.9907663042857143,False
ema20_slope_m1,MID_HIGH,17,17,3,5,9,0,0.17647058823529413,0.06191126637620997,0.41029458568834126,0.29411764705882354,0.5294117647058824,0.375,0.13684428582359742,0.6942576053973727,-0.5866977776470588,-0.010758547647058806,False
ema20_slope_m1,HIGH,8,8,2,1,5,0,0.25,0.071479212752109,0.5907245696898311,0.125,0.625,0.6666666666666666,0.2076596008020477,0.9385080552796037,-0.2432216775,-0.573994095,False
ema50_slope_m1,LOW,5,5,2,0,3,0,0.4,0.11762077423264783,0.769275718723987,0.0,0.6,1.0,0.34238022750665303,1.0,0.29145440600000005,-0.712109486,False
ema50_slope_m1,MID_LOW,12,12,4,2,6,0,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.16666666666666666,0.5,0.6666666666666666,0.299993315138392,0.9032285888942195,-0.1627453216666667,-0.5657539991666667,False
ema50_slope_m1,MID,12,12,2,5,5,0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.4166666666666667,0.4166666666666667,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.6675730258333333,0.14850269833333335,False
ema50_slope_m1,MID_HIGH,10,10,0,1,9,0,0.0,0.0,0.2775327998628892,0.1,0.9,0.0,0.0,0.7934506856227626,-0.9479138720000002,-0.23013605199999992,False
ema50_slope_m1,HIGH,9,9,3,1,5,0,0.3333333333333333,0.1205838183869109,0.6457978644196036,0.1111111111111111,0.5555555555555556,0.75,0.30064184258240184,0.9544127391902995,-0.18218024888888887,-0.7114720522222222,False
ema_alignment_m1,LOW,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m1,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m1,MID,23,23,6,6,11,0,0.2608695652173913,0.12548616044986347,0.4647000483742537,0.2608695652173913,0.4782608695652174,0.5,0.2537815976337061,0.7462184023662939,-0.21297790521739135,-0.24927042173913047,True
ema_alignment_m1,MID_HIGH,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m1,HIGH,25,25,5,3,17,0,0.2,0.08860584686802572,0.3913095036954033,0.12,0.68,0.625,0.30574239460262737,0.8631557141764026,-0.5890726912,-0.46155809319999996,True
ema_alignment_m5,LOW,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m5,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m5,MID,16,16,2,3,11,0,0.125,0.03497748774324047,0.36022827265758695,0.1875,0.6875,0.4,0.11762077423264783,0.769275718723987,-0.40240502375,-0.1861934925,False
ema_alignment_m5,MID_HIGH,14,14,4,4,6,0,0.2857142857142857,0.11721378644576919,0.5464908432989318,0.2857142857142857,0.42857142857142855,0.5,0.21521606221387757,0.7847839377861224,-0.5269251407142858,-0.47218694285714297,False
ema_alignment_m5,HIGH,18,18,5,2,11,0,0.2777777777777778,0.12499753379553993,0.5087265656029746,0.1111111111111111,0.6111111111111112,0.7142857142857143,0.35893445183261935,0.9177810759959433,-0.32277093055555556,-0.4268032749999999,False
ema_alignment_m15,LOW,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m15,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
ema_alignment_m15,MID,14,14,1,2,11,0,0.07142857142857142,0.012722215247890939,0.31468704424151117,0.14285714285714285,0.7857142857142857,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.5607145514285714,-0.14933156142857146,False
ema_alignment_m15,MID_HIGH,18,18,6,5,7,0,0.3333333333333333,0.1627877475083369,0.5625053270405489,0.2777777777777778,0.3888888888888889,0.5454545454545454,0.280091537409322,0.7872872837754024,-0.4353085338888889,-0.48832132611111106,False
ema_alignment_m15,HIGH,16,16,4,2,10,0,0.25,0.10182067491213048,0.49498316535508774,0.125,0.625,0.6666666666666666,0.299993315138392,0.9032285888942195,-0.24623448562499997,-0.39948414375,False
shock_alignment_m5,LOW,0,0,0,0,0,0,,,,,,,,,,,False
shock_alignment_m5,MID_LOW,6,6,0,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,1.0,,,,-0.35429900666666664,-0.4467138383333333,False
shock_alignment_m5,MID,18,18,7,5,6,0,0.3888888888888889,0.2030524657216362,0.613809583977621,0.2777777777777778,0.3333333333333333,0.5833333333333334,0.31951131254954973,0.8067396863412435,-0.0014653166666666545,-0.479387805,False
shock_alignment_m5,MID_HIGH,0,0,0,0,0,0,,,,,,,,,,,False
shock_alignment_m5,HIGH,24,24,4,4,16,0,0.16666666666666666,0.06678676328632951,0.3585307064969906,0.16666666666666666,0.6666666666666666,0.5,0.21521606221387757,0.7847839377861224,-0.7280474733333332,-0.24845452124999998,True
shock_alignment_m15,LOW,0,0,0,0,0,0,,,,,,,,,,,False
shock_alignment_m15,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
shock_alignment_m15,MID,12,12,3,2,7,0,0.25,0.08894166839405471,0.5323053349335657,0.16666666666666666,0.5833333333333334,0.6,0.2307242812760128,0.882379225767352,-0.12958828166666664,-0.49651401166666664,False
shock_alignment_m15,MID_HIGH,12,12,3,5,4,0,0.25,0.08894166839405471,0.5323053349335657,0.4166666666666667,0.3333333333333333,0.375,0.13684428582359742,0.6942576053973727,-0.6154713666666667,-0.18052372416666676,False
shock_alignment_m15,HIGH,24,24,5,2,17,0,0.20833333333333334,0.09244825352851857,0.40470453253188665,0.08333333333333333,0.7083333333333334,0.7142857142857143,0.35893445183261935,0.9177810759959433,-0.4451913883333333,-0.38115496666666665,True
return_1m,LOW,9,9,3,1,5,0,0.3333333333333333,0.1205838183869109,0.6457978644196036,0.1111111111111111,0.5555555555555556,0.75,0.30064184258240184,0.9544127391902995,-0.31517896555555563,-0.4769718622222222,False
return_1m,MID_LOW,10,10,2,1,7,0,0.2,0.05668215145437519,0.5098375284633583,0.1,0.7,0.6666666666666666,0.2076596008020477,0.9385080552796037,-0.47763216599999997,-0.6092384099999999,False
return_1m,MID,4,4,2,0,2,0,0.5,0.15003898915214947,0.8499610108478506,0.0,0.5,1.0,0.34238022750665303,1.0,0.014920112499999971,-0.6731281325,False
return_1m,MID_HIGH,8,8,2,3,3,0,0.25,0.071479212752109,0.5907245696898311,0.375,0.375,0.4,0.11762077423264783,0.769275718723987,-0.5169032837499999,0.11205975500000004,False
return_1m,HIGH,17,17,2,4,11,0,0.11764705882352941,0.03287977376379267,0.3433635059488588,0.23529411764705882,0.6470588235294118,0.3333333333333333,0.09677141110578041,0.700006684861608,-0.46687240764705884,-0.2994709811764706,False
return_5m,LOW,5,5,2,0,3,0,0.4,0.11762077423264783,0.769275718723987,0.0,0.6,1.0,0.34238022750665303,1.0,-0.08941250800000003,-0.919229056,False
return_5m,MID_LOW,8,8,0,1,7,0,0.0,0.0,0.32440756488388023,0.125,0.875,0.0,0.0,0.7934506856227626,-0.9427309375,-0.18237979249999997,False
return_5m,MID,7,7,1,1,5,0,0.14285714285714285,0.02567962434474355,0.5131278292743189,0.14285714285714285,0.7142857142857143,0.5,0.09453120573423074,0.9054687942657693,-0.6143861857142857,-0.5852253428571428,False
return_5m,MID_HIGH,11,11,4,2,5,0,0.36363636363636365,0.15166471095367573,0.6461988254921511,0.18181818181818182,0.45454545454545453,0.6666666666666666,0.299993315138392,0.9032285888942195,-0.13681942909090905,-0.35517705454545445,False
return_5m,HIGH,17,17,4,5,8,0,0.23529411764705882,0.09555044322080117,0.4726179811956498,0.29411764705882354,0.47058823529411764,0.4444444444444444,0.18877852109766452,0.733348706504507,-0.34298129647058817,-0.18902725941176468,False
return_15m,LOW,11,11,3,2,6,0,0.2727272727272727,0.09746059290024889,0.5656453011761291,0.18181818181818182,0.5454545454545454,0.6,0.2307242812760128,0.882379225767352,-0.3486403518181818,-0.37407066636363645,False
return_15m,MID_LOW,7,7,2,2,3,0,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.2857142857142857,0.42857142857142855,0.5,0.15003898915214947,0.8499610108478506,-0.49512488285714273,-0.2425439942857143,False
return_15m,MID,7,7,1,2,4,0,0.14285714285714285,0.02567962434474355,0.5131278292743189,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.6007073957142858,-0.2189490885714285,False
return_15m,MID_HIGH,7,7,1,1,5,0,0.14285714285714285,0.02567962434474355,0.5131278292743189,0.14285714285714285,0.7142857142857143,0.5,0.09453120573423074,0.9054687942657693,-0.36515241000000004,-0.2508321142857143,False
return_15m,HIGH,16,16,4,2,10,0,0.25,0.10182067491213048,0.49498316535508774,0.125,0.625,0.6666666666666666,0.299993315138392,0.9032285888942195,-0.34771077562499997,-0.510694895,False
shock_pre_momentum_5m,LOW,13,13,6,2,5,0,0.46153846153846156,0.23206067809538303,0.7085620428549398,0.15384615384615385,0.38461538461538464,0.75,0.40927543031016883,0.9285207872478909,0.07761306307692308,-0.52436147,False
shock_pre_momentum_5m,MID_LOW,11,11,3,1,7,0,0.2727272727272727,0.09746059290024889,0.5656453011761291,0.09090909090909091,0.6363636363636364,0.75,0.30064184258240184,0.9544127391902995,-0.3484596227272727,-0.509030649090909,False
shock_pre_momentum_5m,MID,3,3,0,1,2,0,0.0,5.551115123125783e-17,0.5614970317550454,0.3333333333333333,0.6666666666666666,0.0,0.0,0.7934506856227626,-1.1998903533333334,-0.36885964666666665,False
shock_pre_momentum_5m,MID_HIGH,7,7,0,1,6,0,0.0,5.551115123125783e-17,0.35433043506668743,0.14285714285714285,0.8571428571428571,0.0,0.0,0.7934506856227626,-0.9745734842857142,-0.015177958571428578,False
shock_pre_momentum_5m,HIGH,14,14,2,4,8,0,0.14285714285714285,0.040093921271464966,0.39941379496970353,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.09677141110578041,0.700006684861608,-0.4556812585714285,-0.26023650928571423,False
trend_efficiency_15m,LOW,10,10,1,3,6,0,0.1,0.017876213095072896,0.4041500267952385,0.3,0.6,0.25,0.04558726080970055,0.6993581574175981,-0.747827564,-0.10488871499999992,False
trend_efficiency_15m,MID_LOW,11,11,2,2,7,0,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.18181818181818182,0.6363636363636364,0.5,0.15003898915214947,0.8499610108478506,-0.4697312290909091,-0.3390703554545454,False
trend_efficiency_15m,MID,8,8,2,3,3,0,0.25,0.071479212752109,0.5907245696898311,0.375,0.375,0.4,0.11762077423264783,0.769275718723987,-0.4541130474999999,-0.031257258750000017,False
trend_efficiency_15m,MID_HIGH,12,12,4,1,7,0,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.08333333333333333,0.5833333333333334,0.8,0.37553462976252533,0.9637758913675698,-0.22013588500000003,-0.5359696833333333,False
trend_efficiency_15m,HIGH,7,7,2,0,5,0,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.0,0.7142857142857143,1.0,0.34238022750665303,1.0,-0.10077927714285716,-0.8302595285714285,False
daily_range_position,LOW,7,7,2,0,5,0,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.0,0.7142857142857143,1.0,0.34238022750665303,1.0,-0.15181205428571426,-0.7557977914285713,False
daily_range_position,MID_LOW,13,13,3,3,7,0,0.23076923076923078,0.08179528718498569,0.5025637594672749,0.23076923076923078,0.5384615384615384,0.5,0.1876163064826506,0.8123836935173494,-0.3698684869230769,-0.23439359384615388,False
daily_range_position,MID,8,8,1,1,6,0,0.125,0.02241749145005667,0.4708881822128535,0.125,0.75,0.5,0.09453120573423074,0.9054687942657693,-0.57992626625,-0.24233042999999996,False
daily_range_position,MID_HIGH,13,13,2,5,6,0,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.38461538461538464,0.46153846153846156,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.6569664892307691,-0.18202163923076922,False
daily_range_position,HIGH,7,7,3,0,4,0,0.42857142857142855,0.15821985525146975,0.7495416354723428,0.0,0.5714285714285714,1.0,0.4385029682449546,1.0,-0.08205141428571434,-0.661363717142857,False
atr14_m1,LOW,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m1,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m1,MID,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m1,MID_HIGH,7,7,2,0,5,0,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.0,0.7142857142857143,1.0,0.34238022750665303,1.0,-0.1963303385714286,-0.7030555828571429,False
atr14_m1,HIGH,41,41,9,9,23,0,0.21951219512195122,0.12003174778217568,0.3670500598822617,0.21951219512195122,0.5609756097560976,0.5,0.29031021505169974,0.7096897849483003,-0.4451462617073171,-0.3012386085365853,True
atr14_m5,LOW,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m5,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m5,MID,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m5,MID_HIGH,8,8,0,0,8,0,0.0,0.0,0.32440756488388023,0.0,1.0,,,,-0.6063144300000001,-0.51918394375,False
atr14_m5,HIGH,40,40,11,9,20,0,0.275,0.16108016247667337,0.42834955806210573,0.225,0.5,0.55,0.34208534245034233,0.7418021417443759,-0.3693698415,-0.327967512,True
atr14_m15,LOW,1,1,0,0,1,0,0.0,0.0,0.7934506856227626,0.0,1.0,,,,-1.09960938,-1.11132813,False
atr14_m15,MID_LOW,0,0,0,0,0,0,,,,,,,,,,,False
atr14_m15,MID,6,6,1,1,4,0,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.16666666666666666,0.6666666666666666,0.5,0.09453120573423074,0.9054687942657693,-0.6439009983333334,-0.30433224833333333,False
atr14_m15,MID_HIGH,21,21,6,2,13,0,0.2857142857142857,0.1381386295212213,0.49956380716085597,0.09523809523809523,0.6190476190476191,0.75,0.40927543031016883,0.9285207872478909,-0.25155789095238096,-0.4545766952380952,True
