dimension,value,episodes,market_clusters
symbol,AUDUSD,12,12
symbol,EURUSD,1,1
symbol,USDCAD,6,6
symbol,USDJPY,29,29
session,LONDON,1,1
session,NEW_YORK,39,39
session,OTHER,3,3
session,OVERLAP,4,4
session,TOKYO,1,1
server_day,2025-03-06,8,8
server_day,2025-03-07,8,8
server_day,2025-03-10,2,2
server_day,2025-03-11,10,10
server_day,2025-03-12,7,7
server_day,2025-03-13,1,1
server_day,2025-03-19,4,4
server_day,2025-03-20,1,1
server_day,2025-03-27,2,2
server_day,2025-03-28,2,2
server_day,2025-03-31,3,3
day_of_week,Friday,10,10
day_of_week,Monday,5,5
day_of_week,Thursday,12,12
day_of_week,Tuesday,10,10
day_of_week,Wednesday,11,11
shock_direction,LONG,30,30
shock_direction,SHORT,18,18
