episode_id,market_cluster_id,symbol,timestamp_msc,server_day,server_hour,session,day_of_week,shock_direction,target_msc,quote_msc,processing_msc,spread_atr_ratio,tick_activity,atr14_m5,spread_atr_threshold,tick_activity_threshold,atr_threshold,quantile_history_n,quantile_ready,low_spread_atr,high_tick_activity,high_atr,high_movement_filter,direction_label,selected_outcome_r,continuation_result,reversal_result,continuation_first_touch_msc,reversal_first_touch_msc,continuation_stressed_r,reversal_stressed_r,continuation_mfe,continuation_mae,max_abs_move_price,max_abs_move_atr,analysis_eligible,exclusion_reason,ema20_distance_m1,ema50_distance_m1,ema20_slope_m1,ema50_slope_m1,ema_alignment_m1,ema_alignment_m5,ema_alignment_m15,shock_alignment_m5,shock_alignment_m15,return_1m,return_5m,return_15m,shock_pre_momentum_5m,trend_efficiency_15m,daily_range_position,atr14_m1,atr14_m15,realized_vol_1m,realized_vol_5m,realized_vol_15m,short_long_vol_ratio,shock_pre_vol_ratio,volatility_percentile,entry_spread,spread_prevol_ratio,quote_age_ms,severity,initial_shock_spread_ratio,confirmation_delay_ms,repeat_count,repeat_direction_balance,origin_recross_available,usd_factor_alignment
ts15g_economic_path_r3_202503_AUDUSD_mh_1,543,AUDUSD,1741106515750,2025-03-04,16,NEW_YORK,Tuesday,SHORT,1741106575750,1741106575881,1741106575912,0.955419903401,137.0,0.000448537389,,,,0,False,False,False,False,False,NEUTRAL_TIMEOUT,-0.24255952,TIMEOUT,TIMEOUT,1741107415797.0,1741107415797.0,-0.24255952,-0.44494048,0.00012,0.00053,0.00053,1.1816183288122721,True,,-3.177095021929,-4.780430353986,-0.484131494833,-0.380114995367,-1.0,-1.0,1.0,1.0,-1.0,-0.000410315828,-0.000498793252,-0.001776820603,0.000498793252,0.51756440281,0.40472027972,0.000230265247,0.000680894757,0.000410315828,0.000271733824,0.000309263135,1.326753118709,0.153699256022,0.8359375,0.00022,1.690691816245,31.0,1.0,0.090909090909,250.0,0.0,0.0,1.0,1.0
ts15g_economic_path_r3_202503_AUDUSD_mh_10,727,AUDUSD,1741128601250,2025-03-04,22,OTHER,Tuesday,SHORT,1741128661250,1741128661467,1741128665639,,,,,,,0,False,False,False,False,False,NEUTRAL_TIMEOUT,,INVALID_PATH,INVALID_PATH,,,,,0.0,0.0,0.0,,False,FEATURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts15g_economic_path_r3_202503_AUDUSD_mh_100,3283,AUDUSD,1741573061500,2025-03-10,2,TOKYO,Monday,LONG,1741573121500,1741573122815,1741573124322,,,,,,,0,False,False,False,False,False,NEUTRAL_TIMEOUT,,INVALID_PATH,INVALID_PATH,,,,,0.0,0.0,0.0,,False,FEATURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts15g_economic_path_r3_202503_AUDUSD_mh_101,3291,AUDUSD,1741575067500,2025-03-10,2,TOKYO,Monday,SHORT,1741575127500,1741575127744,1741575133415,,,,,,,0,False,False,False,False,False,NEUTRAL_TIMEOUT,,INVALID_PATH,INVALID_PATH,,,,,0.0,0.0,0.0,,False,FEATURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts15g_economic_path_r3_202503_AUDUSD_mh_102,3299,AUDUSD,1741576261500,2025-03-10,3,TOKYO,Monday,SHORT,1741576321500,1741576322939,1741576323288,1.47895876687,57.0,0.000365004579,,,,76,False,False,False,False,False,NEUTRAL_TIMEOUT,-0.21164773,TIMEOUT,TIMEOUT,1741577164887.0,1741577164887.0,-0.47301136,-0.21164773,0.0,0.00052,0.00052,1.4246396618492831,True,,0.672335155554,1.143005811309,0.376231909551,0.198836212828,1.0,-1.0,1.0,1.0,-1.0,-0.000134793865,0.000166535157,0.000610764545,-0.000166535157,0.238390092879,0.553008595989,0.000148753302,0.000577311073,0.000134793865,0.000286632331,0.000224551287,0.600280972746,0.064305692811,0.8828125,0.00022,1.414725241832,349.0,2.0,0.045454545455,250.0,0.0,0.0,1.0,1.0
ts15g_economic_path_r3_202503_AUDUSD_mh_103,3306,AUDUSD,1741577427500,2025-03-10,3,TOKYO,Monday,LONG,1741577487500,1741577488459,1741577488547,1.397586834732,65.0,0.000339625047,,,,77,False,False,False,False,False,NEUTRAL_TIMEOUT,-0.07336957,TIMEOUT,TIMEOUT,1741578329672.0,1741578329672.0,-0.07336957,-0.5951087,5e-05,0.0004,0.0004,1.1777694358331587,True,,2.256747044539,2.949356608175,0.162309410944,0.139610693308,1.0,1.0,1.0,1.0,1.0,0.000467650856,0.00041215542,0.000650014688,0.00041215542,0.284722222222,0.810888252149,0.00015741419,0.000581214486,0.000467650856,0.000292359462,0.000195670676,2.389989475562,0.305583331934,0.640625,0.00022,2.240944434182,88.0,1.0,0.130434782609,250.0,0.0,0.0,1.0,1.0
ts15g_economic_path_r3_202503_AUDUSD_mh_104,3314,AUDUSD,1741579206750,2025-03-10,4,TOKYO,Monday,LONG,1741579266750,1741579266968,1741579267822,1.567840287875,82.0,0.000333728729,,,,78,False,False,False,False,False,NEUTRAL_TIMEOUT,0.18892045,TIMEOUT,TIMEOUT,1741580109834.0,1741580109834.0,0.18892045,-0.84517045,0.00037,0.00025,0.00037,1.1086848923935464,True,,0.863619248963,2.084683152984,0.170516636517,0.217424922911,1.0,1.0,1.0,1.0,1.0,0.000253493458,0.000158425881,4.7525129e-05,0.000158425881,0.021897810219,0.893333333333,0.000153076816,0.000579023271,0.000253493458,0.000239884931,0.00018725945,1.353701817989,0.327323402768,0.5,0.00024,2.61858722215,854.0,2.0,0.136363636364,250.0,0.0,0.0,1.0,1.0
ts15g_economic_path_r3_202503_AUDUSD_mh_105,3333,AUDUSD,1741580577750,2025-03-10,4,TOKYO,Monday,SHORT,1741580637750,1741580640041,1741580640386,1.649044470281,50.0,0.000363743521,,,,79,False,False,False,False,False,NEUTRAL_TIMEOUT,-0.11684783,TIMEOUT,TIMEOUT,1741581477886.0,1741581477886.0,-0.11684783,-0.55163043,0.00025,0.00029,0.00029,0.797265059739717,True,,0.387360073653,1.953965786085,0.16345742452,0.260507133661,1.0,1.0,1.0,-1.0,-1.0,4.7496161e-05,0.000292928935,-0.000253274765,-0.000292928935,0.140350877193,0.895652173913,0.00013947471,0.000597302349,4.7496161e-05,0.000148477124,0.000158017917,0.300574527072,0.154887207022,0.2265625,0.00023,2.374937174345,345.0,1.0,0.065217391304,250.0,0.0,0.0,1.0,-1.0
ts15g_economic_path_r3_202503_AUDUSD_mh_106,3341,AUDUSD,1741581694750,2025-03-10,4,TOKYO,Monday,LONG,1741581754750,1741581756503,1741581759173,,,,,,,0,False,False,False,False,False,NEUTRAL_TIMEOUT,,INVALID_PATH,INVALID_PATH,,,,,0.0,0.0,0.0,,False,FEATURE_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts15g_economic_path_r3_202503_AUDUSD_mh_107,3357,AUDUSD,1741583715750,2025-03-10,5,TOKYO,Monday,LONG,1741583775750,1741583776214,1741583776233,1.411738461072,80.0,0.00036461686,,,,80,False,False,False,False,False,NEUTRAL_TIMEOUT,-0.24592391,TIMEOUT,TIMEOUT,1741584616226.0,1741584616226.0,-0.24592391,-0.40896739,0.0,0.00046,0.00046,1.26159827057915,True,,-0.75653118015,-0.736495631864,-0.265290326878,-0.095571196666,1.0,1.0,1.0,1.0,1.0,-0.000142516687,-6.3343257e-05,-0.00076776651,-6.3343257e-05,0.355311355311,0.773195876289,0.00015583623,0.000592980581,0.000142516687,0.000184348785,0.000170689511,0.834946947543,0.04430436994,0.40625,0.00022,1.949392277334,19.0,1.0,0.021739130435,250.0,0.0,0.0,1.0,-1.0
