period_id,variant,month,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_aligned,2025-01,24,5,0.20833333333333334,-103.60999999999999,128.57000000000002,-232.18,0.5537513997760359,-4.143500000000001,-0.1726458333333334,0.5709241156490762,111.83000000000001,1.1183000000000003,-0.9264955736385583,3,0.125,4,0.16666666666666666,17,0.7083333333333334,0.5466124999999998,0.5631541666666665,0.4583333333333333,0.25,0.20833333333333334,0.125,0.0,USDJPY:14|GBPUSD:4|EURJPY:2|EURUSD:2|GBPJPY:2,SHORT:13|LONG:11,london_newyork_overlap:10|tokyo:6|london:4|new_york:4
full2025_validation,anchor_aligned,2025-02,20,3,0.15,-177.25,49.510000000000005,-226.76,0.2183365672958194,-7.542499999999999,-0.37712499999999993,0.21602968537247036,177.25,1.7725000000000002,-1.0,3,0.15,1,0.05,16,0.8,0.4564500000000001,0.580265,0.3,0.15,0.15,0.05,0.0,USDJPY:11|EURUSD:3|EURJPY:2|GBPUSD:2|AUDJPY:1|GBPJPY:1,SHORT:12|LONG:8,new_york:8|london_newyork_overlap:7|london:3|tokyo:2
full2025_validation,anchor_aligned,2025-03,29,9,0.3103448275862069,-40.33000000000001,198.07000000000002,-238.39999999999998,0.8308305369127519,-1.4898999999999991,-0.05137586206896549,0.8521455223880596,170.64000000000001,1.7064000000000004,-0.23634552273792786,3,0.10344827586206896,6,0.20689655172413793,20,0.6896551724137931,0.7526482758620691,0.5204344827586207,0.6896551724137931,0.5172413793103449,0.41379310344827586,0.1724137931034483,0.0,USDJPY:15|EURJPY:7|EURUSD:3|GBPJPY:3|AUDJPY:1,SHORT:16|LONG:13,london_newyork_overlap:8|london:7|new_york:7|tokyo:7
full2025_validation,anchor_aligned,2025-04,60,15,0.25,-81.67999999999995,426.0099999999999,-507.69000000000005,0.8391144202170613,-3.4452999999999974,-0.05742166666666662,0.8457312240575646,208.23999999999998,2.0824,-0.39223972339608126,6,0.1,14,0.23333333333333334,40,0.6666666666666666,0.7315383333333334,0.5861999999999997,0.5833333333333334,0.4166666666666667,0.38333333333333336,0.18333333333333332,0.0,USDJPY:20|EURUSD:15|EURJPY:8|GBPUSD:7|AUDJPY:5|GBPJPY:5,SHORT:40|LONG:20,london_newyork_overlap:22|new_york:18|london:11|tokyo:9
full2025_validation,anchor_aligned,2025-05,16,7,0.4375,49.65,146.65,-97.0,1.5118556701030927,2.0413999999999994,0.12758749999999996,1.4859319209711974,63.4,0.634,0.7831230283911672,2,0.125,4,0.25,10,0.625,0.8128312499999999,0.52591875,0.8125,0.4375,0.375,0.25,0.0,USDJPY:12|EURUSD:2|EURJPY:1|GBPUSD:1,LONG:9|SHORT:7,london_newyork_overlap:6|london:5|new_york:3|tokyo:2
full2025_validation,anchor_aligned,2025-06,11,3,0.2727272727272727,-44.01000000000001,91.00999999999999,-135.02,0.6740482891423492,-1.8115999999999997,-0.16469090909090905,0.6856661981850677,73.94000000000001,0.7394000000000002,-0.5952123343251285,3,0.2727272727272727,3,0.2727272727272727,5,0.45454545454545453,0.631909090909091,0.6409545454545456,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.0,USDJPY:8|EURUSD:2|GBPUSD:1,LONG:6|SHORT:5,london_newyork_overlap:6|tokyo:3|london:2
full2025_validation,anchor_aligned,2025-07,17,3,0.17647058823529413,-35.64,94.21,-129.85,0.7255294570658452,-1.561,-0.0918235294117647,0.7197335583604144,102.5,1.0250000000000001,-0.34770731707317076,1,0.058823529411764705,3,0.17647058823529413,13,0.7647058823529411,0.4924882352941176,0.5221882352941176,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.0,USDJPY:12|EURUSD:2|AUDJPY:1|EURJPY:1|GBPJPY:1,LONG:10|SHORT:7,london_newyork_overlap:8|new_york:4|tokyo:4|london:1
full2025_validation,anchor_aligned,2025-08,12,3,0.25,-17.34,76.41,-93.75,0.81504,-0.6942000000000002,-0.05785000000000001,0.827171558742251,90.38,0.9037999999999999,-0.19185660544368224,1,0.08333333333333333,2,0.16666666666666666,9,0.75,0.6317333333333334,0.5438833333333333,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,USDJPY:9|EURJPY:1|GBPJPY:1|GBPUSD:1,SHORT:9|LONG:3,london_newyork_overlap:6|new_york:3|tokyo:2|london:1
full2025_validation,anchor_aligned,2025-09,11,2,0.18181818181818182,-84.69000000000001,12.389999999999999,-97.08,0.1276266996291718,-3.7325,-0.3393181818181818,0.12281732509224222,84.69000000000001,0.8469000000000001,-1.0,0,0.0,0,0.0,11,1.0,0.4399909090909091,0.5166,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.0,USDJPY:6|GBPUSD:3|EURUSD:2,LONG:7|SHORT:4,london_newyork_overlap:7|london:2|new_york:1|tokyo:1
full2025_validation,anchor_aligned,2025-10,12,2,0.16666666666666666,-84.63,31.04,-115.67,0.2683496152848621,-3.7647,-0.313725,0.2685215769327919,96.77,0.9677,-0.8745478970755399,1,0.08333333333333333,0,0.0,11,0.9166666666666666,0.4912666666666667,0.6299916666666666,0.5,0.25,0.16666666666666666,0.0,0.0,USDJPY:10|GBPJPY:1|GBPUSD:1,LONG:7|SHORT:5,london:4|new_york:4|london_newyork_overlap:2|tokyo:2
full2025_validation,anchor_aligned,2025-11,7,0,0.0,-100.88,0,-100.88,0.0,-4.5477,-0.6496714285714286,0.0,100.88,1.0088,-1.0,3,0.42857142857142855,0,0.0,4,0.5714285714285714,0.3750428571428572,0.6941285714285714,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,USDJPY:3|GBPUSD:2|AUDJPY:1|EURUSD:1,SHORT:4|LONG:3,london_newyork_overlap:3|london:2|new_york:1|tokyo:1
full2025_validation,anchor_aligned,2025-12,3,2,0.6666666666666666,27.53,36.480000000000004,-8.95,4.075977653631286,1.2365,0.4121666666666666,4.211688311688312,8.95,0.0895,3.0759776536312855,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.8477666666666668,0.3307666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:3,SHORT:2|LONG:1,london_newyork_overlap:2|london:1
full2025_validation,anchor_diag,2025-01,31,9,0.2903225806451613,-156.71000000000004,166.32000000000002,-323.03,0.514874779432251,-6.2808,-0.20260645161290322,0.5305724343595147,180.94000000000003,1.8094000000000003,-0.8660882060351498,7,0.22580645161290322,5,0.16129032258064516,19,0.6129032258064516,0.6011387096774192,0.6186677419354837,0.5483870967741935,0.2903225806451613,0.22580645161290322,0.12903225806451613,0.0,USDJPY:18|GBPUSD:4|EURJPY:3|EURUSD:3|GBPJPY:3,SHORT:23|LONG:8,london_newyork_overlap:13|new_york:7|tokyo:6|london:5
full2025_validation,anchor_diag,2025-02,29,4,0.13793103448275862,-277.85999999999996,42.470000000000006,-320.33,0.1325820247869385,-11.959200000000001,-0.41238620689655175,0.12996158770806654,277.85999999999996,2.7785999999999995,-1.0,4,0.13793103448275862,1,0.034482758620689655,24,0.8275862068965517,0.40250689655172417,0.5725448275862071,0.3103448275862069,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0,USDJPY:18|EURUSD:4|AUDJPY:2|GBPJPY:2|GBPUSD:2|EURJPY:1,LONG:15|SHORT:14,london_newyork_overlap:11|new_york:9|tokyo:6|london:3
full2025_validation,anchor_diag,2025-03,48,13,0.2708333333333333,-136.87,263.25999999999993,-400.12999999999994,0.6579361707445079,-5.8870000000000005,-0.12264583333333334,0.66319198114287,199.91,1.9990999999999999,-0.6846580961432644,5,0.10416666666666667,7,0.14583333333333334,36,0.75,0.6343958333333336,0.5461458333333334,0.5416666666666666,0.3958333333333333,0.2708333333333333,0.14583333333333334,0.0,USDJPY:26|GBPJPY:9|EURJPY:7|EURUSD:4|AUDJPY:2,SHORT:28|LONG:20,london_newyork_overlap:14|london:13|new_york:12|tokyo:9
full2025_validation,anchor_diag,2025-04,91,26,0.2857142857142857,-119.37000000000002,641.1199999999999,-760.4900000000002,0.8430354113795049,-5.465199999999999,-0.06005714285714285,0.8403920400450918,201.49,2.0149,-0.5924363491984714,9,0.0989010989010989,21,0.23076923076923078,61,0.6703296703296703,0.706868131868132,0.5850802197802196,0.5824175824175825,0.4175824175824176,0.3516483516483517,0.18681318681318682,0.0,USDJPY:32|EURUSD:22|EURJPY:11|AUDJPY:10|GBPUSD:9|GBPJPY:7,SHORT:61|LONG:30,london_newyork_overlap:30|new_york:28|london:23|tokyo:10
