run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpUseM15Wave1Quality,InpM15Wave1QualityMode,InpM15Wave1QualityCombineMode,InpUseM15SwingAnchorBias,InpM15SwingAnchorMode,InpM15AnchorBreakUseClose,InpM15AnchorBreakMinAtr,InpM15AnchorLookbackBars,InpM15AnchorMinSwingStrength,InpM15RequirePullbackAfterBiasFlip,InpM15BiasFlipMaxAgeBars,InpM15AnchorFlipRequireHighMediumM5Pattern,InpM15AnchorFlipRequireCorrectiveExhaustion,InpM15AnchorRangeMode,InpExitMode,InpMaxHoldBars,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution,daily_or_dd_stopped,passed_2025_gate
q1_base,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_base.ini,fx_session_reversal_m15_anchor_bias_q1_base,16385,15,5,0,false,0,0,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,USDJPY:61|GBPJPY:14|EURJPY:11|EURUSD:11|GBPUSD:6|AUDJPY:4,SHORT:65|LONG:42,london_newyork_overlap:38|new_york:27|london:21|tokyo:21,False,False
q1_light,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light.ini,fx_session_reversal_m15_anchor_bias_q1_light,16385,15,5,0,true,2,3,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,1,30,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0,USDJPY:11|GBPJPY:4|EURJPY:2|EURUSD:1,SHORT:12|LONG:6,london:6|new_york:6|london_newyork_overlap:5|tokyo:1,False,False
q1_anchor_diag,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_diag,anchor_bias_diagnostic_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_diag.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_diag,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,1,true,0.05,96,2,false,24,false,false,0,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,USDJPY:61|GBPJPY:14|EURJPY:11|EURUSD:11|GBPUSD:6|AUDJPY:4,SHORT:65|LONG:42,london_newyork_overlap:38|new_york:27|london:21|tokyo:21,False,False
q1_anchor_aligned,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_aligned,anchor_bias_aligned_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_aligned.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_aligned.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_aligned,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,3,true,0.05,96,2,false,24,false,false,0,1,30,72,17,0.2361111111111111,-311.64999999999986,376.15000000000003,-687.8000000000003,0.5468886304158184,-12.771500000000003,-0.1773819444444445,0.558844356323467,337.4299999999999,3.374299999999999,-0.9235989686749844,9,0.125,11,0.1527777777777778,52,0.7222222222222222,0.6114305555555556,0.5513222222222223,0.5138888888888888,0.3333333333333333,0.2777777777777778,0.125,0.0,USDJPY:39|EURJPY:11|EURUSD:8|GBPJPY:6|GBPUSD:6|AUDJPY:2,SHORT:41|LONG:31,london_newyork_overlap:25|new_york:18|tokyo:15|london:14,False,False
q1_anchor_flip,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_flip,anchor_bias_flip_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_flip,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,1,30,35,11,0.3142857142857143,-47.15000000000001,236.47000000000003,-283.61999999999995,0.8337564346661028,-2.0209000000000006,-0.057740000000000014,0.8304514526859801,80.33,0.8033,-0.5869538155110172,2,0.05714285714285714,7,0.2,26,0.7428571428571429,0.5838828571428571,0.5136571428571428,0.4857142857142857,0.2571428571428571,0.22857142857142856,0.2,0.0,USDJPY:24|GBPJPY:4|EURJPY:3|EURUSD:3|AUDJPY:1,SHORT:26|LONG:9,london_newyork_overlap:14|london:10|tokyo:8|new_york:3,False,False
q1_anchor_flip_pullback,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_flip_pullback,anchor_bias_flip_plus_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip_pullback.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_flip_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,true,24,false,false,0,1,30,9,3,0.3333333333333333,-9.530000000000001,71.13,-80.66,0.8818497396479048,-0.48509999999999986,-0.05389999999999998,0.8573612867182218,68.91,0.6890999999999999,-0.13829632854447832,0,0.0,2,0.2222222222222222,7,0.7777777777777778,0.5774888888888889,0.6038333333333333,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,USDJPY:5|EURUSD:2|EURJPY:1|GBPJPY:1,LONG:5|SHORT:4,london_newyork_overlap:5|london:3|new_york:1,False,False
q1_light_and_anchor,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_and_anchor,required_light_and_anchor_aligned,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_and_anchor.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_and_anchor.ini,fx_session_reversal_m15_anchor_bias_q1_light_and_anchor,16385,15,5,0,true,2,3,0,0,0,false,0,0,true,3,true,0.05,96,2,false,24,false,false,0,1,30,2,1,0.5,26.58,31.07,-4.49,6.919821826280623,1.1158,0.5579,7.147658402203857,4.490000000000002,0.044900000000000016,5.919821826280621,0,0.0,1,0.5,1,0.5,1.0699999999999998,0.36095,1.0,1.0,0.5,0.0,0.0,USDJPY:2,LONG:1|SHORT:1,new_york:2,False,False
q1_light_or_anchor_flip,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_flip,required_light_or_anchor_flip,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_flip.ini,fx_session_reversal_m15_anchor_bias_q1_light_or_anchor_flip,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,false,0,1,30,44,13,0.29545454545454547,-106.06,274.98999999999995,-381.04999999999995,0.7216638236451909,-4.3934,-0.09985,0.7263582742147454,127.33,1.2732999999999999,-0.8329537422445614,3,0.06818181818181818,8,0.18181818181818182,33,0.75,0.5999409090909091,0.5304977272727274,0.5227272727272727,0.29545454545454547,0.20454545454545456,0.1590909090909091,0.0,USDJPY:28|GBPJPY:8|EURJPY:4|EURUSD:3|AUDJPY:1,SHORT:30|LONG:14,london_newyork_overlap:16|london:11|tokyo:9|new_york:8,False,False
q1_light_or_anchor_m5pattern,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_m5pattern,required_light_or_anchor_flip_plus_m5_pattern,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_m5pattern.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_m5pattern.ini,fx_session_reversal_m15_anchor_bias_q1_light_or_anchor_m5pattern,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,true,false,0,1,30,44,13,0.29545454545454547,-106.06,274.98999999999995,-381.04999999999995,0.7216638236451909,-4.3934,-0.09985,0.7263582742147454,127.33,1.2732999999999999,-0.8329537422445614,3,0.06818181818181818,8,0.18181818181818182,33,0.75,0.5999409090909091,0.5304977272727274,0.5227272727272727,0.29545454545454547,0.20454545454545456,0.1590909090909091,0.0,USDJPY:28|GBPJPY:8|EURJPY:4|EURUSD:3|AUDJPY:1,SHORT:30|LONG:14,london_newyork_overlap:16|london:11|tokyo:9|new_york:8,False,False
q1_light_or_anchor_exhaustion,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_exhaustion,required_light_or_anchor_flip_plus_corrective_exhaustion,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_exhaustion.ini,fx_session_reversal_m15_anchor_bias_q1_light_or_anchor_exhaustion,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,true,0,1,30,34,11,0.3235294117647059,14.430000000000012,297.67999999999995,-283.24999999999994,1.050944395410415,0.6662999999999991,0.019597058823529384,1.0570882670459414,83.77999999999999,0.8377999999999999,0.1722368106946767,2,0.058823529411764705,9,0.2647058823529412,23,0.6764705882352942,0.7008441176470589,0.5179264705882354,0.6176470588235294,0.38235294117647056,0.2647058823529412,0.23529411764705882,0.0,USDJPY:18|GBPJPY:8|EURJPY:5|EURUSD:2|AUDJPY:1,SHORT:25|LONG:9,london_newyork_overlap:12|london:11|new_york:7|tokyo:4,False,False
