period_id,variant,anchor_break_quality_bucket,m15_anchor_break_direction,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_aligned,none,NONE,222,54,0.24324324324324326,-692.8800000000001,1290.3500000000001,-1983.23,0.6506305370531911,-29.454999999999984,-0.1326801801801801,0.6557901576201781,729.36,7.2936,-0.9499835472194802,26,0.11711711711711711,38,0.17117117117117117,158,0.7117117117117117,0.629639189189189,0.5646319819819824,0.536036036036036,0.3333333333333333,0.2747747747747748,0.14864864864864866,0.0,USDJPY:123|EURUSD:32|EURJPY:22|GBPUSD:22|GBPJPY:14|AUDJPY:9,SHORT:124|LONG:98,london_newyork_overlap:87|new_york:53|london:43|tokyo:39
full2025_validation,anchor_diag,none,NONE,241,58,0.24066390041493776,-822.8400000000004,1277.2299999999996,-2100.07,0.6081844890884587,-35.89819999999996,-0.14895518672199154,0.6135935769358696,864.6900000000003,8.646900000000004,-0.9516011518578914,27,0.11203319502074689,39,0.16182572614107885,175,0.7261410788381742,0.6101195020746886,0.5660049792531121,0.5020746887966805,0.3360995850622407,0.26556016597510373,0.12448132780082988,0.0,USDJPY:141|EURUSD:32|EURJPY:21|GBPUSD:21|GBPJPY:17|AUDJPY:9,SHORT:136|LONG:105,london_newyork_overlap:98|new_york:61|london:52|tokyo:30
full2025_validation,anchor_diag,normal,LONG,22,6,0.2727272727272727,-110.86000000000001,76.96000000000001,-187.82,0.40975401980619747,-4.9928,-0.22694545454545453,0.4128811486494432,135.98000000000002,1.3598000000000003,-0.8152669510222091,1,0.045454545454545456,1,0.045454545454545456,20,0.9090909090909091,0.49793181818181825,0.6260181818181819,0.4090909090909091,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.045454545454545456,USDJPY:10|EURUSD:7|GBPJPY:2|GBPUSD:2|AUDJPY:1,LONG:15|SHORT:7,london_newyork_overlap:10|london:4|new_york:4|tokyo:4
full2025_validation,anchor_diag,normal,SHORT,47,9,0.19148936170212766,-259.44000000000005,211.32999999999998,-470.77,0.44890286126983453,-11.6549,-0.24797659574468084,0.4437040890844785,295.6600000000001,2.956600000000001,-0.8774944192653723,5,0.10638297872340426,7,0.14893617021276595,35,0.7446808510638298,0.5342531914893619,0.5842042553191489,0.44680851063829785,0.23404255319148937,0.1702127659574468,0.1276595744680851,0.0,USDJPY:28|AUDJPY:5|EURJPY:5|EURUSD:4|GBPJPY:4|GBPUSD:1,SHORT:35|LONG:12,london_newyork_overlap:19|london:14|new_york:9|tokyo:5
full2025_validation,anchor_diag,strong,SHORT,1,0,0.0,-11.67,0,-11.67,0.0,-0.5369,-0.5369,0.0,11.67,0.11670000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.0649,0.557,0.0,0.0,0.0,0.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
full2025_validation,anchor_diag,weak,LONG,3,2,0.6666666666666666,24.139999999999997,31.049999999999997,-6.91,4.493487698986975,1.1140999999999999,0.3713666666666666,4.3966463414634145,6.91,0.0691,3.493487698986975,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9029333333333334,0.26976666666666665,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:2|EURUSD:1,LONG:2|SHORT:1,new_york:2|london_newyork_overlap:1
full2025_validation,anchor_diag,weak,SHORT,4,2,0.5,35.78,50.86,-15.079999999999998,3.3726790450928386,1.648,0.412,3.63258785942492,15.079999999999998,0.1508,2.3726790450928386,0,0.0,1,0.25,3,0.75,0.998375,0.554875,1.0,0.75,0.5,0.25,0.0,USDJPY:2|EURJPY:1|GBPUSD:1,SHORT:3|LONG:1,london:2|london_newyork_overlap:1|tokyo:1
full2025_validation,anchor_flip,normal,LONG,42,11,0.2619047619047619,-104.35000000000004,225.05000000000004,-329.39999999999986,0.6832119004250156,-4.583400000000001,-0.10912857142857145,0.6714031716899429,114.15,1.1415,-0.9141480508103376,0,0.0,6,0.14285714285714285,36,0.8571428571428571,0.5218333333333333,0.537657142857143,0.40476190476190477,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.023809523809523808,USDJPY:25|EURUSD:7|GBPUSD:5|EURJPY:3|AUDJPY:1|GBPJPY:1,LONG:42,london_newyork_overlap:19|london:11|tokyo:9|new_york:3
full2025_validation,anchor_flip,normal,SHORT,72,20,0.2777777777777778,-196.90000000000006,498.90000000000003,-695.7999999999997,0.7170163840183964,-8.356100000000003,-0.11605694444444449,0.7155360528886908,273.20000000000005,2.732,-0.7207174231332358,8,0.1111111111111111,15,0.20833333333333334,49,0.6805555555555556,0.6373902777777776,0.552397222222222,0.5416666666666666,0.3333333333333333,0.25,0.18055555555555555,0.0,USDJPY:42|EURUSD:10|GBPJPY:9|EURJPY:5|AUDJPY:4|GBPUSD:2,SHORT:72,london_newyork_overlap:31|london:21|tokyo:11|new_york:9
full2025_validation,anchor_flip,strong,LONG,1,1,1.0,30.56,30.56,0,inf,1.3048,1.3048,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3048,0.2995,1.0,1.0,1.0,1.0,0.0,USDJPY:1,LONG:1,tokyo:1
full2025_validation,anchor_flip,strong,SHORT,1,0,0.0,-11.67,0,-11.67,0.0,-0.5369,-0.5369,0.0,11.67,0.11670000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.0649,0.557,0.0,0.0,0.0,0.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
