period_id,variant,m15_anchor_bias_state,anchor_aligned_bucket,anchor_opposite_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,light_or_anchor_m5pattern,short_bias,anchor_aligned,anchor_not_opposite,9,2,0.2222222222222222,-67.78,37.31,-105.09,0.35502902274241127,-2.8817999999999997,-0.3202,0.3475662214172516,69.89,0.6989000000000001,-0.9698097009586493,2,0.2222222222222222,1,0.1111111111111111,6,0.6666666666666666,0.6685333333333335,0.668477777777778,0.7777777777777778,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,USDJPY:7|EURJPY:2,SHORT:9,london_newyork_overlap:4|london:2|new_york:2|tokyo:1
full2025_validation,light_or_anchor_m5pattern,short_bias,anchor_not_aligned,anchor_opposite,6,3,0.5,40.04,76.25,-36.21,2.1057718862192765,1.6527,0.27545000000000003,2.050801119023398,36.21,0.36210000000000003,1.1057718862192765,0,0.0,2,0.3333333333333333,4,0.6666666666666666,0.7704333333333334,0.50015,0.6666666666666666,0.5,0.5,0.16666666666666666,0.0,GBPJPY:2|USDJPY:2|EURJPY:1|EURUSD:1,LONG:6,london:2|london_newyork_overlap:2|new_york:2
full2025_validation,one_anchor_flip_pullback,bias_flip_down,anchor_aligned,anchor_not_opposite,12,3,0.25,-58.18,95.74,-153.92,0.6220114345114345,-2.5994,-0.21661666666666668,0.6009640477725584,97.12,0.9712000000000001,-0.5990527182866556,3,0.25,3,0.25,6,0.5,0.5462333333333332,0.6770999999999999,0.5,0.25,0.25,0.16666666666666666,0.0,USDJPY:6|EURUSD:2|GBPJPY:2|AUDJPY:1|EURJPY:1,SHORT:12,london_newyork_overlap:4|tokyo:4|london:2|new_york:2
full2025_validation,one_anchor_flip_pullback,bias_flip_up,anchor_aligned,anchor_not_opposite,11,3,0.2727272727272727,7.329999999999991,96.59,-89.25999999999999,1.0821196504593324,0.2301000000000002,0.020918181818181836,1.061916422247935,49.8,0.498,0.14718875502008016,1,0.09090909090909091,3,0.2727272727272727,7,0.6363636363636364,0.6195454545454546,0.4889272727272727,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,USDJPY:9|EURJPY:1|EURUSD:1,LONG:11,london_newyork_overlap:5|london:4|new_york:1|tokyo:1
full2025_validation,one_light_anchor_diag,bias_flip_down,anchor_aligned,anchor_not_opposite,6,3,0.5,57.73999999999998,95.66999999999999,-37.93,2.5222778803058263,2.3710000000000004,0.3951666666666667,2.5368161783769767,30.200000000000003,0.302,1.9119205298013238,1,0.16666666666666666,3,0.5,2,0.3333333333333333,0.9730666666666666,0.5424666666666665,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,USDJPY:6,SHORT:6,london:2|london_newyork_overlap:2|tokyo:2
full2025_validation,one_light_anchor_diag,bias_flip_down,anchor_not_aligned,anchor_opposite,1,0,0.0,-4.66,0,-4.66,0.0,-0.2131,-0.2131,0.0,4.66,0.0466,-1.0,0,0.0,0,0.0,1,1.0,0.1829,0.2664,0.0,0.0,0.0,0.0,0.0,GBPJPY:1,LONG:1,new_york:1
full2025_validation,one_light_anchor_diag,bias_flip_up,anchor_aligned,anchor_not_opposite,3,2,0.6666666666666666,61.66,66.34,-4.68,14.175213675213676,2.4442,0.8147333333333333,14.049652963160705,4.68,0.0468,13.175213675213675,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0.9454666666666668,0.45026666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,USDJPY:2|EURUSD:1,LONG:3,london_newyork_overlap:2|london:1
full2025_validation,one_light_anchor_diag,bias_flip_up,anchor_not_aligned,anchor_opposite,3,2,0.6666666666666666,19.51,43.21,-23.7,1.8232067510548524,0.7788999999999999,0.2596333333333333,1.7789,23.7,0.23700000000000002,0.8232067510548524,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.6858666666666666,0.5583333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,EURJPY:1|EURUSD:1|GBPJPY:1,SHORT:3,london_newyork_overlap:1|new_york:1|tokyo:1
full2025_validation,one_light_anchor_diag,long_bias,anchor_aligned,anchor_not_opposite,2,1,0.5,8.529999999999998,32.62,-24.09,1.3540888335408883,0.2972999999999999,0.14864999999999995,1.2973,24.09,0.2409,0.3540888335408882,1,0.5,1,0.5,0,0.0,0.6783499999999999,0.76215,0.5,0.5,0.5,0.0,0.0,EURUSD:1|USDJPY:1,LONG:2,london_newyork_overlap:1|new_york:1
full2025_validation,one_light_anchor_diag,long_bias,anchor_not_aligned,anchor_opposite,8,3,0.375,32.79,77.7,-44.91,1.7301269205076821,1.4330999999999998,0.17913749999999998,1.7659130992464325,18.26,0.1826,1.7957283680175244,0,0.0,2,0.25,6,0.75,0.832475,0.3314,0.5,0.5,0.5,0.25,0.0,USDJPY:5|EURUSD:3,SHORT:8,london_newyork_overlap:3|new_york:3|london:1|tokyo:1
