period_id,variant,symbol,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_aligned,AUDJPY,9,3,0.3333333333333333,-4.780000000000001,88.01,-92.78999999999999,0.9484858282142473,-0.06730000000000014,-0.007477777777777793,0.9833419964852356,59.36,0.5936,-0.08052560646900271,2,0.2222222222222222,3,0.3333333333333333,4,0.4444444444444444,0.7043444444444442,0.7024111111111111,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,AUDJPY:9,SHORT:6|LONG:3,new_york:5|london_newyork_overlap:2|london:1|tokyo:1
full2025_validation,anchor_aligned,EURJPY,22,6,0.2727272727272727,-34.25,160.54,-194.79,0.8241696185635813,-1.4381999999999995,-0.06537272727272725,0.8289852315156128,130.59,1.3059,-0.2622712305689563,2,0.09090909090909091,5,0.22727272727272727,15,0.6818181818181818,0.6753318181818181,0.546559090909091,0.5454545454545454,0.36363636363636365,0.3181818181818182,0.18181818181818182,0.0,EURJPY:22,SHORT:13|LONG:9,london_newyork_overlap:7|london:5|new_york:5|tokyo:5
full2025_validation,anchor_aligned,EURUSD,32,6,0.1875,-237.95000000000005,125.53999999999999,-363.48999999999995,0.34537401304024873,-10.3241,-0.322628125,0.3452706344928179,237.95000000000005,2.3795,-1.0,7,0.21875,4,0.125,21,0.65625,0.577253125,0.624353125,0.46875,0.25,0.21875,0.09375,0.0,EURUSD:32,LONG:16|SHORT:16,london_newyork_overlap:19|new_york:8|london:5
full2025_validation,anchor_aligned,GBPJPY,14,4,0.2857142857142857,19.44,91.43,-71.99,1.270037505209057,0.8537999999999999,0.060985714285714275,1.2698568222763045,43.91,0.4391,0.4427237531314052,0,0.0,3,0.21428571428571427,11,0.7857142857142857,0.7433785714285716,0.46980714285714287,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.0,GBPJPY:14,SHORT:10|LONG:4,london_newyork_overlap:5|tokyo:5|london:2|new_york:2
full2025_validation,anchor_aligned,GBPUSD,22,3,0.13636363636363635,-182.26000000000005,46.73,-228.99,0.2040700467269313,-8.291300000000001,-0.3768772727272728,0.1965638868970329,182.26000000000005,1.8226000000000007,-1.0,3,0.13636363636363635,1,0.045454545454545456,18,0.8181818181818182,0.5229909090909091,0.5657,0.45454545454545453,0.3181818181818182,0.22727272727272727,0.045454545454545456,0.0,GBPUSD:22,SHORT:14|LONG:8,london_newyork_overlap:14|new_york:5|london:3
full2025_validation,anchor_aligned,USDJPY,123,32,0.2601626016260163,-253.07999999999993,778.0999999999997,-1031.18,0.7545724315832344,-10.1879,-0.08282845528455285,0.7677743915643015,315.45,3.1544999999999996,-0.8022824536376603,12,0.0975609756097561,22,0.17886178861788618,89,0.7235772357723578,0.6357585365853655,0.5528479674796748,0.5447154471544715,0.34146341463414637,0.2682926829268293,0.15447154471544716,0.0,USDJPY:123,SHORT:65|LONG:58,london_newyork_overlap:40|new_york:28|tokyo:28|london:27
full2025_validation,anchor_diag,AUDJPY,15,6,0.4,11.519999999999992,134.76999999999998,-123.25,1.093468559837728,0.6526999999999998,0.04351333333333332,1.1199110817166371,46.28,0.4628,0.24891961970613638,2,0.13333333333333333,4,0.26666666666666666,9,0.6,0.6967200000000001,0.6147400000000001,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.0,AUDJPY:15,SHORT:10|LONG:5,new_york:8|london:3|london_newyork_overlap:2|tokyo:2
full2025_validation,anchor_diag,EURJPY,27,7,0.25925925925925924,-81.27999999999999,175.51999999999998,-256.8,0.6834890965732087,-3.567300000000001,-0.13212222222222225,0.6859328778701226,152.48,1.5248,-0.5330535152151101,4,0.14814814814814814,5,0.18518518518518517,18,0.6666666666666666,0.6016259259259259,0.578048148148148,0.48148148148148145,0.37037037037037035,0.25925925925925924,0.14814814814814814,0.0,EURJPY:27,SHORT:17|LONG:10,london_newyork_overlap:10|london:8|new_york:5|tokyo:4
full2025_validation,anchor_diag,EURUSD,44,9,0.20454545454545456,-292.12,143.26000000000002,-435.37999999999994,0.3290458909458405,-13.063699999999999,-0.2969022727272727,0.3289723754635765,301.12,3.0112,-0.9701115834218916,5,0.11363636363636363,4,0.09090909090909091,35,0.7954545454545454,0.49610454545454535,0.5924159090909091,0.38636363636363635,0.20454545454545456,0.18181818181818182,0.06818181818181818,0.0,EURUSD:44,SHORT:26|LONG:18,london_newyork_overlap:26|new_york:11|london:7
full2025_validation,anchor_diag,GBPJPY,23,8,0.34782608695652173,8.399999999999999,160.48,-152.07999999999998,1.055234087322462,0.8679999999999999,0.0377391304347826,1.1316927371758887,73.23,0.7323000000000001,0.11470708725931993,1,0.043478260869565216,5,0.21739130434782608,17,0.7391304347826086,0.7437956521739129,0.5020695652173913,0.6521739130434783,0.43478260869565216,0.391304347826087,0.21739130434782608,0.0,GBPJPY:23,SHORT:14|LONG:9,london_newyork_overlap:7|london:6|new_york:6|tokyo:4
