run_id,stage,count
"q1_b_wave2_start_first_close","symbols_scanned","107140"
"q1_b_wave2_start_first_close","parent_anchor_states_available","1092"
"q1_b_wave2_start_first_close","parent_flips_detected","1092"
"q1_b_wave2_start_first_close","parent_wave1_confirmed","1092"
"q1_b_wave2_start_first_close","parent_wave2_pending","1083"
"q1_b_wave2_start_first_close","parent_wave2_started_first_close","1080"
"q1_b_wave2_start_first_close","parent_wave2_started_confirmed_pivot","0"
"q1_b_wave2_start_first_close","parent_wave2_started_child_trend","0"
"q1_b_wave2_start_first_close","child_countertrend_confirmed","1046"
"q1_b_wave2_start_first_close","child_anchor_created","950"
"q1_b_wave2_start_first_close","child_anchor_updated","1065"
"q1_b_wave2_start_first_close","child_flip_detected","779"
"q1_b_wave2_start_first_close","fresh_first_flip_signal","777"
"q1_b_wave2_start_first_close","valid_candidate","0"
"q1_b_wave2_start_first_close","signal_reserved","0"
"q1_b_wave2_start_first_close","portfolio_selected","0"
"q1_b_wave2_start_first_close","trades_taken","0"
"q1_b_wave2_start_first_close","candidate_invalid","0"
"q1_b_wave2_start_first_close","position_cap_reject","0"
"q1_b_wave2_start_first_close","risk_reject","0"
"q1_b_wave2_start_first_close","order_failure","0"
"q1_b_wave2_start_first_close","expired","741"
"q1_b_wave2_start_first_close","parent_invalidated","20"
"q1_b_wave2_start_first_close","signals_consumed","741"
