side,context,horizon,rule_a,rule_b,train_trades,train_tpd,train_expectancy,train_hit_rate,test_trades,test_tpd,test_expectancy,test_hit_rate,score
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:ema20_slope_3 <= -0.3403,12177,46.716078326894895,0.046327381543704076,0.5312474336864581,4230,47.75539004312035,0.01969402465794302,0.5614657210401891,166.93922826866935
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:high_break_12 <= -3.0688,11878,45.57020301593222,0.04564629378681355,0.5316551608014818,4162,46.93433572183719,0.03515973074600324,0.5598270062469967,164.49140860260587
long,all,3,all:close_vs_ema20 <= -1.1293,all:ema20_slope_3 <= -0.3403,11922,45.73840067138233,0.05961227239314306,0.5364871665827882,4104,46.33470539809479,0.015305140148321263,0.5628654970760234,164.12237685274616
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:close_vs_ema20 <= -1.1293,11825,45.36626303800504,0.05173345432757097,0.534799154334038,4052,45.690301867585454,0.027143506835645457,0.5624383020730503,163.64036203068406
long,all,3,all:roc_atr_6 <= -1.3740,all:ret_6 <= -0.0016,11419,43.79232193030347,0.024659473746167226,0.5306068832647343,4511,50.86000626370185,0.038767600594712695,0.5530924407005099,157.37106484430322
long,all,6,all:roc_atr_6 <= -1.3740,all:ret_6 <= -0.0016,11419,43.79232193030347,0.0418283458115017,0.5355985637971802,4511,50.86000626370185,0.020765240866531226,0.5588561294613168,157.03361985147697
long,all,3,all:high_break_12 <= -3.0688,all:close_vs_ema20 <= -1.1293,11232,43.09181009218309,0.05765246810968557,0.5377492877492878,3880,43.75768492775189,0.02567907657841757,0.5626288659793814,156.28623146408245
long,all,3,all:roc_atr_6 <= -1.3740,all:rsi7 <= 29.5750,10783,41.35378715244487,0.0641061904214465,0.538996568672911,3859,43.510629135183805,0.05179604457110081,0.5584348276755636,152.993154763257
long,all,6,all:roc_atr_6 <= -1.3740,all:rsi7 <= 29.5750,10783,41.35378715244487,0.09429957803994117,0.5415005100621348,3859,43.510629135183805,0.02715805194635155,0.5594713656387665,151.94090245741108
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:roc_atr_6 <= -1.3740,10697,41.04145795587765,0.05476801584945558,0.5390296344769562,3848,43.38660298320479,0.039363117463881825,0.560031185031185,150.49619611548863
long,all,3,all:breakout_persist_down_6 >= 1.0000,all:rsi7 <= 29.5750,10357,39.73697111797932,0.06958897316043774,0.5404074538959158,3755,42.33636078922643,0.04671977057108357,0.5536617842876165,146.89458296138855
long,all,3,all:high_break_12 <= -3.0688,all:ema20_slope_3 <= -0.3403,10452,40.10199432476719,0.05510248243244413,0.5360696517412935,3645,41.15898843364047,0.016855469749236074,0.5618655692729767,145.19230368506143
