scenario,position_id,side,entry_time,entry_price,stop_loss_price,initial_risk_price_distance,target_reward_multiple,target_price,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_price,nearest_obstacle_distance_r,obstacle_buffer_r,hard_obstacle_present_before_target,soft_obstacle_present_before_target,clean_path_to_target,obstacle_blocked,obstacle_block_reason,obstacle_count_before_target,hard_obstacle_count_before_target,soft_obstacle_count_before_target,net_profit,result_r,outcome
session_one_shot_no_obstacle_filter,2,short,2025.01.03 08:55:00,157.157,157.571,0.41399999999998727,1.5,156.536,157.0,round_number,0.1570000000000107,0.3792270531401341,0.2,0,1,1,0,,1,0,1,-6.28,-0.18340470457079716,loss
session_one_shot_no_obstacle_filter,4,long,2025.01.08 10:35:00,158.289,157.884,0.40500000000000114,1.5,158.897,158.418,previous_day_high,0.1290000000000191,0.3185185185185648,0.2,1,1,0,0,,3,2,1,-3.29,-0.09825196011395984,loss
session_one_shot_no_obstacle_filter,6,long,2025.01.10 07:30:00,158.423,157.918,0.5049999999999955,1.5,159.181,158.5,round_number,0.07699999999999818,0.15247524752475025,0.2,1,1,0,0,,2,1,1,-3.66,-0.11470295049505053,loss
session_one_shot_no_obstacle_filter,8,short,2025.01.15 07:05:00,157.495,158.084,0.5889999999999986,1.5,156.612,157.48,current_day_low,0.01500000000001478,0.025466893039074387,0.2,1,1,0,0,,5,3,2,9.059999999999999,0.27069420486700685,win
session_one_shot_no_obstacle_filter,11,long,2025.01.17 07:35:00,155.586,154.959,0.6270000000000095,1.5,156.527,156.0,round_number,0.41399999999998727,0.6602870813396825,0.2,1,1,0,0,,3,2,1,2.5900000000000003,0.08121839314194454,win
session_one_shot_no_obstacle_filter,14,long,2025.01.23 07:05:00,156.717,156.267,0.45000000000001705,1.5,157.392,157.0,round_number,0.28299999999998704,0.6288888888888362,0.2,0,1,1,0,,1,0,1,0.96,0.02766346666666562,win
session_one_shot_no_obstacle_filter,17,long,2025.02.11 10:10:00,152.078,151.666,0.41200000000000614,1.5,152.696,152.091,current_day_high,0.01300000000000523,0.03155339805826465,0.2,1,1,0,0,,4,2,2,-4.7,-0.13754081404032653,loss
session_one_shot_no_obstacle_filter,19,short,2025.02.13 08:10:00,154.101,154.67,0.5689999999999884,1.5,153.248,154.08,current_day_low,0.020999999999986585,0.0369068541300299,0.2,0,1,1,0,,2,0,2,-2.04,-0.06056620972466438,loss
session_one_shot_no_obstacle_filter,21,short,2025.03.13 07:20:00,147.965,148.376,0.41100000000000136,1.5,147.349,147.931,current_day_low,0.033999999999991815,0.08272506082723041,0.2,1,1,0,0,,4,2,2,20.099999999999998,0.579849073554181,win
session_one_shot_no_obstacle_filter,24,long,2025.03.17 07:10:00,148.966,148.445,0.521000000000015,1.5,149.748,149.0,round_number,0.033999999999991815,0.065259117082516,0.2,1,1,0,0,,3,2,1,-7.38,-0.23233543186179753,loss
session_one_shot_no_obstacle_filter,26,long,2025.03.19 08:35:00,149.718,149.173,0.5449999999999875,1.5,150.536,149.731,current_day_high,0.01300000000000523,0.023853211009184454,0.2,1,1,0,0,,4,2,2,1.93,0.058574024464833147,win
session_one_shot_no_obstacle_filter,29,short,2025.03.25 07:20:00,150.549,150.945,0.3959999999999866,1.5,149.955,150.531,current_day_low,0.018000000000000682,0.04545454545454872,0.2,1,1,0,0,,3,1,2,4.39,0.12768180264180698,win
session_one_shot_no_obstacle_filter,32,short,2025.03.27 07:25:00,150.069,150.624,0.5550000000000068,1.5,149.237,150.052,current_day_low,0.016999999999995907,0.03063063063062288,0.2,1,1,0,0,,5,3,2,-2.16,-0.06510227027026948,loss
session_one_shot_no_obstacle_filter,34,short,2025.03.28 09:35:00,150.657,151.209,0.5519999999999925,1.5,149.829,150.651,current_day_low,0.006000000000000227,0.010869565217391864,0.2,1,1,0,0,,4,2,2,11.79,0.3562274456521788,win
session_one_shot_no_obstacle_filter,37,short,2025.04.01 07:05:00,149.603,150.142,0.5389999999999873,1.5,148.795,149.568,current_day_low,0.03499999999999659,0.06493506493506014,0.2,1,1,0,0,,3,1,2,-5.05,-0.15659788703360503,loss
session_one_shot_no_obstacle_filter,39,long,2025.04.02 09:30:00,149.979,149.501,0.47800000000000864,1.5,150.696,150.0,round_number,0.020999999999986585,0.04393305439327658,0.2,1,1,0,0,,3,2,1,-7.41,-0.23204616527196237,loss
session_one_shot_no_obstacle_filter,41,short,2025.04.28 08:00:00,143.317,143.879,0.5619999999999834,1.5,142.474,143.312,current_day_low,0.0049999999999954525,0.008896797153017081,0.2,1,1,0,0,,4,2,2,-6.84,-0.20269686832740813,loss
session_one_shot_no_obstacle_filter,43,long,2025.04.29 07:45:00,142.525,141.929,0.5960000000000036,1.5,143.419,143.0,round_number,0.4749999999999943,0.7969798657717977,0.2,0,1,1,0,,1,0,1,-4.66,-0.14017725671140854,loss
session_one_shot_no_obstacle_filter,45,long,2025.04.30 09:05:00,142.592,142.116,0.4759999999999991,1.5,143.306,142.749,previous_day_high,0.15699999999998226,0.3298319327730726,0.2,1,1,0,0,,3,2,1,4.1,0.12270628151260526,win
