scenario,obstacle_block_reason,blocked_signals
session_one_shot_target_1_5_clean_path,h1_h4_swing_blocked,8
session_one_shot_target_1_5_clean_path,no_clean_path_to_target,3
session_one_shot_target_1_5_clean_path,opening_range_level_blocked,17
session_one_shot_target_1_5_clean_path,previous_day_level_blocked,41
session_one_shot_target_2_0_clean_path_reference,h1_h4_swing_blocked,8
session_one_shot_target_2_0_clean_path_reference,no_clean_path_to_target,2
session_one_shot_target_2_0_clean_path_reference,opening_range_level_blocked,17
session_one_shot_target_2_0_clean_path_reference,previous_day_level_blocked,47
session_one_shot_target_1_2_clean_path_reference,h1_h4_swing_blocked,6
session_one_shot_target_1_2_clean_path_reference,no_clean_path_to_target,4
session_one_shot_target_1_2_clean_path_reference,opening_range_level_blocked,17
session_one_shot_target_1_2_clean_path_reference,previous_day_level_blocked,36
session_one_shot_target_1_5_soft_obstacle_diagnostics,h1_h4_swing_blocked,8
session_one_shot_target_1_5_soft_obstacle_diagnostics,no_clean_path_to_target,3
session_one_shot_target_1_5_soft_obstacle_diagnostics,opening_range_level_blocked,17
session_one_shot_target_1_5_soft_obstacle_diagnostics,previous_day_level_blocked,41
