scenario,soft_obstacle_present_before_target,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor
session_one_shot_no_obstacle_filter,0,1,0,0.0,-3.25,0,-3.25,0.0,-0.09910549461920774,-0.09910549461920774,0.0
session_one_shot_no_obstacle_filter,1,98,29,0.29591836734693877,-78.46999999999998,274.73999999999995,-353.2100000000001,0.777837547068316,-2.4171254259385404,-0.024664545162638166,0.7720374039201792
session_one_shot_target_1_5_clean_path,1,30,7,0.23333333333333334,-74.46000000000001,35.59,-110.05000000000001,0.32339845524761474,-2.25615073939434,-0.07520502464647799,0.3187577465659325
session_one_shot_target_2_0_clean_path_reference,1,25,6,0.24,-57.43000000000001,33.330000000000005,-90.75999999999999,0.367232260907889,-1.733564027247823,-0.06934256108991292,0.3637437349151771
session_one_shot_target_1_2_clean_path_reference,1,36,8,0.2222222222222222,-97.54,41.790000000000006,-139.33,0.29993540515323336,-2.914804541911436,-0.08096679283087321,0.301218327599297
session_one_shot_target_1_5_soft_obstacle_diagnostics,1,30,7,0.23333333333333334,-74.46000000000001,35.59,-110.05000000000001,0.32339845524761474,-2.25615073939434,-0.07520502464647799,0.3187577465659325
