scenario,clean_path_to_target,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor
session_one_shot_no_obstacle_filter,0,69,22,0.3188405797101449,-6.67000000000002,239.14999999999992,-245.82000000000002,0.9728663249532173,-0.2743268146753279,-0.003975750937323592,0.9629456597491496
session_one_shot_no_obstacle_filter,1,30,7,0.23333333333333334,-75.05000000000001,35.59,-110.64000000000001,0.3216738973246565,-2.241904105882419,-0.0747301368627473,0.32041003782366484
session_one_shot_target_1_5_clean_path,1,30,7,0.23333333333333334,-74.46000000000001,35.59,-110.05000000000001,0.32339845524761474,-2.25615073939434,-0.07520502464647799,0.3187577465659325
session_one_shot_target_2_0_clean_path_reference,1,25,6,0.24,-57.43000000000001,33.330000000000005,-90.75999999999999,0.367232260907889,-1.733564027247823,-0.06934256108991292,0.3637437349151771
session_one_shot_target_1_2_clean_path_reference,1,36,8,0.2222222222222222,-97.54,41.790000000000006,-139.33,0.29993540515323336,-2.914804541911436,-0.08096679283087321,0.301218327599297
session_one_shot_target_1_5_soft_obstacle_diagnostics,1,30,7,0.23333333333333334,-74.46000000000001,35.59,-110.05000000000001,0.32339845524761474,-2.25615073939434,-0.07520502464647799,0.3187577465659325
