entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,wave_stage,setup_type,wave_tf,fib_zone,divergence_type,m15_confirmation_type,failure_type,wave_size_atr,retracement_ratio,extension_ratio,wave_rule_validity,wave3_break_confirmed,pivot_confirmation_delay_bars,entry_delay_from_pivot,pivot_time,pivot_confirmed_time,room_to_1r,room_to_2r,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.03 17:15:00,2025.01.03 19:08:55,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,ma_reclaim,no_follow_through,14.2745,0.5219,0.5615,valid_abc,false,3,3,2025.01.03 13:00:00,2025.01.03 16:00:00,4.1806,4.1806,1.02883000,1.03038000,1.03038000,1.02666000,0.00155000,-1.0000,-24.80,0.00,0.00,-24.80,0.160,1.400,7,0.00105643,18.00,1.3000,DEAL_REASON_SL,25
2025.01.03 13:15:00,2025.01.03 21:15:00,abc_completion_reentry_only,GBPJPY,LONG,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,ma_reclaim,no_follow_through,4.9649,0.6030,0.0646,valid_abc,false,3,3,2025.01.03 09:00:00,2025.01.03 12:00:00,3.4846,3.4846,195.24100000,195.21200000,194.59100000,196.15100000,0.65000000,-0.0446,-1.11,0.00,0.00,-1.11,0.060,1.400,32,0.22578571,38.00,1.3000,DEAL_REASON_EXPERT,20
2025.01.03 18:45:00,2025.01.03 22:42:45,abc_completion_reentry_only,EURJPY,SHORT,EUR,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,ma_reclaim,fib_not_aligned,11.8840,0.4547,0.3261,valid_abc,false,3,4,2025.01.03 13:00:00,2025.01.03 16:00:00,3.6230,3.6230,161.76700000,162.01400000,162.01100000,161.42500000,0.24400000,-1.0123,-25.13,0.00,0.00,-25.13,0.160,1.400,15,0.20321429,30.00,0.9500,DEAL_REASON_SL,28
2025.01.03 16:45:00,2025.01.06 00:45:00,abc_completion_reentry_only,USDJPY,SHORT,USD,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_other,none,candle_reversal,target_blocked,3.2757,0.8929,0.0410,valid_abc,false,3,5,2025.01.02 16:00:00,2025.01.03 04:00:00,1.1224,1.1224,157.22400000,157.25300000,157.93500000,156.22900000,0.71100000,-0.0408,-0.92,0.00,-0.56,-1.48,0.050,1.400,32,0.62428571,20.00,0.8561,DEAL_REASON_EXPERT,23
2025.01.03 16:45:00,2025.01.06 00:45:53,abc_completion_reentry_only,AUDJPY,LONG,AUD,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,micro_bos,target_blocked,4.4597,0.7651,0.1079,valid_abc,false,3,6,2025.01.03 09:00:00,2025.01.03 12:00:00,0.6608,0.6608,97.80000000,97.64300000,97.45800000,98.27900000,0.34200000,-0.4591,-10.98,0.00,0.19,-10.79,0.110,1.400,32,0.15942857,28.00,1.1830,DEAL_REASON_EXPERT,24
2025.01.06 02:15:00,2025.01.06 03:15:10,abc_completion_reentry_only,GBPUSD,SHORT,GBP,USD,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,ma_reclaim,fib_not_aligned,10.9005,0.4350,0.2674,valid_abc,false,3,3,2025.01.03 22:00:00,2025.01.06 01:00:00,3.9474,3.9474,1.24186000,1.24359000,1.24357000,1.23947000,0.00171000,-1.0117,-24.22,0.00,0.00,-24.22,0.140,1.400,4,0.00172929,20.00,0.9500,DEAL_REASON_SL,34
2025.01.06 06:45:00,2025.01.06 06:54:52,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_other,bullish_rsi_macd,ma_reclaim,fib_not_aligned,2.6325,0.9008,0.2144,valid_abc,false,3,16,2025.01.03 13:00:00,2025.01.03 16:00:00,23.0000,23.0000,196.11200000,196.19700000,196.19600000,195.99400000,0.08400000,-1.0119,-24.79,0.00,0.00,-24.79,0.460,1.400,0,0.24121429,38.00,1.1000,DEAL_REASON_SL,37
2025.01.06 08:30:00,2025.01.06 08:30:32,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_other,bullish_rsi_macd,ma_reclaim,fib_not_aligned,2.6325,0.9008,0.2144,valid_abc,false,3,18,2025.01.03 13:00:00,2025.01.03 16:00:00,23.6667,23.6667,196.16800000,196.25800000,196.25200000,196.05000000,0.08400000,-1.0714,-26.25,0.00,0.00,-26.25,0.460,1.400,0,0.24121429,38.00,1.1000,DEAL_REASON_SL,39
2025.01.06 09:00:00,2025.01.06 09:24:51,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_other,bullish_rsi_macd,ma_reclaim,fib_not_aligned,2.6325,0.9008,0.2144,valid_abc,false,3,19,2025.01.03 13:00:00,2025.01.03 16:00:00,23.2619,23.2619,196.13400000,196.21800000,196.21800000,196.01600000,0.08400000,-1.0000,-24.52,0.00,0.00,-24.52,0.460,1.400,1,0.24121429,38.00,1.1000,DEAL_REASON_SL,41
2025.01.06 03:15:00,2025.01.06 11:15:00,abc_completion_reentry_only,USDJPY,SHORT,USD,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_other,none,ma_reclaim,fib_not_aligned,3.2757,0.8929,0.0410,valid_abc,false,3,7,2025.01.02 16:00:00,2025.01.03 04:00:00,2.8106,2.8106,157.53900000,157.71700000,157.93500000,156.98500000,0.39600000,-0.4495,-10.16,0.00,0.00,-10.16,0.090,1.400,32,0.62428571,16.00,0.9405,DEAL_REASON_EXPERT,35
