variant,bucket_type,trades,expectancy_r,pf,wins,losses
ref_v2_5,DISCOUNT_RECLAIM,5,0.4037844,2.4593702563212907,3,2
ref_v2_5,EXPANSION_PULLBACK,60,0.21745661666666663,1.6934877807524862,38,22
ref_v2_5,SHALLOW_CONTINUATION,11,0.4347582727272728,3.730249775492646,8,3
mid_range_family,DISCOUNT_RECLAIM,5,0.4037844,2.4593702563212907,3,2
mid_range_family,EXPANSION_PULLBACK,59,0.2387115593220339,1.792232578272021,38,21
mid_range_family,MID_RANGE_CONTINUATION,1,-0.463415,0.0,0,1
mid_range_family,SHALLOW_CONTINUATION,11,0.4347582727272728,3.730249775492646,8,3
sl_m1_swing,DISCOUNT_RECLAIM,5,-0.009582999999999986,0.9807468448171183,2,3
sl_m1_swing,EXPANSION_PULLBACK,57,0.21751315789473682,1.682863049669437,36,21
sl_m1_swing,SHALLOW_CONTINUATION,10,0.513264,4.670266397223187,8,2
sl_m5_swing,DISCOUNT_RECLAIM,1,1.212121,0,1,0
sl_m5_swing,EXPANSION_PULLBACK,6,-0.15604699999999996,0.5888544614298287,2,4
sl_m5_swing,SHALLOW_CONTINUATION,6,0.08358700000000001,1.4788786995695533,3,2
tp_recent_high_or_r,DISCOUNT_RECLAIM,5,0.4037844,2.4593702563212907,3,2
tp_recent_high_or_r,EXPANSION_PULLBACK,60,0.21745661666666663,1.6934877807524862,38,22
tp_recent_high_or_r,SHALLOW_CONTINUATION,11,0.4347582727272728,3.730249775492646,8,3
hold_long_r135,DISCOUNT_RECLAIM,4,0.6205417500000001,3.4821670000000005,3,1
hold_long_r135,EXPANSION_PULLBACK,47,0.258135085106383,1.6911913073286455,26,21
hold_long_r135,SHALLOW_CONTINUATION,9,0.3331524444444444,1.9282968794456665,5,4
second_entry_conservative,DISCOUNT_RECLAIM,5,0.4037844,2.4593702563212907,3,2
second_entry_conservative,EXPANSION_PULLBACK,56,0.17797375,1.5599873512293139,35,21
second_entry_conservative,SHALLOW_CONTINUATION,11,0.4347582727272728,3.730249775492646,8,3
one_position_control,DISCOUNT_RECLAIM,5,0.4037844,2.4593702563212907,3,2
one_position_control,EXPANSION_PULLBACK,54,0.18014098148148147,1.5460604114589678,33,21
one_position_control,SHALLOW_CONTINUATION,11,0.4347582727272728,3.730249775492646,8,3
