variant,reason,count
ref_v2_5,additional_entry_not_expansion_pullback,48
ref_v2_5,max_open_positions,10
ref_v2_5,same_quality_bar_entry_blocked,21
ref_v2_5,averaging_down_blocked,22
ref_v2_5,additional_entry_up_pressure_too_low,3
ref_v2_5,additional_entry_extended_range_needs_pressure,1
ref_v2_5,additional_entry_loss_streak_throttle,4
ref_v2_5,additional_entry_atr_ratio_too_low,8
ref_v2_5,additional_entry_open_profit_r_too_low,14
ref_v2_5,additional_entry_wide_risk_needs_pressure,4
ref_v2_5,cooldown_bars_blocked,1
ref_v2_5,additional_entry_bucket_mismatch,4
mid_range_family,additional_entry_not_expansion_pullback,48
mid_range_family,max_open_positions,10
mid_range_family,same_quality_bar_entry_blocked,21
mid_range_family,averaging_down_blocked,22
mid_range_family,additional_entry_up_pressure_too_low,3
mid_range_family,additional_entry_extended_range_needs_pressure,1
mid_range_family,additional_entry_loss_streak_throttle,4
mid_range_family,additional_entry_bucket_mismatch,5
mid_range_family,additional_entry_atr_ratio_too_low,8
mid_range_family,additional_entry_open_profit_r_too_low,14
mid_range_family,additional_entry_wide_risk_needs_pressure,4
mid_range_family,cooldown_bars_blocked,1
sl_m1_swing,same_quality_bar_entry_blocked,18
sl_m1_swing,additional_entry_extended_range_needs_pressure,2
sl_m1_swing,additional_entry_open_profit_r_too_low,14
sl_m1_swing,additional_entry_wide_risk_needs_pressure,6
sl_m1_swing,additional_entry_not_expansion_pullback,46
sl_m1_swing,additional_entry_up_pressure_too_low,3
sl_m1_swing,averaging_down_blocked,21
sl_m1_swing,additional_entry_atr_ratio_too_low,9
sl_m1_swing,additional_entry_loss_streak_throttle,2
sl_m1_swing,additional_entry_day_dd_throttle,1
sl_m1_swing,cooldown_bars_blocked,1
sl_m1_swing,max_open_positions,7
sl_m1_swing,additional_entry_bucket_mismatch,3
sl_m5_swing,averaging_down_blocked,4
sl_m5_swing,additional_entry_not_expansion_pullback,5
sl_m5_swing,same_quality_bar_entry_blocked,3
sl_m5_swing,additional_entry_open_profit_r_too_low,1
sl_m5_swing,additional_entry_wide_risk_needs_pressure,1
tp_recent_high_or_r,additional_entry_not_expansion_pullback,48
tp_recent_high_or_r,max_open_positions,10
tp_recent_high_or_r,same_quality_bar_entry_blocked,21
tp_recent_high_or_r,averaging_down_blocked,22
tp_recent_high_or_r,additional_entry_up_pressure_too_low,3
tp_recent_high_or_r,additional_entry_extended_range_needs_pressure,1
tp_recent_high_or_r,additional_entry_loss_streak_throttle,4
tp_recent_high_or_r,additional_entry_atr_ratio_too_low,8
tp_recent_high_or_r,additional_entry_open_profit_r_too_low,14
tp_recent_high_or_r,additional_entry_wide_risk_needs_pressure,4
tp_recent_high_or_r,cooldown_bars_blocked,1
tp_recent_high_or_r,additional_entry_bucket_mismatch,4
hold_long_r135,additional_entry_not_expansion_pullback,51
hold_long_r135,cooldown_bars_blocked,2
hold_long_r135,max_open_positions,11
hold_long_r135,additional_entry_extended_range_needs_pressure,2
hold_long_r135,additional_entry_atr_ratio_too_low,6
hold_long_r135,additional_entry_up_pressure_too_low,3
hold_long_r135,averaging_down_blocked,20
hold_long_r135,same_quality_bar_entry_blocked,18
hold_long_r135,additional_entry_loss_streak_throttle,12
hold_long_r135,max_consecutive_losses,12
hold_long_r135,additional_entry_open_profit_r_too_low,13
hold_long_r135,additional_entry_wide_risk_needs_pressure,3
hold_long_r135,additional_entry_bucket_mismatch,3
second_entry_conservative,additional_entry_not_expansion_pullback,48
second_entry_conservative,additional_entry_open_profit_r_too_low,26
second_entry_conservative,max_open_positions,5
second_entry_conservative,additional_entry_extended_range_needs_pressure,1
second_entry_conservative,same_quality_bar_entry_blocked,21
second_entry_conservative,averaging_down_blocked,24
second_entry_conservative,additional_entry_up_pressure_too_low,3
second_entry_conservative,additional_entry_loss_streak_throttle,4
second_entry_conservative,additional_entry_day_dd_throttle,3
second_entry_conservative,additional_entry_atr_ratio_too_low,5
second_entry_conservative,additional_entry_bucket_mismatch,4
one_position_control,max_open_positions,146
