variant,exit_reason,trades,expectancy_r
ref_v2_5,SL,16,-1.0212815
ref_v2_5,TIMEOUT,32,0.06736049999999998
ref_v2_5,TP,28,1.2154867142857142
mid_range_family,SL,15,-1.0202612666666664
mid_range_family,TIMEOUT,33,0.05127639393939395
mid_range_family,TP,28,1.2154867142857142
sl_m1_swing,SL,18,-1.0347594444444443
sl_m1_swing,TIMEOUT,27,0.12486222222222221
sl_m1_swing,TP,27,1.212495
sl_m5_swing,SL,1,-1.103448
sl_m5_swing,TIMEOUT,10,-0.053792400000000004
sl_m5_swing,TP,2,1.2093665
tp_recent_high_or_r,SL,16,-1.0212815
tp_recent_high_or_r,TIMEOUT,32,0.06736049999999998
tp_recent_high_or_r,TP,28,1.2154867142857142
hold_long_r135,SL,20,-1.0219489499999999
hold_long_r135,TIMEOUT,14,0.19326771428571426
hold_long_r135,TP,26,1.3594661153846157
second_entry_conservative,SL,15,-1.0216074
second_entry_conservative,TIMEOUT,33,0.08854075757575752
second_entry_conservative,TP,24,1.215419125
one_position_control,SL,15,-1.0227002666666667
one_position_control,TIMEOUT,30,0.04867303333333333
one_position_control,TP,25,1.2163675599999997
