variant,entry_layer,entries
ref_v2_5,1,69
ref_v2_5,2,7
mid_range_family,1,69
mid_range_family,2,7
sl_m1_swing,1,64
sl_m1_swing,2,8
sl_m5_swing,1,13
tp_recent_high_or_r,1,69
tp_recent_high_or_r,2,7
hold_long_r135,1,52
hold_long_r135,2,8
second_entry_conservative,1,68
second_entry_conservative,2,4
one_position_control,1,70
