run,magic,trades,win_rate,avg_win_r,avg_loss_r,expectancy_r,pf,maxdd_r_seq,maxdd_r_summary,maxdd_percent_summary,total_r,max_consecutive_losses,risk_guard_rejects,live_errors,dd_percent_stop_events,period_r_stop_events
raw_full,2026054101,303,40.924092,1.513876,-1.032004,0.009874,1.016196,23.668562,23.668562304046922,5.655746104820063,2.991885,12,0,0,0,0
prod_2025,2026054102,92,48.913043,1.496489,-1.038505,0.201438,1.379684,11.574514,11.574514098883089,2.9743580965097074,18.532260,8,9,0,0,10
prod_2026_oos,2026054103,38,47.368421,1.488500,-1.011159,0.172890,1.324866,5.090685,5.09068532629095,1.6716673810544398,6.569823,3,1,0,0,2
prod_full,2026054104,277,42.238267,1.517704,-1.033445,0.044116,1.073905,24.282621,24.28262070824202,5.888324475173636,12.220202,8,42,0,0,39
