run;magic;date;trigger;strategy_mode;enable_trading;closed_trades;realized_profit_r;max_daily_dd_r;consecutive_losses;drawdown_percent;max_drawdown_percent;drawdown_guard_state;stop_condition_triggered;stop_reason;stop_class
prod_2025;2026054102;20250610;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0629072547;2.0629072547;2;0.8397984406;1.2378584969;0;true;daily_loss_r_reached;period_r
prod_2025;2026054102;20250611;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0280743744;2.0280743744;2;1.3399961433;1.3399961433;0;true;daily_loss_r_reached;period_r
prod_2025;2026054102;20250718;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0134440490;2.0134440490;2;1.0217615704;1.4279397815;0;true;daily_loss_r_reached;period_r
prod_2025;2026054102;20250728;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0031409501;2.0031409501;2;1.1463221005;1.4279397815;0;true;daily_loss_r_reached;period_r
prod_2025;2026054102;20250828;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.5977887915;1.5977887915;1;0.3985655065;1.5357659800;0;true;daily_loss_r_reached;period_r
prod_2025;2026054102;20251023;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0650139012;2.0650139012;2;1.5649711228;1.5649711228;0;true;daily_loss_r_reached;period_r
prod_2025;2026054102;20251027;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.0000000000;1.0000000000;1;2.0447523159;2.0447523159;0;true;monthly_loss_r_reached;period_r
prod_2025;2026054102;20251030;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;2.0447523159;2.0447523159;0;true;monthly_loss_r_reached;period_r
prod_2025;2026054102;20251031;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;2.0447523159;2.0447523159;0;true;monthly_loss_r_reached;period_r
prod_2025;2026054102;20251104;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.1275635569;2.1275635569;2;2.7996587800;2.7996587800;0;true;daily_loss_r_reached;period_r
prod_2026_oos;2026054103;20260326;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0534321943;2.0534321943;2;1.0479094416;1.0479094416;0;true;daily_loss_r_reached;period_r
prod_2026_oos;2026054103;20260422;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0000000000;2.0000000000;2;1.1936445466;1.1936445466;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240117;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.2215490485;2.2215490485;2;1.8056847987;1.8056847987;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240118;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;1.8056847987;1.8056847987;0;true;weekly_loss_r_reached;period_r
prod_full;2026054104;20240119;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;1.8056847987;1.8056847987;0;true;weekly_loss_r_reached;period_r
prod_full;2026054104;20240216;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0116512656;2.0116512656;2;0.6509183749;1.8836444602;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240226;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0000000000;2.0000000000;2;0.6469523833;1.8836444602;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240325;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0000000000;2.0000000000;2;0.4985624815;1.8836444602;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240411;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.0071400238;1.0071400238;1;0.9953671041;1.8836444602;0;true;weekly_loss_r_reached;period_r
prod_full;2026054104;20240412;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;0.9953671041;1.8836444602;0;true;weekly_loss_r_reached;period_r
prod_full;2026054104;20240416;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0000000000;2.0000000000;2;1.4858974962;1.8836444602;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240423;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0406008932;2.0406008932;2;2.2782324444;2.2782324444;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240425;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;2.2782324444;2.2782324444;0;true;monthly_loss_r_reached;period_r
prod_full;2026054104;20240510;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0080906149;2.0080906149;2;2.3146841635;2.3938588652;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240520;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.1313420622;2.1313420622;2;2.7144772118;2.7144772118;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240527;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.1372514683;2.1372514683;2;3.0662558989;3.0662558989;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240529;daily_rollover;STRATEGY_01B_J_SHORT;true;1;-1.0172413793;1.0172413793;1;3.5463995108;3.5463995108;0;true;weekly_loss_r_reached;period_r
prod_full;2026054104;20240530;daily_rollover;STRATEGY_01B_J_SHORT;true;0;0.0000000000;0.0000000000;0;3.5463995108;3.5463995108;0;true;weekly_loss_r_reached;period_r
prod_full;2026054104;20240611;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0847595762;2.0847595762;2;3.9341399746;3.9341399746;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240710;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0000000000;2.0000000000;2;4.6587648747;4.6587648747;0;true;daily_loss_r_reached;period_r
prod_full;2026054104;20240920;daily_rollover;STRATEGY_01B_J_SHORT;true;2;-2.0928983719;2.0928983719;2;2.9580766035;4.8658145587;0;true;daily_loss_r_reached;period_r
