"check","result","actual","expected"
"event_rows","PASS","19","19"
"event_duplicate","PASS","0","0"
"entry_before_eligible","PASS","0","0"
"entry_before_processing","PASS","0","0"
"stale_detection_fill","PASS","0","0"
"reversal_signal_overwrite","PASS","0","0"
"realized_rr_below_requested","PASS","0","0"
"scenario_valid_total","PASS","7128","7128"
"scenario_invalid_total","PASS","324","324"
"internal_writer_recount","PASS","valid=7128;invalid=324;sum_r=-2083.9537233045;matches=true","matches=true"
"global_order_violation","PASS","0","0"
"cluster_counts_present","PASS","event_rows=19;symbol_clusters=17;market_clusters=15;symbol_overlap_events=2;market_overlap_events=4;duplicate_events=0","three separate counts"
"scenario_group_recount","PASS","mismatches=0;csv_groups=552;summary_groups=552;samples=","mismatches=0 and equal group counts"
