event_id,detector_version,market_cluster_id,representative,event_msc,symbol,time_bucket,trigger_horizon_ms,estimator,volatility_regime,matched,control_id,time_difference_ms,unmatched_reason
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741034883000_1","STRICT_V0","1","1","1741034883000","USDCAD","5","500","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h1_1741034752500_126283","130500",""
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741038718500_3","STRICT_V0","2","1","1741038718500","USDCAD","5","500","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h1_1741038570500_136842","148000",""
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w1000_1741130342000_4","STRICT_V0","3","1","1741130342000","USDCAD","5","1000","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h2_1741130212000_410155","130000",""
"ts15b_strict_v0_realizable_202503_20260827_USDJPY_w500_1741130386000_5","STRICT_V0","4","1","1741130386000","USDJPY","5","500","0","NORMAL","true","USDJPY_STRICT_V0_ctrl_h1_1741130218000_671999","168000",""
"ts15b_strict_v0_realizable_202503_20260827_USDJPY_w500_1741130400500_6","STRICT_V0","5","1","1741130400500","USDJPY","5","500","0","NORMAL","true","USDJPY_STRICT_V0_ctrl_h1_1741130218000_671999","182500",""
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741145318000_7","STRICT_V0","6","1","1741145318000","USDCAD","0","500","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h1_1741145191000_426476","127000",""
"ts15b_strict_v0_realizable_202503_20260827_EURUSD_w1000_1741187018000_8","STRICT_V0","7","1","1741187018000","EURUSD","3","1000","0","NORMAL","true","EURUSD_STRICT_V0_ctrl_h2_1741097127000_113533","89891000",""
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741201070500_9","STRICT_V0","8","1","1741201070500","USDCAD","4","500","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h1_1741200946000_589742","124500",""
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741201073500_11","STRICT_V0","9","1","1741201073500","USDCAD","4","500","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h1_1741200946000_589742","127500",""
"ts15b_strict_v0_realizable_202503_20260827_EURUSD_w500_1741361406000_12","STRICT_V0","10","1","1741361406000","EURUSD","3","500","0","NORMAL","true","EURUSD_STRICT_V0_ctrl_h1_1741361275500_503720","130500",""
"ts15b_strict_v0_realizable_202503_20260827_USDJPY_w500_1741361422500_13","STRICT_V0","11","1","1741361422500","USDJPY","3","500","0","NORMAL","true","USDJPY_STRICT_V0_ctrl_h1_1741361299500_1530033","123000",""
"ts15b_strict_v0_realizable_202503_20260827_GBPUSD_w1000_1741369740000_14","STRICT_V0","12","1","1741369740000","GBPUSD","4","1000","0","NORMAL","true","GBPUSD_STRICT_V0_ctrl_h2_1741369618000_615636","122000",""
"ts15b_strict_v0_realizable_202503_20260827_USDJPY_w1000_1742377768000_16","STRICT_V0","13","1","1742377768000","USDJPY","2","1000","0","NORMAL","true","USDJPY_STRICT_V0_ctrl_h2_1742377643000_3513491","125000",""
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1742497474000_17","STRICT_V0","14","1","1742497474000","USDCAD","4","500","0","NORMAL","true","USDCAD_STRICT_V0_ctrl_h1_1742497348500_2233761","125500",""
"ts15b_strict_v0_realizable_202503_20260827_EURUSD_w250_1742814900500_18","STRICT_V0","15","1","1742814900500","EURUSD","2","250","0","NORMAL","true","EURUSD_STRICT_V0_ctrl_h0_1742814530250_1164794","370250",""
