event_id,detector_version,market_cluster_id,market_overlap_event,symbol,direction,severity,trigger_horizon_ms,time_bucket,volatility_regime,statistical_shock,direction_available,directional_burst,activity_elevated,liquidity_normal,cost_feasible,common_strategy_eligible,detection_continuation_reachable,post_burst_continuation_reachable,pullback_continuation_reachable,failed_shock_reversal_reachable,strategy_signal,first_fail_reason,all_fail_reasons,candidate_msc,confirmed_msc,detection_entry_msc,post_burst_entry_msc,pullback_entry_msc,reversal_entry_msc,record_status
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741034883000_1","STRICT_V0","1","false","USDCAD","SHORT","LEGACY","500","5","NORMAL","1","true","1","1","1","1","1","true","true","false","true","true","","PULLBACK_CONTINUATION_REACHABLE","1741034883000","1741034883000","1741034883000","1741034884758","","1741034885313","FAILED_SHOCK_REVERSAL"
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w1000_1741034883000_2","STRICT_V0","1","true","USDCAD","SHORT","LEGACY","1000","5","NORMAL","1","true","1","1","1","1","1","true","true","false","true","true","","PULLBACK_CONTINUATION_REACHABLE","1741034883000","1741034883000","1741034883000","1741034884758","","1741034890570","FAILED_SHOCK_REVERSAL"
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741038718500_3","STRICT_V0","2","false","USDCAD","SHORT","LEGACY","500","5","NORMAL","1","true","1","1","1","1","1","true","true","true","false","true","","FAILED_SHOCK_REVERSAL_REACHABLE","1741038718500","1741038718500","1741038718500","1741038718825","1741038719823","","PULLBACK_REACCELERATION"
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w1000_1741130342000_4","STRICT_V0","3","false","USDCAD","SHORT","LEGACY","1000","5","NORMAL","1","true","1","1","1","1","1","true","true","true","false","true","","FAILED_SHOCK_REVERSAL_REACHABLE","1741130342000","1741130342000","1741130342000","1741130342737","1741130347972","","PULLBACK_REACCELERATION"
"ts15b_strict_v0_realizable_202503_20260827_USDJPY_w500_1741130386000_5","STRICT_V0","4","false","USDJPY","LONG","LEGACY","500","5","NORMAL","1","true","1","1","1","1","1","true","true","false","false","true","","PULLBACK_CONTINUATION_REACHABLE|FAILED_SHOCK_REVERSAL_REACHABLE","1741130386000","1741130386000","1741130386000","1741130386430","","","PULLBACK_TIMEOUT"
"ts15b_strict_v0_realizable_202503_20260827_USDJPY_w500_1741130400500_6","STRICT_V0","5","false","USDJPY","LONG","LEGACY","500","5","NORMAL","1","true","1","1","1","1","1","true","true","true","false","true","","FAILED_SHOCK_REVERSAL_REACHABLE","1741130400500","1741130400500","1741130400500","1741130401158","1741130404841","","PULLBACK_REACCELERATION"
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741145318000_7","STRICT_V0","6","false","USDCAD","LONG","LEGACY","500","0","NORMAL","1","true","1","1","1","1","1","true","true","false","true","true","","PULLBACK_CONTINUATION_REACHABLE","1741145318000","1741145318000","1741145318000","1741145318352","","1741145322031","FAILED_SHOCK_REVERSAL"
"ts15b_strict_v0_realizable_202503_20260827_EURUSD_w1000_1741187018000_8","STRICT_V0","7","false","EURUSD","SHORT","LEGACY","1000","3","NORMAL","1","true","1","1","1","1","1","true","true","false","true","true","","PULLBACK_CONTINUATION_REACHABLE","1741187018000","1741187018000","1741187018000","1741187018875","","1741187019660","FAILED_SHOCK_REVERSAL"
"ts15b_strict_v0_realizable_202503_20260827_GBPUSD_w1000_1741201071000_10","STRICT_V0","8","true","GBPUSD","LONG","LEGACY","1000","4","NORMAL","1","true","1","1","1","1","1","true","true","false","true","true","","PULLBACK_CONTINUATION_REACHABLE","1741201071000","1741201071000","1741201071000","1741201071528","","1741201072483","FAILED_SHOCK_REVERSAL"
"ts15b_strict_v0_realizable_202503_20260827_USDCAD_w500_1741201070500_9","STRICT_V0","8","false","USDCAD","SHORT","LEGACY","500","4","NORMAL","1","true","1","1","1","1","1","true","true","false","true","true","","PULLBACK_CONTINUATION_REACHABLE","1741201070500","1741201070500","1741201070500","1741201072378","","1741201073333","FAILED_SHOCK_REVERSAL"
