model,feature_group,with_symbol,episodes,positives,positive_rate,average_precision,recall,precision,f2,selected
LIGHTGBM,A_EXISTING,False,1620,50,0.030864197530864196,0.2013000791211405,0.44,0.1774193548387097,0.3395061728395062,124
LIGHTGBM,B_PRICE_LAGS,False,1620,50,0.030864197530864196,0.19038776832044269,0.42,0.17796610169491525,0.330188679245283,118
LIGHTGBM,C_SPREAD_ACTIVITY,False,1620,50,0.030864197530864196,0.2106367213552342,0.36,0.1875,0.30405405405405406,96
LIGHTGBM,D_MARKET_STRUCTURE,False,1620,50,0.030864197530864196,0.22950628917094262,0.38,0.20430107526881722,0.3242320819112628,93
LIGHTGBM,E_FULL,False,1620,50,0.030864197530864196,0.22127073303125097,0.44,0.23157894736842105,0.3728813559322034,95
LIGHTGBM,E_FULL,True,1620,50,0.030864197530864196,0.201164442917188,0.38,0.1919191919191919,0.3177257525083612,99
LOGISTIC,A_EXISTING,False,1620,50,0.030864197530864196,0.2093700804842091,0.64,0.16494845360824742,0.40609137055837563,194
LOGISTIC,B_PRICE_LAGS,False,1620,50,0.030864197530864196,0.1827223859506732,0.56,0.1407035175879397,0.3508771929824561,199
LOGISTIC,C_SPREAD_ACTIVITY,False,1620,50,0.030864197530864196,0.17605824374411605,0.56,0.14,0.35,200
LOGISTIC,D_MARKET_STRUCTURE,False,1620,50,0.030864197530864196,0.16438047328666844,0.54,0.14754098360655737,0.3524804177545692,183
LOGISTIC,E_FULL,False,1620,50,0.030864197530864196,0.1528389230355351,0.52,0.13402061855670103,0.3299492385786802,194
LOGISTIC,E_FULL,True,1620,50,0.030864197530864196,0.14904987954589588,0.52,0.14772727272727273,0.34574468085106386,176
TREE,A_EXISTING,False,1620,50,0.030864197530864196,0.17583841577364298,0.64,0.1951219512195122,0.43956043956043955,164
TREE,B_PRICE_LAGS,False,1620,50,0.030864197530864196,0.17748962234765758,0.62,0.2012987012987013,0.4378531073446328,154
TREE,C_SPREAD_ACTIVITY,False,1620,50,0.030864197530864196,0.1818495219388019,0.64,0.1807909604519774,0.4244031830238727,177
TREE,D_MARKET_STRUCTURE,False,1620,50,0.030864197530864196,0.2053882953112255,0.7,0.21084337349397592,0.4781420765027322,166
TREE,E_FULL,False,1620,50,0.030864197530864196,0.20528031358642035,0.7,0.21084337349397592,0.4781420765027322,166
TREE,E_FULL,True,1620,50,0.030864197530864196,0.2058507910770142,0.7,0.21084337349397592,0.4781420765027322,166
