feature,bin,episodes,clusters,clean_count,clean_rate,clean_rate_cluster_bootstrap_low,clean_rate_cluster_bootstrap_high,relative_risk
spread_atr_t0,Q1,540,538,155,0.28703703703703703,0.24812602238004933,0.3275046382189239,4.116233254531126
spread_atr_t0,Q2,539,537,27,0.05009276437847866,0.03336270871985158,0.06845835900595605,0.7183515572573322
spread_atr_t0,Q3,539,531,5,0.00927643784786642,0.0018603801928654994,0.016776192362211288,0.13302806615876525
spread_atr_t0,Q4,539,532,1,0.0018552875695732839,0.0,0.005607476635514018,0.026605613231753047
spread_atr_t0,Q5,539,515,0,0.0,0.0,0.0,0.0
atr14_m5,Q1,540,527,1,0.001851851851851852,0.0,0.0056179775280898875,0.02655634357762017
atr14_m5,Q2,539,528,1,0.0018552875695732839,0.0,0.005571294080322226,0.026605613231753047
atr14_m5,Q3,539,529,17,0.03153988868274583,0.018656716417910446,0.04797047970479705,0.4522954249398018
atr14_m5,Q4,539,539,27,0.05009276437847866,0.03339517625231911,0.06679035250463822,0.7183515572573322
atr14_m5,Q5,539,539,142,0.2634508348794063,0.2300556586270872,0.2987012987012987,3.7779970789089323
spread_percentile,Q1,441,429,69,0.1564625850340136,0.12454161376141243,0.18993135011441648,2.2437400492111736
spread_percentile,Q2,441,435,32,0.07256235827664399,0.047670454545454544,0.09684684684684684,1.0405750952863415
spread_percentile,Q3,440,431,21,0.04772727272727273,0.02739427552738437,0.06858398988526884,0.6844294003868472
spread_percentile,Q4,441,433,8,0.018140589569160998,0.0068100649350649346,0.02968036529680365,0.2601437738215854
spread_percentile,Q5,441,421,8,0.018140589569160998,0.008817408217845855,0.029953917050691243,0.2601437738215854
activity_percentile,Q1,422,418,45,0.1066350710900474,0.07998294771925746,0.13744075829383887,1.5291922960572752
activity_percentile,Q2,421,421,48,0.11401425178147269,0.08788598574821853,0.14614014251781468,1.635012887249204
activity_percentile,Q3,421,416,22,0.052256532066508314,0.031026252983293555,0.07312223612849394,0.7493809066558851
activity_percentile,Q4,421,411,1,0.0023752969121140144,0.0,0.007211538461538462,0.034062768484358415
activity_percentile,Q5,422,415,17,0.04028436018957346,0.02372341862638043,0.0591016548463357,0.5776948673994151
atr_percentile,Q1,441,431,5,0.011337868480725623,0.0044690296420581655,0.02461137692184497,0.16258985863849085
atr_percentile,Q2,442,429,12,0.027149321266968326,0.013435744382022472,0.04294033379978141,0.38933281987099255
atr_percentile,Q3,439,432,15,0.03416856492027335,0.0182648401826484,0.0522164244485673,0.48999176077157947
atr_percentile,Q4,441,434,37,0.08390022675736962,0.0584206964812346,0.11227330224139613,1.2031649539248324
atr_percentile,Q5,441,430,69,0.1564625850340136,0.1228600641954856,0.19185001649246497,2.2437400492111736
pre_return_5m_dir_atr,Q1,540,526,31,0.05740740740740741,0.03867403314917127,0.07742298831828097,0.8232466509062253
pre_return_5m_dir_atr,Q2,539,529,43,0.07977736549165121,0.05815174015662092,0.10170471158264063,1.144041368965381
pre_return_5m_dir_atr,Q3,539,528,36,0.06679035250463822,0.04621072088724584,0.08793683713115615,0.9578020763431097
pre_return_5m_dir_atr,Q4,539,532,36,0.06679035250463822,0.04814385508866628,0.08872458410351201,0.9578020763431097
pre_return_5m_dir_atr,Q5,539,530,42,0.07792207792207792,0.055762081784386616,0.10339851024208561,1.1174357557336279
m5_ema20_slope_dir_atr,Q1,540,524,40,0.07407407407407407,0.052285186218440506,0.09872521318786061,1.0622537431048067
m5_ema20_slope_dir_atr,Q2,539,526,40,0.07421150278293136,0.05304184454470736,0.09916281633938885,1.064224529270122
m5_ema20_slope_dir_atr,Q3,539,526,34,0.06307977736549165,0.04447979440523882,0.08418404025880662,0.9045908498796036
m5_ema20_slope_dir_atr,Q4,539,532,34,0.06307977736549165,0.04262646963835386,0.08372489667919669,0.9045908498796036
m5_ema20_slope_dir_atr,Q5,539,529,40,0.07421150278293136,0.05581140578596498,0.09665427509293681,1.064224529270122
pre_extension_15m_dir_atr,Q1,540,524,35,0.06481481481481481,0.04521277139992224,0.08497063598166538,0.9294720252167059
pre_extension_15m_dir_atr,Q2,539,519,41,0.07606679035250463,0.05729619379527129,0.09909199256625725,1.090830142501875
pre_extension_15m_dir_atr,Q3,539,528,33,0.061224489795918366,0.0410812177430604,0.08078406081006512,0.8779852366478506
pre_extension_15m_dir_atr,Q4,539,534,40,0.07421150278293136,0.05018587360594796,0.09437089663104423,1.064224529270122
pre_extension_15m_dir_atr,Q5,539,531,39,0.07235621521335807,0.050747230710466,0.0968436164900405,1.0376189160383689
day_range_position_dir,Q1,540,530,37,0.06851851851851852,0.0463370954442383,0.09344432348047572,0.9825847123719463
day_range_position_dir,Q2,539,530,39,0.07235621521335807,0.04985923634652243,0.09667357656163625,1.0376189160383689
day_range_position_dir,Q3,539,534,41,0.07606679035250463,0.053850842466084105,0.09956568617949212,1.090830142501875
day_range_position_dir,Q4,539,531,38,0.07050092764378478,0.04904612878333191,0.09287406543989846,1.0110133028066157
day_range_position_dir,Q5,539,522,33,0.061224489795918366,0.04206512987467619,0.08042070285138296,0.8779852366478506
severity,Q1,540,531,4,0.007407407407407408,0.001841620626151013,0.014814814814814815,0.10622537431048068
severity,Q2,539,531,14,0.025974025974025976,0.012998479215951335,0.03921755126237969,0.3724785852445427
severity,Q3,539,532,34,0.06307977736549165,0.04440131443828302,0.08388096181105645,0.9045908498796036
severity,Q4,539,527,52,0.09647495361781076,0.07440880015506882,0.12026468474019304,1.3834918880511584
severity,Q5,539,506,84,0.15584415584415584,0.1258731617647059,0.1883124696598808,2.2348715114672557
confirmation_retention,Q1,462,456,31,0.0670995670995671,0.045454545454545456,0.08996114658653391,0.9622363452150686
confirmation_retention,Q2,436,429,37,0.08486238532110092,0.06108597285067873,0.11112179823640561,1.2169627171579152
confirmation_retention,Q3,846,826,49,0.057919621749408984,0.04250050180650341,0.07412210951157025,0.8305920225340777
confirmation_retention,Q4,49,49,2,0.04081632653061224,0.0,0.10204081632653061,0.585323491098567
confirmation_retention,Q5,448,434,45,0.10044642857142858,0.07340347343205575,0.13193266465078546,1.4404445288753798
spread_efficiency_interaction,Q1,540,532,59,0.10925925925925926,0.08309872724420404,0.1369167180119121,1.56682427107959
spread_efficiency_interaction,Q2,539,535,112,0.2077922077922078,0.174381453944651,0.24259259259259258,2.9798286819563415
