episodes,positives,positive_rate,average_precision,roc_auc,recall,precision,f2,balanced_accuracy,accuracy,selected,model,feature_group,with_symbol,target,evaluation_scope,folds,validation_clusters
1620,50,0.030864197530864196,0.2013000791211405,0.8831847133757962,0.44,0.1774193548387097,0.3395061728395062,0.687515923566879,0.9197530864197531,124,LIGHTGBM,A_EXISTING,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.19038776832044269,0.9020891719745223,0.42,0.17796610169491525,0.330188679245283,0.6791082802547771,0.9222222222222223,118,LIGHTGBM,B_PRICE_LAGS,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.2106367213552342,0.9052611464968153,0.36,0.1875,0.30405405405405406,0.6551592356687899,0.9320987654320988,96,LIGHTGBM,C_SPREAD_ACTIVITY,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.22950628917094262,0.9110063694267516,0.38,0.20430107526881722,0.3242320819112628,0.6664331210191083,0.9351851851851852,93,LIGHTGBM,D_MARKET_STRUCTURE,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.22127073303125097,0.9096687898089171,0.44,0.23157894736842105,0.3728813559322034,0.6967515923566879,0.9376543209876543,95,LIGHTGBM,E_FULL,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.201164442917188,0.9086369426751593,0.38,0.1919191919191919,0.3177257525083612,0.6645222929936305,0.9314814814814815,99,LIGHTGBM,E_FULL,True,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.2093700804842091,0.8954649681528662,0.64,0.16494845360824742,0.40609137055837563,0.7684076433121019,0.8888888888888888,194,LOGISTIC,A_EXISTING,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.1827223859506732,0.8870573248407643,0.56,0.1407035175879397,0.3508771929824561,0.7255414012738854,0.8808641975308642,199,LOGISTIC,B_PRICE_LAGS,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.17605824374411605,0.8790445859872611,0.56,0.14,0.35,0.7252229299363058,0.8802469135802469,200,LOGISTIC,C_SPREAD_ACTIVITY,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.16438047328666844,0.8785095541401274,0.54,0.14754098360655737,0.3524804177545692,0.7203184713375796,0.8895061728395062,183,LOGISTIC,D_MARKET_STRUCTURE,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.1528389230355351,0.8822675159235669,0.52,0.13402061855670103,0.3299492385786802,0.7064968152866242,0.8814814814814815,194,LOGISTIC,E_FULL,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.14904987954589588,0.8791974522292993,0.52,0.14772727272727273,0.34574468085106386,0.7122292993630573,0.8925925925925926,176,LOGISTIC,E_FULL,True,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.17583841577364298,0.8825350318471339,0.64,0.1951219512195122,0.43956043956043955,0.7779617834394905,0.9074074074074074,164,TREE,A_EXISTING,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.17748962234765758,0.8936624203821656,0.62,0.2012987012987013,0.4378531073446328,0.770828025477707,0.9123456790123456,154,TREE,B_PRICE_LAGS,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.1818495219388019,0.8891847133757962,0.64,0.1807909604519774,0.4244031830238727,0.7738216560509554,0.8993827160493827,177,TREE,C_SPREAD_ACTIVITY,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.2053882953112255,0.8939299363057324,0.7,0.21084337349397592,0.4781420765027322,0.80828025477707,0.9098765432098765,166,TREE,D_MARKET_STRUCTURE,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.20528031358642035,0.8933248407643312,0.7,0.21084337349397592,0.4781420765027322,0.80828025477707,0.9098765432098765,166,TREE,E_FULL,False,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
1620,50,0.030864197530864196,0.2058507910770142,0.8988216560509554,0.7,0.21084337349397592,0.4781420765027322,0.80828025477707,0.9098765432098765,166,TREE,E_FULL,True,is_clean_move,POOLED_WALK_FORWARD_OOF,4,1523
