check,expected,actual,tolerance,status,note
episode_count,2696.0,2696.0,0.0,PASS,
clean_positive,188.0,188.0,0.0,PASS,
clean_negative,2508.0,2508.0,0.0,PASS,
duplicate_episode,0.0,0.0,0.0,PASS,
symbol_AUDUSD,500.0,500.0,0.0,PASS,
symbol_EURUSD,248.0,248.0,0.0,PASS,
symbol_USDCAD,631.0,631.0,0.0,PASS,
symbol_USDCHF,311.0,311.0,0.0,PASS,
symbol_USDJPY,1006.0,1006.0,0.0,PASS,
feature_future_sources,0.0,0.0,0.0,PASS,
feature_timestamp_after_t0,0.0,0.0,0.0,PASS,
walk_forward_cluster_overlap,0.0,0.0,0.0,PASS,
orders,0.0,0.0,0.0,PASS,
oof_average_precision,0.2212707330312509,0.22127073303125097,1e-12,PASS,
oof_recall_at_0.5,0.44,0.44,1e-12,PASS,
oof_precision_at_0.5,0.231578947368421,0.23157894736842105,1e-12,PASS,
oof_f2_at_0.5,0.3728813559322034,0.3728813559322034,1e-12,PASS,
frontier_top_100_captured,23.0,23.0,0.0,PASS,
frontier_top_200_captured,35.0,35.0,0.0,PASS,
frontier_top_300_captured,42.0,42.0,0.0,PASS,
frontier_top_500_captured,48.0,48.0,0.0,PASS,
frontier_top_800_captured,50.0,50.0,0.0,PASS,
frontier_top_1000_captured,50.0,50.0,0.0,PASS,
