episodes,positives,positive_rate,average_precision,roc_auc,recall,precision,f2,balanced_accuracy,accuracy,selected,model,feature_group,with_symbol,fold,train_episodes,train_positives,train_clusters,validation_clusters,cluster_overlap,target,evaluation_scope,folds
28,12,0.42857142857142855,0.4526753176017882,0.46875000000000006,0.5,0.375,0.46875,0.4375,0.42857142857142855,16,LOGISTIC,E_FULL,False,1.0,75.0,31.0,74.0,28.0,0.0,,,
28,16,0.5714285714285714,0.6061551584989084,0.5572916666666667,0.3125,0.625,0.3472222222222222,0.53125,0.5,8,LOGISTIC,E_FULL,False,2.0,103.0,43.0,102.0,28.0,0.0,,,
29,7,0.2413793103448276,0.27171152518978603,0.512987012987013,0.42857142857142855,0.23076923076923078,0.36585365853658536,0.487012987012987,0.5172413793103449,13,LOGISTIC,E_FULL,False,3.0,131.0,59.0,130.0,28.0,0.0,,,
28,18,0.6428571428571429,0.6487286157213694,0.5388888888888889,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.6428571428571429,18,LOGISTIC,E_FULL,False,4.0,160.0,66.0,158.0,28.0,0.0,,,
113,53,0.4690265486725664,0.46985679265069547,0.5160377358490567,0.5094339622641509,0.4909090909090909,0.5056179775280899,0.5213836477987421,0.5221238938053098,55,LOGISTIC,E_FULL,False,,,,,,,clean_direction_continuation,POOLED_WALK_FORWARD_OOF,4.0
28,12,0.42857142857142855,0.42857142857142855,0.5,1.0,0.42857142857142855,0.7894736842105263,0.5,0.42857142857142855,28,LIGHTGBM,E_FULL,False,1.0,75.0,31.0,74.0,28.0,0.0,,,
28,16,0.5714285714285714,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0,LIGHTGBM,E_FULL,False,2.0,103.0,43.0,102.0,28.0,0.0,,,
29,7,0.2413793103448276,0.2933956916099773,0.5909090909090909,0.42857142857142855,0.25,0.375,0.5097402597402597,0.5517241379310345,12,LIGHTGBM,E_FULL,False,3.0,131.0,59.0,130.0,28.0,0.0,,,
28,18,0.6428571428571429,0.5471572937591991,0.32222222222222224,0.4444444444444444,0.6153846153846154,0.47058823529411764,0.4722222222222222,0.4642857142857143,13,LIGHTGBM,E_FULL,False,4.0,160.0,66.0,158.0,28.0,0.0,,,
113,53,0.4690265486725664,0.44175708822400306,0.4751572327044025,0.4339622641509434,0.4339622641509434,0.4339622641509434,0.4669811320754717,0.4690265486725664,53,LIGHTGBM,E_FULL,False,,,,,,,clean_direction_continuation,POOLED_WALK_FORWARD_OOF,4.0
