path,bytes,sha256,owning_commit
docs/devlog/2026-09-03-tickshock-step15l-clean-move-prediction.md,1087,1511A2D11C27956318D1E5B0AF6F958C5C082739C0C0E8D9943E39823FCC6D57,SELF
docs/research/tick_shock/15l_clean_move_prediction_preanalysis.md,6231,4A75534F3BAA438C1AA23E121CB6724673DF45609426433D436976413B113842,0c3e2c07c920b0d069688d833d037784575ca742
docs/research/tick_shock/15l_clean_move_prediction_results.md,9857,C1C944F4856B2F83BE93345A7B00E5F5BE39EECAD6121C2DD2F2B0F93E1BE725,SELF
docs/research/tick_shock/15l_feature_catalog.md,6881,768C8F1CE127663BAD911D160912BCCEB38EF7DC5B6903BE09FE618498A2C8B8,SELF
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.ex5,392218,69A2AC00F61B4915AAB2330BBE0427A4724F62BCC1B80BFA38013C8DB7D1827D,475cad4c13dfefc08e320415d88222780dcc9401
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,226880,9851AD20A071ECEBD0DE80B6648FDB7D5C16E679CB1598439B298B98488CEA06,475cad4c13dfefc08e320415d88222780dcc9401
mql/Experts/tests/ExpectedValue_TickShock_CleanMoveFeatureHarness.ex5,17310,B2AF2A242AB817B2D65219C676173AC5E38986B2A16F719CC2BF8A0E09ADD435,475cad4c13dfefc08e320415d88222780dcc9401
mql/Experts/tests/ExpectedValue_TickShock_CleanMoveFeatureHarness.mq5,1755,DA58ADB987894C57D6C8AB3EE088FCC00E48F7018CA8DE79D200DDC4A70D28AB,475cad4c13dfefc08e320415d88222780dcc9401
mql/Experts/tests/ExpectedValue_TickShock_EconomicPathHarness.ex5,40254,575408AFB67A041DC4190D4A78AFD54E004DEBE846532B9B9665B3370F6FA19A,SELF
mql/Include/TickShock/TickShockCleanMoveFeatures.mqh,12564,5913B3552A86AB6AA8B14452C773BC27A22A074ED08678B0CE7364332B430830,475cad4c13dfefc08e320415d88222780dcc9401
reports/analysis/tick_shock/step15l/clean_direction_results.csv,2255,D73D9D733213B241214E9A07C5F55317DDBD76D3AED87A5A06CB5DA903308649,SELF
reports/analysis/tick_shock/step15l/clean_move_ml_dataset.csv,2726296,5F5198739BDDF2E456AEB3CE879112F74AC1AE29273092ADA267E3E50FA5C0D2,SELF
reports/analysis/tick_shock/step15l/cluster_exploration.csv,1221,9337AE2DE3A4DC5099109E122196E395CB39E015E1B3335D8CA373CE0B2E728B,SELF
reports/analysis/tick_shock/step15l/development_refit_predictions.csv,1432769,2CF08FD95613AAF19A1998B2CEEC988A39117F017FBBEAB922749E0FA824D6F3,SELF
reports/analysis/tick_shock/step15l/feature_ablation_results.csv,2283,784F12024FBB2C0F4DB2CA37FAC19758A298DA9FB932E97E740A733B99C0D78C,SELF
reports/analysis/tick_shock/step15l/feature_bin_summary.csv,29015,9E9F5EBD6F905497652D381DA03EF03984B188D5D4166869AECD2307379DB0B9,SELF
reports/analysis/tick_shock/step15l/feature_univariate_summary.csv,15170,6B5B4535B2910F8CAFA4E80903C2AA2FE017AAC0BD43CE020D807704020B33BE,SELF
reports/analysis/tick_shock/step15l/high_movement_vs_ml.csv,406,3740C52ADD95941A1EAF91929EECFECFE11755C9EAC3BC5A0F89C729D941E52B,SELF
reports/analysis/tick_shock/step15l/independent_recalculation.csv,1083,55AF0084D552CFF1F4973333C3D4A6EADA99742628DD66C8E06E395E3BFC2B17,SELF
