feature,count,missing,clean_count,non_clean_count,clean_mean,non_clean_mean,clean_median,non_clean_median,clean_std,non_clean_std,standardized_difference,rank_biserial,mann_whitney_u,mann_whitney_p,cluster_bootstrap_mean_diff_low,cluster_bootstrap_mean_diff_high
spread_atr_t0,2696,0,188,2508,0.18539246322019146,0.5335092425400084,0.17218728505550002,0.43544029501049997,0.0686424369274187,0.43568265765480135,-0.827512624888622,-0.8139188638908683,43869.0,1.526175677717028e-77,-0.3667744283655057,-0.3266848539574116
tick_activity_ratio,2696,0,188,2508,0.9858156028368776,0.8946039340776181,1.0,1.0,0.4830210279164237,0.44754362446756196,0.2026491125617764,0.08314881740133706,255354.5,0.00836574228098015,0.020500049874354696,0.16455020023256578
atr14_m5,2696,0,188,2508,0.09299629517606382,0.02730208262444179,0.10275660965,0.0005650645000000001,0.04886995327976491,0.04075775019544151,1.5878809866541033,0.7564686619837795,414091.0,3.090948784662014e-67,0.058553542477203215,0.07260471951045704
spread_percentile,2204,492,138,2066,0.4101934597462532,0.653035008419364,0.4013616304726513,0.7052930308744263,0.26525980313287983,0.2526955730057011,-0.9579720643229548,-0.491266467443916,72522.0,3.8307393445165985e-22,-0.2855870701797053,-0.2013011273805159
activity_percentile,2107,589,133,1974,0.43852088775006426,0.4177425503550224,0.4450354609929078,0.4603174603174603,0.23484101193995224,0.21388586289631903,0.0965267568187887,-0.322969277296585,88874.5,3.995505622082644e-10,-0.018703858572628813,0.0606336567779664
atr_percentile,2204,492,138,2066,0.586503751089943,0.33306169259641344,0.6015979059228005,0.2816383292322683,0.2717846948115061,0.25308314197609516,0.9966779641697119,0.5025113290402234,214189.0,4.289082928955269e-23,0.20615595450073768,0.2989611293885376
pre_return_5m_dir_atr,2696,0,188,2508,0.06712814312798936,0.046507183769231256,0.116546070985,0.054183107327000005,0.6798001860464149,0.736998494927533,0.028125666332796617,0.029887339237843147,242798.0,0.4937133623030302,-0.07839962677880548,0.12285876132601263
m5_ema20_slope_dir_atr,2696,0,188,2508,-0.004223221940845746,0.011248919457910286,0.0022057505565,0.011569319707,0.4148515206772769,0.43443797974697784,-0.03572359843904643,-0.017259662696392786,231683.0,0.6926786094080981,-0.06912866333168975,0.040006430341480693
m15_alignment_dir,2693,3,188,2505,-0.0851063829787234,0.015568862275449102,-1.0,1.0,0.999032413900175,1.0000784342984828,-0.10067466327617275,-0.0503376226270863,223617.0,0.18316266700694017,-0.24099222525610312,0.03609077162327715
pre_extension_15m_dir_atr,2696,0,188,2508,0.022608516936271278,0.046785028246080135,0.096052461918,0.042685057203999996,0.7852772944684281,0.7633036751006649,-0.03160950836200071,0.010214123316027113,238160.0,0.8150862186516711,-0.1505936254744255,0.0868968000949375
day_range_position_dir,2696,0,188,2508,0.06450344785215957,0.08546153858838118,0.08183079557799999,0.092058550727,0.5987294035031918,0.6093989572463422,-0.03443291770007158,-0.021961637653126975,230574.5,0.6150276766021403,-0.10387162993259935,0.053962520490349226
detection_efficiency,2696,0,188,2508,0.857742169475968,0.8218516888301177,1.0,1.0,0.3397184114954391,0.3774954618707022,0.09570892897736036,0.018494010655264903,240112.0,0.5359325187586582,-0.015100486599794205,0.08247949078557033
severity,2696,0,188,2508,3.8457359533883775,3.013365523595562,3.6336022351755,2.8149665123989998,1.279506099972828,1.341862680973197,0.6222733953476037,0.45725168821473416,343550.0,1.1656219077242275e-25,0.6481906466071068,1.0441332680907403
confirmation_retention,2241,455,164,2077,0.6807379544918536,0.4448477652480409,0.9875452898549999,1.0,2.897497331410607,1.8850341995027764,0.11935795331710113,0.022487875336143937,174144.0,0.625723459464926,-0.20243629513111608,0.6911033017625771
spread_efficiency_interaction,2696,0,188,2508,0.15953675089152655,0.4317405026374234,0.161911776055,0.3369264389405,0.09180065239526582,0.44761338576784665,-0.6294082835559505,-0.5319021683803319,110355.0,2.759023554168563e-34,-0.29470425308180437,-0.25048946077669887
flow_efficiency_interaction,2696,0,188,2508,0.05881974489846808,0.04085861174752472,0.0,0.0,0.6329344522525101,0.6730649720855952,0.026793386231588646,0.02971554854253622,242757.5,0.4951272071962609,-0.07405127548649237,0.11001772755868454
return_5s_dir_atr,2696,0,188,2508,0.2364752944465319,0.28018190746786564,0.17702947613449999,0.244659105126,0.2278710323705559,0.2865212044130008,-0.15452596989593345,-0.1979410567036547,189087.0,5.773637843204749e-06,-0.07452011943267157,-0.008663884338229207
return_10s_dir_atr,2696,0,188,2508,0.25133737954112767,0.3099539766174613,0.18880719017300002,0.2694084862105,0.24946089849251007,0.30517973372534607,-0.19432331758424828,-0.19717754250229058,189267.0,6.311542110446252e-06,-0.09296945571371132,-0.021157716680044916
return_30s_dir_atr,2696,0,188,2508,0.2576286180654521,0.32930642972154067,0.2029176829675,0.29177401738700004,0.3405694862827866,0.3769918195655936,-0.19135616103345252,-0.17403457870983063,194723.0,6.731037771761534e-05,-0.12214612789499964,-0.012807334360665352
return_60s_dir_atr,2696,0,188,2508,0.26351927870693614,0.3340144216484198,0.218019793526,0.297592372131,0.41226844694937764,0.4460151618513991,-0.15886029659718945,-0.11065017475991723,209666.0,0.01127684525269019,-0.12654275606637916,0.00025667110770607874
return_120s_dir_atr,2696,0,188,2508,0.28691960499248403,0.3372419342477249,0.2712561586485,0.29960779083949995,0.5110904736328549,0.5588697866876843,-0.09055893636093335,-0.055749261936272054,222609.0,0.20171154617060827,-0.12217997752682822,0.02662521243730754
return_300s_dir_atr,2696,0,188,2508,0.31217704266387236,0.37021495792059333,0.276796994661,0.35319228192950003,0.6802871206789576,0.8053142581949068,-0.07279588409442032,-0.0373528114289593,226946.0,0.39233818737301507,-0.16438569028965908,0.041713415324352854
return_900s_dir_atr,2696,0,188,2508,0.3155520637781064,0.3943877244913649,0.491236509785,0.375877059261,1.2380748795781809,1.2652480970380062,-0.06240055384904957,-0.006116597102039378,234310.0,0.8886360273014816,-0.2672689582978639,0.09652640627203776
accel_10s_vs_prev30s,2696,0,188,2508,0.23626375363080318,0.2877274109617201,0.1997917473635,0.26440183449,0.3115826443767708,0.3965660524228593,-0.13153190546466012,-0.09807764091078763,212630.0,0.02469946053793262,-0.09922184107632896,-0.005527720277106166
return_30s_vs_prev30s,2696,0,188,2508,0.2517379574239362,0.324598437794665,0.195547667428,0.3047541736415,0.3805728855355846,0.44484907231148285,-0.16533260610952855,-0.13683659099392587,203492.5,0.0017261315934919814,-0.1350697365568729,-0.010715706413059047
