episodes,positives,positive_rate,average_precision,roc_auc,recall,precision,f2,balanced_accuracy,accuracy,selected,model,feature_group,with_symbol,fold,train_episodes,train_positives,train_clusters,validation_clusters,cluster_overlap
408,16,0.0392156862745098,0.2008375438967343,0.8660714285714286,0.375,0.125,0.26785714285714285,0.6339285714285714,0.8725490196078431,48,LOGISTIC,A_EXISTING,False,1,1076,138,1014,381,0
402,10,0.024875621890547265,0.2689302801262173,0.8872448979591836,0.6,0.15384615384615385,0.379746835443038,0.7579081632653062,0.9079601990049752,39,LOGISTIC,A_EXISTING,False,2,1484,154,1395,380,0
404,6,0.01485148514851485,0.1398357818304627,0.840033500837521,0.6666666666666666,0.12903225806451613,0.36363636363636365,0.7994137353433836,0.9282178217821783,31,LOGISTIC,A_EXISTING,False,3,1886,164,1775,381,0
406,18,0.04433497536945813,0.28952235231135637,0.9192439862542956,0.8888888888888888,0.21052631578947367,0.5405405405405406,0.8671248568155785,0.8472906403940886,76,LOGISTIC,A_EXISTING,False,4,2290,170,2156,381,0
408,16,0.0392156862745098,0.17416676242317058,0.8608099489795918,0.5625,0.1956521739130435,0.4090909090909091,0.7340561224489797,0.8921568627450981,46,TREE,A_EXISTING,False,1,1076,138,1014,381,0
402,10,0.024875621890547265,0.20282577591899625,0.9196428571428572,0.7,0.175,0.4375,0.8079081632653061,0.9104477611940298,40,TREE,A_EXISTING,False,2,1484,154,1395,380,0
404,6,0.01485148514851485,0.11587869952043747,0.8134422110552765,0.3333333333333333,0.25,0.3125,0.6591289782244556,0.9752475247524752,8,TREE,A_EXISTING,False,3,1886,164,1775,381,0
406,18,0.04433497536945813,0.19290974517736137,0.8825887743413516,0.7777777777777778,0.2,0.49295774647887325,0.8167239404352806,0.8522167487684729,70,TREE,A_EXISTING,False,4,2290,170,2156,381,0
408,16,0.0392156862745098,0.21508835742450977,0.8236607142857143,0.4375,0.19444444444444445,0.35,0.6817602040816326,0.9068627450980392,36,LIGHTGBM,A_EXISTING,False,1,1076,138,1014,381,0
402,10,0.024875621890547265,0.22692028477321388,0.9102040816326531,0.6,0.1875,0.4166666666666667,0.7668367346938776,0.9253731343283582,32,LIGHTGBM,A_EXISTING,False,2,1484,154,1395,380,0
404,6,0.01485148514851485,0.11777611277611277,0.8320770519262982,0.16666666666666666,0.1,0.14705882352941177,0.5720268006700168,0.9653465346534653,10,LIGHTGBM,A_EXISTING,False,3,1886,164,1775,381,0
406,18,0.04433497536945813,0.2605027400616429,0.9026345933562427,0.4444444444444444,0.17391304347826086,0.3389830508474576,0.6732531500572738,0.8817733990147784,46,LIGHTGBM,A_EXISTING,False,4,2290,170,2156,381,0
408,16,0.0392156862745098,0.1845271915029746,0.8670280612244898,0.3125,0.10638297872340426,0.22522522522522523,0.6026785714285714,0.8700980392156863,47,LOGISTIC,B_PRICE_LAGS,False,1,1076,138,1014,381,0
402,10,0.024875621890547265,0.23110992646286765,0.8760204081632653,0.4,0.10810810810810811,0.2597402597402597,0.6579081632653061,0.9029850746268657,37,LOGISTIC,B_PRICE_LAGS,False,2,1484,154,1395,380,0
