evaluation_scope,frontier_type,frontier_value,selected,clusters,clean_captured,clean_total,recall,precision,enrichment,symbol_distribution,model,feature_group,with_symbol
WALK_FORWARD_OOF,TOP_COUNT,300,300,296,42,50,0.84,0.14,4.5360000000000005,AUDUSD:4;EURUSD:32;USDCAD:3;USDCHF:1;USDJPY:260,LIGHTGBM,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,500,500,480,48,50,0.96,0.096,3.1104000000000003,AUDUSD:20;EURUSD:55;USDCAD:18;USDCHF:13;USDJPY:394,LIGHTGBM,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,800,800,756,50,50,1.0,0.0625,2.025,AUDUSD:58;EURUSD:88;USDCAD:108;USDCHF:41;USDJPY:505,LIGHTGBM,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,1000,1000,946,50,50,1.0,0.05,1.62,AUDUSD:99;EURUSD:108;USDCAD:184;USDCHF:73;USDJPY:536,LIGHTGBM,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,100,100,99,91,188,0.48404255319148937,0.91,13.049787234042553,EURUSD:8;USDCAD:2;USDJPY:90,LIGHTGBM,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,200,200,197,157,188,0.8351063829787234,0.785,11.257234042553192,EURUSD:17;USDCAD:7;USDJPY:176,LIGHTGBM,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,300,300,296,185,188,0.9840425531914894,0.6166666666666667,8.843262411347517,EURUSD:27;USDCAD:13;USDJPY:260,LIGHTGBM,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,500,500,496,188,188,1.0,0.376,5.3919999999999995,EURUSD:59;USDCAD:22;USDJPY:419,LIGHTGBM,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,800,800,788,188,188,1.0,0.235,3.3699999999999997,AUDUSD:3;EURUSD:100;USDCAD:50;USDJPY:647,LIGHTGBM,E_FULL,False
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,1000,1000,976,188,188,1.0,0.188,2.6959999999999997,AUDUSD:19;EURUSD:140;USDCAD:74;USDCHF:8;USDJPY:759,LIGHTGBM,E_FULL,False
WALK_FORWARD_OOF,TOP_COUNT,100,100,100,19,50,0.38,0.19,6.156000000000001,EURUSD:5;USDJPY:95,LIGHTGBM,E_FULL,True
WALK_FORWARD_OOF,TOP_COUNT,200,200,199,34,50,0.68,0.17,5.508000000000001,AUDUSD:1;EURUSD:20;USDCAD:1;USDJPY:178,LIGHTGBM,E_FULL,True
WALK_FORWARD_OOF,TOP_COUNT,300,300,296,43,50,0.86,0.14333333333333334,4.644,AUDUSD:4;EURUSD:33;USDCAD:3;USDCHF:1;USDJPY:259,LIGHTGBM,E_FULL,True
WALK_FORWARD_OOF,TOP_COUNT,500,500,478,47,50,0.94,0.094,3.0456000000000003,AUDUSD:22;EURUSD:55;USDCAD:18;USDCHF:18;USDJPY:387,LIGHTGBM,E_FULL,True
WALK_FORWARD_OOF,TOP_COUNT,800,800,759,50,50,1.0,0.0625,2.025,AUDUSD:59;EURUSD:91;USDCAD:97;USDCHF:45;USDJPY:508,LIGHTGBM,E_FULL,True
WALK_FORWARD_OOF,TOP_COUNT,1000,1000,944,50,50,1.0,0.05,1.62,AUDUSD:92;EURUSD:108;USDCAD:188;USDCHF:81;USDJPY:531,LIGHTGBM,E_FULL,True
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,100,100,99,91,188,0.48404255319148937,0.91,13.049787234042553,EURUSD:6;USDCAD:3;USDJPY:91,LIGHTGBM,E_FULL,True
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,200,200,197,155,188,0.824468085106383,0.775,11.113829787234042,EURUSD:15;USDCAD:8;USDJPY:177,LIGHTGBM,E_FULL,True
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,300,300,296,183,188,0.973404255319149,0.61,8.747659574468084,EURUSD:26;USDCAD:11;USDJPY:263,LIGHTGBM,E_FULL,True
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,500,500,496,188,188,1.0,0.376,5.3919999999999995,EURUSD:54;USDCAD:21;USDJPY:425,LIGHTGBM,E_FULL,True
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,800,800,787,188,188,1.0,0.235,3.3699999999999997,AUDUSD:4;EURUSD:98;USDCAD:52;USDJPY:646,LIGHTGBM,E_FULL,True
DEVELOPMENT_REFIT_DIAGNOSTIC,TOP_COUNT,1000,1000,975,188,188,1.0,0.188,2.6959999999999997,AUDUSD:19;EURUSD:136;USDCAD:74;USDCHF:11;USDJPY:760,LIGHTGBM,E_FULL,True
