feature,importance_mean,importance_std
spread_5s_atr,0.19800564041018004,0.06992046079641845
spread_30s_atr,0.1517678227403879,0.07826176265739034
spread_atr_t0,0.14564340945609272,0.08266184579767932
spread_10s_atr,0.13982974651630314,0.08665529812166729
return_5s_dir_atr,0.1062630328283846,0.021224030769237883
return_900s_dir_atr,0.052419237202995204,0.011751446093041159
pre_extension_15m_dir_atr,0.04615468442070954,0.016281092648408935
realized_abs_30s_atr,0.045159456110924145,0.021098637376653087
range_1800s_atr,0.034366321632330575,0.030387498155845183
ticks_5s,0.03264119001370945,0.01438534489864384
ticks_30s,0.029429447822346622,0.015574374687308275
realized_abs_60s_atr,0.027374263563816958,0.012993300362773257
tick_ratio_30s_prev30s,0.02655646515164104,0.024634685663850766
abs_return_10s_atr,0.026324755868164608,0.015016898836322385
return_30s_dir_atr,0.024683285704480928,0.010772826402704895
momentum_efficiency_interaction,0.02350664715116313,0.01429128415893311
flow_efficiency_interaction,0.02297563131787437,0.006584522202870761
return_300s_dir_atr,0.021652977262271934,0.011533612773460397
direction_consistency_30s,0.020731946542751577,0.008723850798012089
range_position_900s_dir,0.02032920394849359,0.009143188817289701
range_300s_atr,0.01982189214890092,0.010483163369625525
day_range_position_dir,0.018497413671693608,0.017474330738663602
distance_high_900s_dir_atr,0.01819333777023153,0.03301583769886919
range_900s_atr,0.017173206874565437,0.007234712772856215
activity_percentile,0.016941688539415654,0.0032391082756510745
return_120s_dir_atr,0.016798434482863424,0.0086122840394691
return_10s_dir_atr,0.016780848037396733,0.005520645611590889
range_3600s_atr,0.0166144731919587,0.0071418516731813824
spread_change_10s_atr,0.016221645827492193,0.009480220332395733
atr14_m5_slope_3bars,0.015352474137947093,0.025085184783733255
range_30s_atr,0.015250598638264501,0.0058858364967184365
spread_change_30s_atr,0.014775912823291094,0.008976310482850277
accel_10s_vs_prev30s,0.013291918440298933,0.0032284000060885647
range_60s_atr,0.01088022387344445,0.005869253243909832
m5_ema20_slope_dir_atr,0.009706672503584701,0.011248925590584942
atr_spread_state,0.009555964956600282,0.0016860257871469002
spread_change_5s_atr,0.00892086649587972,0.012262371253120356
distance_low_900s_dir_atr,0.008464323292135612,0.006361857405447222
atr_percentile,0.008397072214620372,0.006743171814198866
return_60s_dir_atr,0.008079764023877622,0.0026197568849783094
confirmation_retention,0.007451936465094455,0.0026652976913809487
severity,0.006932188917611571,0.007253824892359125
spread_percentile,0.006869192414708037,0.014460386247273983
range_180s_atr,0.005505902149755071,0.027657104499338822
pre_return_5m_dir_atr,0.005369137684304715,0.004477907387550895
m15_alignment_dir,0.005280830280830329,0.0030452702262824386
ticks_10s,0.00512713057098767,0.003453813571913317
shock_to_range_60s,0.004683178622679673,0.004982482736335952
session,0.004563072677616076,0.0074472685823179785
return_30s_vs_prev30s,0.004474866701005687,0.01081479619391495
spread_contraction_activity,0.001913639340292661,0.009487706602125683
detection_efficiency,0.0,0.0
tick_activity_ratio,0.0,0.0
shock_direction,0.0,0.0
realized_abs_300s_atr,-0.00018949871127722507,0.006714270275200959
tick_ratio_5s_prev5s,-0.0020122991878990027,0.00778590374698408
realized_abs_180s_atr,-0.0028027436060260925,0.00214163993725087
spread_efficiency_interaction,-0.004137774918316383,0.017108703565757475
ticks_120s,-0.006701982362384673,0.0016813622522243439
ticks_60s,-0.00819655896703666,0.005412343784575606
atr14_m5,-0.013433358028703001,0.02296094579284762
