transformed_feature,mean_abs_contribution
num__spread_atr_t0,0.5040529286011494
num__spread_5s_atr,0.49039192130651793
num__spread_30s_atr,0.40169800597705996
num__spread_10s_atr,0.38206821398763413
num__atr14_m5,0.11586597383845809
num__momentum_efficiency_interaction,0.10860831804989161
num__return_5s_dir_atr,0.09148386801711397
num__range_1800s_atr,0.07511616563361084
num__ticks_30s,0.0743147206233984
num__atr14_m5_slope_3bars,0.0723252756650869
num__ticks_5s,0.0657801961304223
num__day_range_position_dir,0.06213006900421282
num__range_180s_atr,0.05931882713623401
num__tick_ratio_30s_prev30s,0.057202681769950935
num__spread_efficiency_interaction,0.05641873836692612
num__spread_change_10s_atr,0.04878232818465046
num__realized_abs_30s_atr,0.04847607420867398
num__severity,0.047016983463409365
num__return_900s_dir_atr,0.04617938917051299
num__spread_change_5s_atr,0.043408505557486016
num__flow_efficiency_interaction,0.04237997512778068
num__direction_consistency_30s,0.04209811421288879
num__accel_10s_vs_prev30s,0.03870859291168929
num__spread_percentile,0.03847010107031398
num__shock_to_range_60s,0.037962174066494415
num__distance_high_900s_dir_atr,0.03572221290701901
num__range_position_900s_dir,0.03563845358034698
num__return_10s_dir_atr,0.03483539933896199
num__spread_change_30s_atr,0.0336338763753443
num__return_30s_dir_atr,0.0316313821385844
num__realized_abs_60s_atr,0.03012818916025064
num__pre_extension_15m_dir_atr,0.029892502505169623
num__atr_percentile,0.028937512058870178
num__spread_contraction_activity,0.027169125817651556
num__m5_ema20_slope_dir_atr,0.026395445776882496
num__return_300s_dir_atr,0.025133105165834273
num__activity_percentile,0.02438688908911218
num__abs_return_10s_atr,0.02410636197083624
num__range_30s_atr,0.023348620352783418
num__range_900s_atr,0.022661853114599007
num__return_120s_dir_atr,0.02252712743873603
num__ticks_10s,0.020849841080182105
num__ticks_60s,0.02057456661650612
cat__session_LONDON,0.019308395819797174
num__range_60s_atr,0.017669761758297344
num__range_3600s_atr,0.017445401180211498
num__pre_return_5m_dir_atr,0.017123258222835995
num__tick_ratio_5s_prev5s,0.016050071011615083
num__ticks_120s,0.015677637988122824
num__distance_low_900s_dir_atr,0.014856260341702393
num__return_30s_vs_prev30s,0.014839005386484408
num__range_300s_atr,0.013396765215482873
num__realized_abs_300s_atr,0.011612019739646108
num__realized_abs_180s_atr,0.010737704700678911
num__atr_spread_state,0.009503718456102874
num__confirmation_retention,0.00741118478439198
num__return_60s_dir_atr,0.0073150085194356755
cat__session_TOKYO,0.004586271170060405
num__m15_alignment_dir,0.003647714875971251
num__tick_activity_ratio,0.003222781444217432
cat__session_OTHER,0.0011184793310586225
num__detection_efficiency,0.0
cat__shock_direction_SHORT,0.0
cat__shock_direction_LONG,0.0
cat__session_NEW_YORK,0.0
cat__session_OVERLAP,0.0
