strategy,episodes,clusters,clean_count,recall,precision,symbol_distribution
HIGH_MOVEMENT_HARD,93,93,10,0.2,0.10752688172043011,AUDUSD:22;EURUSD:5;USDCAD:33;USDCHF:5;USDJPY:28
ML_TOP_SAME_COUNT,93,93,21,0.42,0.22580645161290322,EURUSD:2;USDJPY:91
HIGH_MOVEMENT_AND_ML_TOP,25,25,8,0.16,0.32,USDJPY:25
OOF_ALL,1620,1523,50,1.0,0.030864197530864196,AUDUSD:305;EURUSD:151;USDCAD:448;USDCHF:167;USDJPY:549
