entry_time,exit_time,strategy,symbol,direction,entry_type,range_position,regime_type,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,zscore,rsi,range_low,range_high,range_mid,distance_to_range_mid_r,distance_to_opposite_boundary_r,room_to_mean,room_to_range_mid,room_to_opposite_boundary,h1_adx_low,h4_adx_low,h1_ma_slope_small,h4_ma_slope_small,range_width_ok,price_middle,strong_trend_break,target_too_far,exit_reason,position_id
2025.01.02 10:45:00,2025.01.02 12:45:59,new_range_boundary_reversion_to_mid,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,156.59600000,157.00100000,156.08400000,156.99600000,0.51200000,0.7910,18.06,0.00,0.00,18.06,0.070,0.781,8,0.16007143,17.00,7.496,-1.4962,33.36,156.01500000,157.97600000,156.99550000,0.7799,2.6941,0.47106250,0.39950000,1.38000000,false,true,true,true,true,false,false,false,DEAL_REASON_TP,2
2025.01.02 19:00:00,2025.01.02 19:26:27,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,target_too_far,157.65300000,157.84600000,157.84500000,156.89200000,0.19200000,-1.0052,-24.45,0.00,0.00,-24.45,0.200,3.964,1,0.25300000,16.00,9.460,2.4597,75.49,156.01500000,157.76900000,156.89200000,3.9656,8.5357,0.59450000,0.76100000,1.63800000,true,true,true,true,true,false,false,true,DEAL_REASON_SL,4
2025.01.02 19:45:00,2025.01.03 01:45:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.53500000,157.56300000,157.83900000,156.89200000,0.30400000,-0.0921,-2.13,0.00,-1.34,-3.47,0.120,2.115,24,0.23221429,18.00,8.401,1.4014,66.92,156.01500000,157.76900000,156.89200000,2.1175,5.0055,0.39753125,0.64300000,1.52000000,true,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,6
2025.01.03 06:45:00,2025.01.03 12:45:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,157.34000000,157.33300000,157.64000000,156.92800000,0.30000000,0.0233,0.58,0.00,0.00,0.58,0.130,1.373,24,0.09371429,17.00,6.466,-0.4657,57.65,156.01500000,157.84100000,156.92800000,1.3739,4.4183,0.00000000,0.41200000,1.32500000,false,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,8
2025.01.03 17:30:00,2025.01.03 19:01:56,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,157.42300000,157.13400000,157.79100000,157.13400000,0.36800000,0.7853,18.39,0.00,0.00,18.39,0.100,0.785,6,0.11507143,18.00,8.040,2.0398,60.51,156.42600000,157.84100000,157.13350000,0.7862,2.7076,0.18334375,0.28950000,0.99700000,true,false,true,true,true,false,false,false,DEAL_REASON_TP,10
2025.01.06 01:30:00,2025.01.06 02:10:13,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,stop_outside_range_hit,157.43000000,157.70500000,157.69500000,157.13400000,0.26500000,-1.0377,-24.41,0.00,0.00,-24.41,0.140,1.117,2,0.08292857,16.00,8.498,1.4982,65.85,156.42600000,157.84100000,157.13350000,1.1173,3.7834,0.19875000,0.29650000,1.00400000,true,true,true,true,true,false,false,false,DEAL_REASON_SL,12
2025.01.06 03:00:00,2025.01.06 09:00:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.58300000,157.65300000,157.87500000,157.13400000,0.29200000,-0.2397,-5.77,0.00,0.00,-5.77,0.130,1.538,24,0.11457143,20.00,8.449,1.4491,62.72,156.42600000,157.84100000,157.13350000,1.5374,3.9573,0.29806250,0.44950000,1.15700000,true,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,14
2025.01.06 15:00:00,2025.01.06 15:10:05,new_range_boundary_reversion_to_mid,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,stop_outside_range_hit,156.79600000,156.55200000,156.55200000,157.28500000,0.24400000,-1.0000,-24.94,0.00,0.00,-24.94,0.160,2.004,0,0.20578571,18.00,9.675,-2.6745,18.86,156.61400000,157.95500000,157.28450000,2.0042,4.7552,0.77434375,0.48850000,1.15900000,true,true,true,true,true,false,false,false,DEAL_REASON_SL,16
2025.01.06 15:45:00,2025.01.06 16:01:25,new_range_boundary_reversion_to_mid,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,target_too_far,156.67900000,156.53300000,156.53400000,157.28500000,0.14500000,-1.0069,-24.25,0.00,0.00,-24.25,0.260,4.179,1,0.26642857,16.00,8.836,-1.8359,26.31,156.61400000,157.95500000,157.28450000,4.1779,8.8043,0.77231250,0.60550000,1.27600000,true,true,true,true,true,false,false,true,DEAL_REASON_SL,18
2025.01.06 20:00:00,2025.01.07 02:00:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.50500000,157.75300000,158.00200000,157.09300000,0.49700000,-0.4990,-11.00,0.00,-0.78,-11.78,0.070,0.829,24,0.15750000,16.00,6.521,0.5208,65.64,156.23000000,157.95500000,157.09250000,0.8296,2.5641,0.21525000,0.41250000,1.27500000,true,false,true,true,true,false,false,false,DEAL_REASON_EXPERT,20
2025.01.07 04:00:00,2025.01.07 10:00:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,158.30900000,157.50700000,158.45000000,157.32000000,0.14100000,5.6879,137.48,0.00,0.00,137.48,0.270,7.014,24,0.13600000,16.00,8.024,2.0237,84.37,156.23000000,158.40900000,157.31950000,7.0277,14.7656,0.56243750,0.98950000,2.07900000,false,true,true,true,true,false,false,true,DEAL_REASON_EXPERT,22
2025.01.07 14:30:00,2025.01.07 17:00:01,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,stop_outside_range_hit,157.77900000,158.16300000,158.12800000,157.32000000,0.34900000,-1.1003,-26.71,0.00,0.00,-26.71,0.110,1.315,10,0.10914286,16.00,6.388,0.3885,74.66,156.23000000,158.40900000,157.31950000,1.3156,4.4351,0.06753125,0.45950000,1.54900000,true,false,true,true,true,false,false,false,DEAL_REASON_SL,24
2025.01.07 17:30:00,2025.01.07 23:30:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,weak_trend,other,158.16500000,157.97900000,158.46000000,157.32000000,0.29500000,0.6305,15.31,0.00,0.00,15.31,0.130,2.864,24,0.16850000,18.00,5.594,2.5945,67.14,156.23000000,158.40900000,157.31950000,2.8705,6.5693,0.47312500,0.84550000,1.93500000,false,false,true,true,true,false,false,false,DEAL_REASON_EXPERT,26
2025.01.08 12:00:00,2025.01.08 13:27:01,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,stop_outside_range_hit,158.15500000,158.45300000,158.45000000,157.32400000,0.29500000,-1.0102,-24.45,0.00,0.00,-24.45,0.130,2.817,5,0.10821429,18.00,6.405,0.4052,56.96,156.23000000,158.41800000,157.32400000,2.8125,6.5152,0.03571875,0.83100000,1.92500000,false,true,true,true,true,false,false,false,DEAL_REASON_SL,28
2025.01.08 16:45:00,2025.01.08 22:45:00,new_range_boundary_reversion_to_mid,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,158.36100000,158.35800000,158.58500000,157.50200000,0.22400000,0.0134,0.32,0.00,0.00,0.32,0.170,3.835,24,0.13621429,18.00,6.711,0.7106,49.77,156.45900000,158.54400000,157.50150000,3.8394,8.4962,0.11003125,0.85950000,1.90200000,true,true,false,true,true,false,false,true,DEAL_REASON_EXPERT,30
2025.01.09 10:15:00,2025.01.09 13:47:15,new_range_boundary_reversion_to_mid,EURJPY,LONG,lower_boundary_reversion,lower_boundary,weak_trend,bad_regime,162.86000000,162.56700000,162.57000000,163.57600000,0.29000000,-1.0103,-24.06,0.00,0.00,-24.06,0.130,2.469,14,0.15371429,30.00,2.847,-0.8468,54.93,162.61600000,164.53600000,163.57600000,2.4680,5.7770,0.09471875,0.71600000,1.67600000,false,false,false,true,true,false,false,false,DEAL_REASON_SL,32
2025.01.10 11:30:00,2025.01.10 12:50:27,new_range_boundary_reversion_to_mid,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,157.75100000,158.06100000,157.52600000,158.05600000,0.22500000,1.3778,33.34,0.00,0.00,33.34,0.170,1.356,5,0.13671429,16.00,8.507,-2.5073,20.20,157.56700000,158.54400000,158.05550000,1.3532,3.5242,0.48725000,0.30450000,0.79300000,false,true,true,true,true,false,false,false,DEAL_REASON_TP,34
