run_id,failure_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,choch_failed,1,0,0.0,-3.7,0,-3.7,0.0,-0.1674,-0.1674,0.0,3.7,0.037,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0928,0.233
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,neckline_retest_failed,21,0,0.0,-319.33000000000004,0,-319.33000000000004,0.0,-13.2123,-0.6291571428571429,0.0,319.33000000000004,3.1933000000000002,-1.0,7,0.3333333333333333,0,0.0,0,0.0,14,0.6666666666666666,0.42431428571428564,0.7427047619047619
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,other,5,5,1.0,153.25,153.25,0,inf,6.5390999999999995,1.30782,inf,0.0,0.0,inf,0,0.0,0,0.0,5,1.0,0,0.0,1.30782,0.53684
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,target_not_reached_before_session_end,4,4,1.0,13.07,13.07,0,inf,0.5598000000000001,0.13995000000000002,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,4,1.0,0.7732,0.166175
c6_jan_counter_m15break_diagnostic_sma,bos_pullback_failed,1,0,0.0,-24.99,0,-24.99,0.0,-1.0056,-1.0056,0.0,24.99,0.24989999999999998,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0056
c6_jan_counter_m15break_diagnostic_sma,choch_failed,1,0,0.0,-4.6,0,-4.6,0.0,-0.2081,-0.2081,0.0,4.6,0.046,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.2081
c6_jan_counter_m15break_diagnostic_sma,neckline_retest_failed,16,0,0.0,-370.68,0,-370.68,0.0,-15.436599999999999,-0.9647874999999999,0.0,370.68,3.7068000000000003,-1.0,14,0.875,0,0.0,0,0.0,2,0.125,0.0,0.9647874999999999
c6_jan_counter_m15break_diagnostic_sma,other,5,5,1.0,165.95999999999998,165.95999999999998,0,inf,6.973400000000001,1.3946800000000001,inf,0.0,0.0,inf,0,0.0,0,0.0,4,0.8,1,0.2,1.3946800000000001,0.0
c6_jan_counter_m15break_diagnostic_sma,target_not_reached_before_session_end,5,5,1.0,28.330000000000002,28.330000000000002,0,inf,1.2181000000000002,0.24362000000000003,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,5,1.0,0.24362000000000003,0.0
c7_jan_counter_m15break_diagnostic_no_sma_gate,choch_failed,1,0,0.0,-4.6,0,-4.6,0.0,-0.2081,-0.2081,0.0,4.6,0.046,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.2081
c7_jan_counter_m15break_diagnostic_no_sma_gate,neckline_retest_failed,21,0,0.0,-462.64,0,-462.64,0.0,-19.2761,-0.9179095238095238,0.0,462.64,4.6264,-1.0,17,0.8095238095238095,0,0.0,0,0.0,4,0.19047619047619047,0.0,0.9179095238095238
c7_jan_counter_m15break_diagnostic_no_sma_gate,other,8,8,1.0,252.54999999999995,252.54999999999995,0,inf,10.685599999999999,1.3356999999999999,inf,0.0,0.0,inf,0,0.0,0,0.0,6,0.75,2,0.25,1.3356999999999999,0.0
c7_jan_counter_m15break_diagnostic_no_sma_gate,sweep_reclaim_failed,3,0,0.0,-73.45,0,-73.45,0.0,-3.0694999999999997,-1.0231666666666666,0.0,73.45,0.7345,-1.0,3,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0231666666666666
c7_jan_counter_m15break_diagnostic_no_sma_gate,target_not_reached_before_session_end,5,5,1.0,37.04,37.04,0,inf,1.5822,0.31644,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,5,1.0,0.31644,0.0
