run_id,symbol,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,EURJPY,3,1,0.3333333333333333,-5.379999999999999,31.02,-36.4,0.8521978021978022,-0.20810000000000006,-0.06936666666666669,0.8619202441775595,24.62,0.24620000000000003,-0.2185215272136474,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.8018666666666666,0.6142
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,EURUSD,3,1,0.3333333333333333,-45.82,3.15,-48.97,0.06432509699816213,-1.8760000000000003,-0.6253333333333334,0.06461906661348224,48.97,0.4897,-0.9356749030018379,2,0.6666666666666666,0,0.0,0,0.0,1,0.3333333333333333,0.4659666666666667,0.9048000000000002
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,GBPJPY,3,1,0.3333333333333333,-1.9600000000000009,29.55,-31.51,0.9377975245953665,-0.03770000000000012,-0.012566666666666707,0.9719681760725704,31.51,0.3151,-0.06220247540463347,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0.9592333333333333,0.7036000000000001
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,GBPUSD,4,1,0.25,-35.7,6.18,-41.88,0.1475644699140401,-1.5094999999999998,-0.37737499999999996,0.15153729413748526,41.88,0.4188,-0.8524355300859598,1,0.25,0,0.0,0,0.0,3,0.75,0.266025,0.6146750000000001
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,USDJPY,18,5,0.2777777777777778,-67.85,96.42000000000002,-164.26999999999998,0.5869604918731358,-2.6494999999999997,-0.14719444444444443,0.607074002669435,92.08,0.9208,-0.7368592528236316,2,0.1111111111111111,0,0.0,3,0.16666666666666666,13,0.7222222222222222,0.6050000000000001,0.5584555555555555
c6_jan_counter_m15break_diagnostic_sma,EURJPY,3,1,0.3333333333333333,-15.280000000000001,33.47,-48.75,0.6865641025641025,-0.6181000000000001,-0.20603333333333337,0.694009900990099,24.63,0.2463,-0.6203816483962648,2,0.6666666666666666,0,0.0,1,0.3333333333333333,0,0.0,0.4673,0.6733333333333333
c6_jan_counter_m15break_diagnostic_sma,EURUSD,3,1,0.3333333333333333,-45.01,3.96,-48.97,0.08086583622626098,-1.8426000000000002,-0.6142000000000001,0.08127243717590744,48.97,0.4897,-0.919134163773739,2,0.6666666666666666,0,0.0,0,0.0,1,0.3333333333333333,0.05433333333333334,0.6685333333333334
c6_jan_counter_m15break_diagnostic_sma,GBPJPY,1,0,0.0,-23.7,0,-23.7,0.0,-1.0055,-1.0055,0.0,23.7,0.23700000000000002,-1.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0055
c6_jan_counter_m15break_diagnostic_sma,GBPUSD,4,1,0.25,-43.34,8.58,-51.92,0.1652542372881356,-1.8337999999999999,-0.45844999999999997,0.1695122503509805,51.92,0.5192,-0.8347457627118644,2,0.5,0,0.0,0,0.0,2,0.5,0.093575,0.552025
c6_jan_counter_m15break_diagnostic_sma,USDJPY,17,7,0.4117647058823529,-78.65,148.28,-226.93,0.6534173533688803,-3.1588,-0.18581176470588234,0.664353794986771,87.33,0.8733,-0.9006068933928777,8,0.47058823529411764,0,0.0,3,0.17647058823529413,6,0.35294117647058826,0.3677823529411765,0.5535941176470588
