exit_type,run_id,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate
full_sl,c10_full2025_counter_diag_sma_failure_exit_relaxed_retest,33,0,0.0,-772.2100000000002,0,-772.2100000000002,0.0,-33.68159999999999,-1.020654545454545,0.0,772.2100000000002,7.722100000000001,-1.0,33,1.0,0,0.0,0,0.0
time,c10_full2025_counter_diag_sma_failure_exit_relaxed_retest,236,28,0.11864406779661017,-1814.15,205.96000000000004,-2020.1100000000001,0.10195484404314617,-80.86509999999998,-0.34264872881355923,0.10316103044579603,1820.96,18.209600000000002,-0.9962602143924084,0,0.0,0,0.0,236,1.0
tp,c10_full2025_counter_diag_sma_failure_exit_relaxed_retest,49,49,1.0,1441.47,1441.47,0,0,64.226,1.310734693877551,0,0,0.0,0,0,0.0,49,1.0,0,0.0
