run_id,entry_pattern,entry_trigger,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,bos_down,first_pullback_after_bos,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0,0.0,1.3029,0.8229
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,choch_up,first_pullback_after_choch,1,0,0.0,-3.7,0,-3.7,0.0,-0.1674,-0.1674,0.0,3.7,0.037,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0928,0.233
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,double_bottom,neckline_break_retest,2,0,0.0,-22.43,0,-22.43,0.0,-0.9222,-0.4611,0.0,22.43,0.22429999999999997,-1.0,0,0.0,0,0.0,0,0.0,2,1.0,0.0685,0.7555499999999999
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,double_top,neckline_break_retest,14,3,0.21428571428571427,-141.39999999999998,61.58,-202.98000000000002,0.30337964331461226,-5.688,-0.40628571428571425,0.32155679337778365,159.0,1.59,-0.8893081761006287,5,0.35714285714285715,0,0.0,2,0.14285714285714285,7,0.5,0.6628571428571428,0.7181642857142856
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,head_and_shoulders,neckline_break_retest,8,2,0.25,-48.35,32.94,-81.28999999999999,0.40521589371386396,-1.9936000000000003,-0.24920000000000003,0.40958360480957173,63.17,0.6317,-0.7653949659648568,2,0.25,0,0.0,1,0.125,5,0.625,0.5435625000000001,0.6079625000000001
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,inverse_head_and_shoulders,neckline_break_retest,5,3,0.6,27.380000000000003,40.01,-12.629999999999999,3.1678543151227236,1.1875,0.2375,3.2422583081570995,7.31,0.0731,3.745554035567716,0,0.0,0,0.0,1,0.2,4,0.8,0.69482,0.33874
c6_jan_counter_m15break_diagnostic_sma,bos_down,first_pullback_after_bos,2,1,0.5,11.129999999999999,36.12,-24.99,1.4453781512605042,0.47439999999999993,0.23719999999999997,1.4717581543357199,24.99,0.24989999999999998,0.4453781512605042,1,0.5,0,0.0,1,0.5,0,0.0,0.74,0.5028
c6_jan_counter_m15break_diagnostic_sma,choch_up,first_pullback_after_choch,1,0,0.0,-4.6,0,-4.6,0.0,-0.2081,-0.2081,0.0,4.6,0.046,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.2081
c6_jan_counter_m15break_diagnostic_sma,double_bottom,neckline_break_retest,2,1,0.5,5.93,31.31,-25.38,1.2336485421591805,0.23340000000000005,0.11670000000000003,1.2226886747447763,25.38,0.25379999999999997,0.23364854215918046,1,0.5,0,0.0,0,0.0,1,0.5,0.64075,0.52405
c6_jan_counter_m15break_diagnostic_sma,double_top,neckline_break_retest,12,3,0.25,-184.48000000000005,36.089999999999996,-220.57,0.16362152604615313,-7.5796,-0.6316333333333334,0.17065858435547582,192.32000000000002,1.9232000000000002,-0.9592346089850251,9,0.75,0,0.0,1,0.08333333333333333,2,0.16666666666666666,0.129975,0.7616083333333333
c6_jan_counter_m15break_diagnostic_sma,head_and_shoulders,neckline_break_retest,6,2,0.3333333333333333,-44.300000000000004,45.47,-89.77,0.5065166536704913,-1.8473000000000002,-0.30788333333333334,0.5103896103896104,65.83,0.6583,-0.6729454655931947,3,0.5,0,0.0,1,0.16666666666666666,2,0.3333333333333333,0.32095,0.6288333333333332
c6_jan_counter_m15break_diagnostic_sma,inverse_head_and_shoulders,neckline_break_retest,5,3,0.6,10.34,45.3,-34.96,1.2957665903890159,0.4683999999999999,0.09367999999999999,1.3173011787020728,23.45,0.2345,0.44093816631130067,1,0.2,0,0.0,1,0.2,3,0.6,0.38892,0.29524
c7_jan_counter_m15break_diagnostic_no_sma_gate,bos_up,first_pullback_after_bos,1,1,1.0,9.88,9.88,0,inf,0.4111,0.4111,inf,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,1,1.0,0.4111,0.0
c7_jan_counter_m15break_diagnostic_no_sma_gate,choch_up,first_pullback_after_choch,1,0,0.0,-4.6,0,-4.6,0.0,-0.2081,-0.2081,0.0,4.6,0.046,-1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.2081
c7_jan_counter_m15break_diagnostic_no_sma_gate,double_bottom,neckline_break_retest,7,1,0.14285714285714285,-99.53999999999999,29.08,-128.62,0.2260923651065153,-4.0706999999999995,-0.5815285714285714,0.23943425133589927,99.53999999999999,0.9954,-1.0,5,0.7142857142857143,0,0.0,0,0.0,2,0.2857142857142857,0.18307142857142858,0.7646
c7_jan_counter_m15break_diagnostic_no_sma_gate,double_top,neckline_break_retest,11,3,0.2727272727272727,-126.89,69.07999999999998,-195.97000000000003,0.35250293412256967,-5.2489,-0.47717272727272725,0.3568785532248579,159.19,1.5918999999999999,-0.7970978076512344,8,0.7272727272727273,0,0.0,2,0.18181818181818182,1,0.09090909090909091,0.2647909090909091,0.7419636363636364
c7_jan_counter_m15break_diagnostic_no_sma_gate,head_and_shoulders,neckline_break_retest,4,2,0.5,-2.5400000000000027,45.37,-47.91,0.9469839281987059,-0.0927,-0.023175,0.9540725326991678,47.91,0.4790999999999999,-0.053016071801294154,2,0.5,0,0.0,1,0.25,1,0.25,0.481425,0.5045999999999999
c7_jan_counter_m15break_diagnostic_no_sma_gate,inverse_head_and_shoulders,neckline_break_retest,10,5,0.5,12.119999999999994,102.25999999999999,-90.14,1.1344575105391612,0.5605,0.05605,1.1497101952509414,50.260000000000005,0.5026,0.24114604058893738,2,0.2,0,0.0,2,0.2,6,0.6,0.43043999999999993,0.37439
