direction,session,max_prior_touches,min_breakout_body_pips,min_breakout_close_location,min_body_to_range,min_body_vs_avg,max_retest_delay_bars,min_retest_close_location,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
sell,all,3,4.0,0.6,0.6,1.6,48,0.8,13,0.03258145363408521,0.19307692307692312,0.6153846153846154,3,0.03333333333333333,1.0,1.0,5.419487179487179
sell,all,3,5.0,0.6,0.6,1.6,48,0.8,13,0.03258145363408521,0.19307692307692312,0.6153846153846154,3,0.03333333333333333,1.0,1.0,5.419487179487179
sell,all,3,4.0,0.6,0.6,1.6,48,0.7,15,0.03759398496240601,0.16000000000000006,0.6,3,0.03333333333333333,1.0,1.0,5.3533333333333335
sell,all,3,5.0,0.6,0.6,1.6,48,0.7,15,0.03759398496240601,0.16000000000000006,0.6,3,0.03333333333333333,1.0,1.0,5.3533333333333335
sell,all,3,4.0,0.7,0.6,1.6,48,0.8,12,0.03007518796992481,0.12333333333333339,0.5833333333333334,3,0.03333333333333333,1.0,1.0,5.28
sell,all,3,5.0,0.7,0.6,1.6,48,0.8,12,0.03007518796992481,0.12333333333333339,0.5833333333333334,3,0.03333333333333333,1.0,1.0,5.28
sell,all,3,4.0,0.7,0.6,1.6,48,0.7,14,0.03508771929824561,0.0978571428571429,0.5714285714285714,3,0.03333333333333333,1.0,1.0,5.229047619047619
sell,all,3,5.0,0.7,0.6,1.6,48,0.7,14,0.03508771929824561,0.0978571428571429,0.5714285714285714,3,0.03333333333333333,1.0,1.0,5.229047619047619
sell,all,3,4.0,0.8,0.6,1.6,24,0.6,11,0.02756892230576441,0.040909090909090944,0.5454545454545454,3,0.03333333333333333,1.0066666666666666,1.0,5.148484848484848
sell,all,3,5.0,0.8,0.6,1.6,24,0.6,11,0.02756892230576441,0.040909090909090944,0.5454545454545454,3,0.03333333333333333,1.0066666666666666,1.0,5.148484848484848
sell,all,3,4.0,0.6,0.6,1.3,48,0.8,17,0.042606516290726815,0.003529411764705951,0.5294117647058824,3,0.03333333333333333,1.0,1.0,5.040392156862745
sell,all,3,5.0,0.6,0.6,1.3,48,0.8,17,0.042606516290726815,0.003529411764705951,0.5294117647058824,3,0.03333333333333333,1.0,1.0,5.040392156862745
sell,all,2,4.0,0.6,0.6,1.6,24,0.6,8,0.020050125313283207,-0.05999999999999994,0.5,3,0.03333333333333333,1.0066666666666666,1.0,4.946666666666666
