breakout_time,signal_time,direction,breakout_hour,signal_hour,body_pips,range_pips,body_to_range,breakout_close_location,body_vs_avg,slow_slope_pips,prior_touches,retest_delay_bars,retest_close_location,expectancy_r,win,hold_bars
2024-11-27 01:55:00,2024-11-27 02:15:00,sell,1,2,14.300000000000068,14.699999999999136,0.9727891156463203,1.0,6.891566265060406,1.2274249934989712,5,4,0.9833333333332543,0.97,1.0,2
2024-11-27 05:30:00,2024-11-27 05:50:00,sell,5,5,10.099999999999909,11.7999999999995,0.8559322033898591,0.8898305084745273,2.259507829977451,3.8671588150208436,4,4,0.9761904761903634,0.97,1.0,3
2024-11-27 13:50:00,2024-11-27 14:00:00,sell,13,14,6.999999999999318,7.200000000000273,0.9722222222220906,1.0,1.8543046357614896,3.8515561886839578,10,2,0.9189189189188013,-1.23,0.0,3
2024-11-27 14:20:00,2024-11-27 14:25:00,sell,14,14,3.6999999999977717,6.60000000000025,0.5606060606057017,0.6969696969695534,0.8314606741568419,4.1247220011200625,12,1,0.9523809523809248,-1.23,0.0,3
2024-11-28 04:30:00,2024-11-28 06:00:00,buy,4,6,11.50000000000091,12.79999999999859,0.89843750000017,0.9140625000000243,3.4901365705616256,1.4967182574281424,12,18,0.16949152542358184,-1.23,0.0,15
2024-11-28 05:00:00,2024-11-28 06:00:00,buy,5,6,6.499999999999773,10.699999999999932,0.6074766355140013,0.8785046728971466,1.4428412874583578,2.017164673060279,14,12,0.16949152542358184,-1.23,0.0,15
2024-11-28 05:15:00,2024-11-28 06:00:00,buy,5,6,2.2999999999996135,8.200000000002206,0.2804878048779262,0.560975609756199,0.5263157894735815,1.5795984524004325,14,9,0.16949152542358184,-1.23,0.0,15
2024-11-28 05:30:00,2024-11-28 06:00:00,buy,5,6,7.900000000000773,10.099999999999909,0.7821782178218658,0.8019801980196989,1.9602977667495434,1.7430205335756455,17,6,0.16949152542358184,-1.23,0.0,15
2024-11-28 07:35:00,2024-11-28 07:40:00,buy,7,7,6.60000000000025,7.500000000001705,0.8799999999998332,0.973333333333212,2.2335025380710123,0.7606719205540458,21,1,0.9722222222220906,-1.23,0.0,4
2024-11-28 08:15:00,2024-11-28 08:20:00,buy,8,8,6.200000000001182,7.200000000000273,0.8611111111112427,0.9166666666666666,1.729428172943116,0.40636183256594904,24,1,0.3461538461539092,0.97,1.0,3
2024-11-28 08:50:00,2024-11-28 08:55:00,buy,8,8,1.2000000000000455,4.900000000000659,0.2448979591836498,0.7959183673465718,0.2699662542182299,0.9008569864903393,28,1,0.5797101449272796,0.97,1.0,7
2024-11-28 16:35:00,2024-11-28 17:25:00,sell,16,17,5.599999999998317,8.099999999998886,0.6913580246912454,0.888888888888694,2.1832358674457155,1.5257888784674378,24,10,0.9038461538462275,-1.23,0.0,2
2024-11-28 17:25:00,2024-11-28 18:55:00,sell,17,18,9.399999999999409,10.3999999999985,0.9038461538462275,0.9038461538462275,2.543978349120258,1.9863237881793339,26,18,0.851851851851228,0.97,1.0,76
2024-11-28 17:50:00,2024-11-28 18:55:00,sell,17,18,7.599999999999341,7.699999999999818,0.9870129870129247,0.9870129870129247,1.8788627935720883,1.2725738298229317,28,13,0.851851851851228,0.97,1.0,76
2024-11-28 18:35:00,2024-11-28 18:55:00,sell,18,18,5.000000000001137,6.100000000000705,0.8196721311476326,1.0,1.2886597938147086,1.0894223825118843,35,4,0.851851851851228,0.97,1.0,76
2024-11-28 19:10:00,2024-11-28 19:15:00,sell,19,19,4.500000000001592,5.800000000002115,0.7758620689655088,0.7758620689655088,1.5679442508716013,1.101551997899719,40,1,0.23809523809485145,0.97,1.0,72
2024-11-28 22:15:00,2024-11-28 22:25:00,sell,22,22,1.099999999999568,1.4999999999986358,0.7333333333337123,0.8000000000007579,1.042654028435406,0.5476743143361773,41,2,0.7272727272739017,0.97,1.0,34
2024-11-29 00:05:00,2024-11-29 00:10:00,sell,0,0,1.4999999999986358,1.8999999999977035,0.7894736842107625,0.7894736842107625,1.7543859649116393,0.35300303910617004,56,1,0.7857142857150108,0.4099999999999999,1.0,13
2024-11-29 07:00:00,2024-11-29 07:10:00,sell,7,7,4.400000000001114,13.300000000000978,0.33082706766923237,1.0,0.9723756906079798,6.027631774941256,19,2,0.4938271604937968,-1.23,0.0,1
2024-12-02 03:50:00,2024-12-02 04:40:00,buy,3,4,4.900000000000659,10.300000000000864,0.47572815533982993,0.737864077669777,0.8852755194220033,4.876581614675501,2,10,0.09210526315796855,1.04,1.0,8
2024-12-02 06:35:00,2024-12-02 06:40:00,buy,6,6,6.100000000000705,9.600000000000364,0.635416666666716,0.75,1.3034188034189442,2.687258341742904,10,1,1.0,1.04,1.0,7
2024-12-02 14:30:00,2024-12-02 16:50:00,sell,14,16,8.500000000000796,10.80000000000041,0.7870370370370809,0.8148148148147271,2.9109589041095623,1.768094779100693,3,28,0.6794871794873664,-1.16,0.0,2
2024-12-02 16:10:00,2024-12-02 16:50:00,sell,16,16,15.899999999999181,18.899999999999295,0.8412698412698293,1.0,3.65937859608703,1.821861858203988,8,8,0.6794871794873664,-1.16,0.0,2
2024-12-02 17:05:00,2024-12-02 17:15:00,sell,17,17,18.69999999999834,32.59999999999934,0.5736196319018012,0.5736196319018012,3.6594911937372716,2.0230017544719203,17,2,0.8064516129032199,-1.16,0.0,2
2024-12-02 17:45:00,2024-12-02 17:50:00,sell,17,17,16.59999999999968,28.300000000001546,0.5865724381625008,0.9717314487632179,2.6839126919967264,0.8505935259904618,19,1,0.9424460431654015,1.04,1.0,5
2024-12-03 05:40:00,2024-12-03 06:40:00,buy,5,6,14.399999999997704,15.399999999999636,0.935064935064808,0.9415584415583457,3.9130434782601475,2.0229354246652065,1,12,0.7843137254902288,-1.16,0.0,14
2024-12-03 23:05:00,2024-12-03 23:45:00,buy,23,23,3.8999999999987267,5.19999999999925,0.7499999999998633,0.7499999999998633,1.2786885245895987,1.1357566911812,6,8,1.0,0.33999999999999997,1.0,16
2024-12-04 03:10:00,2024-12-04 07:50:00,buy,3,7,6.89999999999884,8.29999999999984,0.8313253012046955,0.9879518072288579,1.593533487297785,3.830593552186201,0,56,0.6951219512194192,-1.16,0.0,6
2024-12-04 06:00:00,2024-12-04 07:50:00,buy,6,7,12.699999999998113,15.999999999999659,0.7937499999998989,0.7937499999998989,2.5248508946317596,1.7102700063759357,2,22,0.6951219512194192,-1.16,0.0,6
2024-12-04 07:25:00,2024-12-04 07:50:00,buy,7,7,15.500000000000114,19.499999999999318,0.7948717948718285,0.8769230769230679,2.8258887876029175,1.9741902497599995,7,5,0.6951219512194192,-1.16,0.0,6
2024-12-04 07:35:00,2024-12-04 07:50:00,buy,7,7,11.199999999999477,12.90000000000191,0.8682170542633968,0.9457364341084964,1.7679558011050938,2.217864781675871,9,3,0.6951219512194192,-1.16,0.0,6
2024-12-04 14:25:00,2024-12-04 15:15:00,buy,14,15,5.100000000001614,6.800000000001205,0.7500000000001045,0.7500000000001045,1.22155688622792,5.16605045676215,4,10,0.8450704225350675,-1.16,0.0,2
2024-12-04 14:45:00,2024-12-04 15:15:00,buy,14,15,8.00000000000125,9.599999999997522,0.8333333333336788,0.8437500000001018,1.9277108433737662,5.384053961341806,7,6,0.8450704225350675,-1.16,0.0,2
2024-12-04 15:45:00,2024-12-04 15:50:00,buy,15,15,11.199999999999477,13.49999999999909,0.8296296296296468,0.8296296296296468,2.075996292863651,3.081375714938872,11,1,0.7659574468085878,-1.16,0.0,6
2024-12-04 22:00:00,2024-12-04 22:55:00,buy,22,22,7.800000000000296,10.699999999999932,0.7289719626168547,0.7383177570091571,1.5741675075681958,0.07070303927605437,13,11,0.1348314606741645,1.04,1.0,7
2024-12-05 03:40:00,2024-12-05 04:05:00,sell,3,4,7.800000000000296,11.899999999999977,0.6554621848739757,0.6806722689074707,1.1126961483595166,0.3391887454085918,27,5,0.5714285714284264,1.04,1.0,2
2024-12-05 21:35:00,2024-12-06 04:35:00,sell,21,4,5.89999999999975,7.699999999999818,0.7662337662337518,0.8441558441558346,1.7404129793508927,1.8940290285371475,3,84,0.8636363636361484,1.04,1.0,4
2024-12-05 22:25:00,2024-12-06 04:35:00,sell,22,4,3.700000000000614,5.89999999999975,0.6271186440679273,0.6271186440679273,1.032078103207922,1.5804145554881188,9,74,0.8636363636361484,1.04,1.0,4
2024-12-06 00:05:00,2024-12-06 04:35:00,sell,0,4,2.0999999999986585,2.6999999999986812,0.7777777777776608,0.925925925925536,1.1081794195244683,1.0843235240429294,12,54,0.8636363636361484,1.04,1.0,4
2024-12-06 07:10:00,2024-12-06 07:50:00,sell,7,7,6.89999999999884,8.400000000000318,0.8214285714284022,0.9880952380951817,3.108108108107667,0.1178545213065263,28,8,0.3648648648646261,1.04,1.0,10
2024-12-06 07:40:00,2024-12-06 07:50:00,sell,7,7,9.399999999999409,11.099999999999,0.84684684684687,0.84684684684687,3.767535070140294,0.123737618369546,34,2,0.3648648648646261,1.04,1.0,10
2024-12-06 11:25:00,2024-12-06 12:00:00,buy,11,12,6.900000000001683,9.300000000001774,0.7419354838710072,0.7419354838710072,1.9409282700427102,3.905186768693625,2,7,0.2755102040815409,1.04,1.0,2
2024-12-06 17:20:00,2024-12-06 17:25:00,sell,17,17,11.50000000000091,17.69999999999925,0.6497175141243727,0.7796610169492151,1.0978520286397055,3.1110026032820315,21,1,0.6590909090910168,-1.16,0.0,3
2024-12-06 17:45:00,2024-12-06 17:50:00,sell,17,17,18.999999999999773,23.599999999999,0.8050847457627364,0.9025423728813682,2.209302325581334,2.4589921684452065,23,1,0.3191489361702814,-1.16,0.0,2
2024-12-06 18:10:00,2024-12-06 18:20:00,sell,18,18,4.399999999998272,17.099999999999227,0.2573099415203784,0.8362573099415622,0.5569620253162325,1.6854280921933196,26,2,0.6618705035970988,-1.16,0.0,1
2024-12-06 19:25:00,2024-12-06 19:30:00,sell,19,19,5.19999999999925,7.499999999998863,0.6933333333333384,0.8133333333331716,0.781954887217975,0.9520045823194323,24,1,0.9759036144577158,-1.17,0.0,2
2024-12-06 20:20:00,2024-12-06 20:25:00,sell,20,20,6.299999999998818,7.099999999999795,0.8873239436618309,0.8873239436618309,1.3124999999998206,0.39461864691929804,26,1,0.41463414634139584,-1.16,0.0,9
2024-12-06 21:55:00,2024-12-06 22:10:00,sell,21,22,4.999999999998295,6.60000000000025,0.7575757575754705,0.924242424242496,1.5384615384610003,0.06001869837461982,31,3,0.2800000000001365,1.04,1.0,22
2024-12-06 22:55:00,2024-12-06 23:05:00,sell,22,23,4.899999999997817,5.800000000002115,0.8448275862062122,0.9310344827583166,2.0588235294112205,0.1970956705321214,41,2,0.7368421052619769,1.04,1.0,24
2024-12-09 00:40:00,2024-12-09 08:35:00,buy,0,8,1.300000000000523,1.6999999999995907,0.764705882353433,0.8823529411758805,0.5936073059364049,0.04166838027686026,47,95,0.29487179487173415,1.04,1.0,5
2024-12-09 00:45:00,2024-12-09 01:00:00,sell,0,1,7.30000000000075,10.300000000000864,0.7087378640776832,0.7669902912621467,3.3953488372100464,0.12747356784927888,48,3,0.3243243243244074,1.04,1.0,1
2024-12-09 01:50:00,2024-12-09 01:55:00,sell,1,1,5.89999999999975,8.099999999998886,0.7283950617284644,0.8641975308642322,1.843750000000043,0.16049854937136843,54,1,1.0,1.04,1.0,6
2024-12-09 05:35:00,2024-12-09 08:35:00,buy,5,8,8.29999999999984,8.399999999997476,0.988095238095516,0.988095238095516,3.45833333333416,0.30010598055412174,52,36,0.29487179487173415,1.04,1.0,5
2024-12-09 08:10:00,2024-12-09 08:35:00,buy,8,8,3.700000000000614,4.200000000000159,0.8809523809524937,0.9761904761903634,2.1022727272732227,0.34777331619295637,41,5,0.29487179487173415,1.04,1.0,5
2024-12-09 17:05:00,2024-12-09 17:45:00,buy,17,17,5.500000000000682,11.599999999998545,0.47413793103460106,0.8275862068966869,1.5736766809729859,4.263378011160057,1,8,0.6346153846157735,-1.16,0.0,1
2024-12-09 18:10:00,2024-12-09 18:25:00,buy,18,18,3.6000000000001364,6.900000000001683,0.5217391304346751,0.7536231884059165,0.8411214953270841,3.4993080011958,6,3,0.6969696969692533,1.04,1.0,3
2024-12-09 18:20:00,2024-12-09 18:25:00,buy,18,18,2.0999999999986585,3.6999999999977717,0.5675675675675468,0.8918918918920787,0.48611111111078215,3.301491787047439,8,1,0.6969696969692533,1.04,1.0,3
2024-12-10 11:45:00,2024-12-10 11:50:00,buy,11,11,5.800000000002115,7.599999999999341,0.7631578947371865,0.8552631578947811,1.6763005780357576,1.7682434167483052,9,1,0.6315789473682636,1.03,1.0,17
2024-12-10 12:40:00,2024-12-10 12:45:00,buy,12,12,5.500000000000682,6.800000000001205,0.8088235294117216,0.8235294117647305,1.6369047619051798,1.5082490032767737,13,1,0.6410256410252673,1.03,1.0,6
2024-12-10 17:50:00,2024-12-10 18:20:00,buy,17,18,16.59999999999968,17.300000000000182,0.9595375722543068,0.9768786127168171,4.119106699751432,3.8084137051242806,4,6,0.011111111111163743,1.04,1.0,3
2024-12-10 20:15:00,2024-12-10 20:20:00,buy,20,20,5.000000000001137,7.200000000000273,0.694444444444576,0.944444444444576,1.8416206261515065,2.3568172109662555,12,1,0.333333333333136,-1.16,0.0,5
2024-12-11 18:00:00,2024-12-11 21:25:00,buy,18,21,8.199999999999363,10.200000000000387,0.8039215686273581,0.8823529411764706,1.4761476147614503,2.169480991702244,13,41,0.12676056338009,-1.16,0.0,27
2024-12-11 19:25:00,2024-12-11 21:25:00,buy,19,21,3.8999999999987267,5.299999999999727,0.7358490566035712,1.0,0.937499999999669,1.5297838352978488,19,24,0.12676056338009,-1.16,0.0,27
2024-12-11 19:50:00,2024-12-11 21:25:00,buy,19,21,4.099999999999682,6.89999999999884,0.5942028985507783,0.9710144927538918,1.083223249669617,1.662111670560762,24,19,0.12676056338009,-1.16,0.0,27
2024-12-11 20:40:00,2024-12-11 21:25:00,buy,20,21,7.200000000000273,10.000000000002274,0.7199999999998635,0.7199999999998635,2.4657534246576143,1.225285284985489,26,9,0.12676056338009,-1.16,0.0,27
2024-12-12 09:50:00,2024-12-12 10:25:00,buy,9,10,3.499999999999659,4.2999999999977945,0.8139534883724312,0.8604651162789929,0.8083140877597765,0.817870006298449,13,7,0.4,-1.19,0.0,2
2024-12-12 09:55:00,2024-12-12 10:25:00,buy,9,10,7.099999999999795,8.29999999999984,0.8554216867469797,0.8554216867469797,1.7359413202934435,1.1343478279570718,14,6,0.4,-1.19,0.0,2
2024-12-12 11:05:00,2024-12-12 11:10:00,buy,11,11,0.5999999999971806,6.699999999997885,0.0895522388055776,0.7164179104475903,0.15503875968920514,0.8652354190729739,22,1,0.544554455445617,-1.16,0.0,5
2024-12-12 12:05:00,2024-12-12 21:55:00,buy,12,21,4.200000000000159,6.900000000001683,0.6086956521737876,0.9565217391302377,1.5384615384616185,0.8510046548593664,26,118,0.9090909090910853,1.04,1.0,11
2024-12-12 21:55:00,2024-12-12 23:25:00,buy,21,23,3.3999999999991815,4.399999999998272,0.7727272727273902,0.9090909090910853,1.8732782369140053,2.021377646897804,23,18,0.1960784313724179,-1.16,0.0,29
2024-12-13 01:55:00,2024-12-13 02:00:00,buy,1,2,9.899999999998954,13.399999999998613,0.7388059701492522,0.7388059701492522,4.900990099010461,0.6582695980569042,8,1,0.813829787234049,1.04,1.0,3
2024-12-13 15:00:00,2024-12-13 17:10:00,buy,15,17,5.60000000000116,7.800000000000296,0.7179487179488394,0.8974358974361404,1.5774647887326403,2.108705778522335,6,26,0.6574074074076267,-1.16,0.0,6
2024-12-13 16:30:00,2024-12-13 17:10:00,buy,16,17,12.100000000000932,15.200000000001523,0.7960526315789289,0.9802631578946446,4.074074074074429,1.441713632061692,10,8,0.6574074074076267,-1.16,0.0,6
2024-12-13 17:45:00,2024-12-13 18:10:00,buy,17,18,13.599999999999568,14.999999999997726,0.9066666666667753,0.9333333333333839,3.5836627140974486,2.2234057990516476,13,5,0.27906976744192197,1.04,1.0,4
2024-12-16 14:30:00,2024-12-16 15:40:00,buy,14,15,9.200000000001296,10.099999999999909,0.9108910891090474,0.9306930693068806,4.36018957346036,1.8684785710462393,0,14,0.9761904761903634,1.04,1.0,7
2024-12-16 15:35:00,2024-12-16 15:40:00,buy,15,15,1.500000000001478,6.100000000000705,0.24590163934447617,0.5573770491805952,0.4958677685955616,2.4221651813434164,4,1,0.9761904761903634,1.04,1.0,7
2024-12-17 04:00:00,2024-12-17 04:30:00,sell,4,4,10.099999999999909,12.100000000000932,0.8347107438015811,0.958677685950454,2.6405228758168207,0.5214068442256803,4,6,0.38805970149239166,-1.16,0.0,16
2024-12-17 09:35:00,2024-12-17 11:25:00,sell,9,11,8.599999999998431,11.50000000000091,0.7478260869563261,0.9043478260867546,3.1501831501826203,0.18674328229622006,13,22,0.7424242424243142,1.04,1.0,2
2024-12-17 10:30:00,2024-12-17 11:25:00,sell,10,11,8.799999999999386,9.399999999999409,0.936170212765951,0.936170212765951,2.424242424242448,0.0644214829833345,17,11,0.7424242424243142,1.04,1.0,2
2024-12-17 17:10:00,2024-12-17 18:05:00,sell,17,18,5.599999999998317,7.900000000000773,0.7088607594933886,0.9746835443036791,1.1582213029986024,3.00071172185028,2,11,0.3749999999998026,-1.16,0.0,2
2024-12-17 17:30:00,2024-12-17 18:05:00,sell,17,18,5.500000000000682,7.599999999999341,0.7236842105264684,0.9210526315789376,1.4844804318490092,3.432502395571646,5,7,0.3749999999998026,-1.16,0.0,2
2024-12-17 17:50:00,2024-12-17 18:05:00,sell,17,18,8.400000000000318,10.600000000002296,0.7924528301885376,0.8301886792453134,2.4597364568082165,2.973582325043367,9,3,0.3749999999998026,-1.16,0.0,2
2024-12-17 18:00:00,2024-12-17 18:05:00,sell,18,18,4.800000000000182,11.099999999999,0.4324324324324878,0.7747747747747032,1.4117647058823333,2.781441071243762,11,1,0.3749999999998026,-1.16,0.0,2
2024-12-18 01:50:00,2024-12-18 01:55:00,buy,1,1,2.000000000001023,3.700000000000614,0.5405405405407274,0.8918918918921618,0.7766990291265458,0.377499171298723,24,1,0.717948717948475,1.04,1.0,3
2024-12-18 06:30:00,2024-12-18 07:25:00,sell,6,7,6.19999999999834,8.500000000000796,0.7294117647056187,0.7529411764704348,2.7678571428565313,0.3330749290796575,12,11,0.22222222222233923,1.04,1.0,13
2024-12-19 01:50:00,2024-12-19 01:55:00,buy,1,1,10.80000000000041,18.500000000000227,0.5837837837837987,0.9729729729729979,3.850267379679632,2.137197218658571,14,1,0.5744680851063401,-1.16,0.0,3
2024-12-20 01:00:00,2024-12-20 01:35:00,buy,1,1,10.099999999999909,13.800000000000523,0.7318840579709802,0.9927536231883715,7.240143369176394,1.0594085137313414,7,7,0.7656249999998473,1.04,1.0,3
2024-12-20 01:25:00,2024-12-20 01:35:00,buy,1,1,7.699999999999818,8.500000000000796,0.9058823529410702,1.0,3.719806763285051,1.715664923796112,12,2,0.7656249999998473,1.04,1.0,3
2024-12-20 04:25:00,2024-12-20 08:40:00,sell,4,8,2.6999999999986812,8.400000000000318,0.32142857142840225,0.7261904761905326,0.34548944337794657,3.1113236563584223,1,51,0.10679611650480347,-1.16,0.0,2
2024-12-20 04:50:00,2024-12-20 08:40:00,sell,4,8,8.599999999998431,15.100000000001046,0.5695364238409163,0.5827814569535614,1.2121212121210543,3.4178047622077656,4,46,0.10679611650480347,-1.16,0.0,2
2024-12-20 08:00:00,2024-12-20 08:40:00,sell,8,8,5.999999999997385,9.200000000001296,0.6521739130431021,0.7717391304346517,1.4833127317669204,1.9078503944228942,13,8,0.10679611650480347,-1.16,0.0,2
