Time;SetupId;SignalTime;EntryTime;SignalBarTime;EntryBarTime;ExitBarTime;Symbol;Direction;StrategyName;ContextTF;PatternTF;EntryTF;SessionName;SignalPrice;EntryPrice;StopLoss;TakeProfit;RiskPoints;RewardPoints;RR;LotSize;PlannedRiskMoney;RiskPercent;PatternType;NecklinePrice;LeftPeakOrBottom;RightPeakOrBottom;FiboExtensionValue;ATRValue;SpreadPoints;ContextFilterPassed;FiboFilterPassed;ATRFilterPassed;SpreadFilterPassed;EntryReason;RejectReason;Result;ProfitMoney;ProfitR;MFE;MAE;MFE_R;MAE_R;HoldingBars;ExitReason;FilterMode;ContextFilterReason;IsExecutable;ContextEMAShort;ContextEMALong;ContextEMAShortAboveLong;ContextEMAShortSlopeATR;ContextEMALongSlopeATR;ContextPriceVsEMAShort;ContextPriceVsEMALong;HTFTrendState;PatternADX;EntryADX;PatternADXBucket;EntryADXBucket;PatternDIDirection;EntryDIDirection;PatternATR;EntryATR;PatternATRPercentile;EntryATRPercentile;PatternATRBucket;EntryATRBucket;SLDistanceATR;TPDistanceATR;DoubleTopBottomHeightATR;NecklineDistanceATR;RightPeakOrBottomDepthATR;LeftRightSymmetryRatio;BreakCandleBodyATR;BreakCandleClosePosition;BreakCandleDirectionStrength;BreakCandleStrengthBucket;ContextDirectionAligned;TrendAlignmentTag;EntryOpenCount;SameDirectionOpenCount;OppositeDirectionOpenCount;BarsSinceLastEntry;ApproximateDuplicateSetup;MFEReached05;MFEReached10;MFE05ThenSL;MFE10ThenSL;StopConditionTriggered;StopReason;DrawdownPercent;DrawdownR
2026.01.02 02:55:00;SHORT_1767320400_156.605;2026.01.02 02:50:00;2026.01.02 02:55:00;2026.01.02 02:50:00;2026.01.02 02:55:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;asia;156.5460000000;156.5470000000;156.7500000000;156.2430000000;203.0000000000;304.0000000000;1.4975369458;0.0700000000;9.0700000000;0.1000000000;double_top_neckline_break;156.6050000000;156.7450000000;156.7430000000;178.6771105309;0.0480000000;24.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4250436539;156.2697263221;1;0.3794067483;0.2048691472;above;above;bullish;32.3089333407;34.2420477800;high;high;minus_di;minus_di;0.0721428571;0.0480000000;58.0000000000;75.0000000000;normal_vol;high_vol;4.2291666667;6.3333333333;2.8750000000;1.2291666667;2.8750000000;0.9857142857;1.4583333333;0.0138888889;0.9722222222;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 03:25:00;SHORT_1767320400_156.605;2026.01.02 03:20:00;2026.01.02 03:25:00;2026.01.02 03:20:00;2026.01.02 03:25:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;asia;156.5680000000;156.5680000000;156.7500000000;156.2950000000;182.0000000000;273.0000000000;1.5000000000;0.0800000000;9.2900000000;0.1000000000;double_top_neckline_break;156.6050000000;156.7450000000;156.7430000000;178.6771105309;0.0451428571;16.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4250436539;156.2697263221;1;0.3794067483;0.2048691472;above;above;bullish;39.6261915273;35.2834497103;high;high;minus_di;minus_di;0.0825000000;0.0451428571;70.5000000000;68.5000000000;high_vol;normal_vol;4.0316455696;6.0474683544;3.0569620253;0.8196202532;3.0569620253;0.9857142857;0.7531645570;0.2272727273;0.5151515152;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 04:40:00;SHORT_1767320400_156.605;2026.01.02 04:35:00;2026.01.02 04:40:00;2026.01.02 04:35:00;2026.01.02 04:40:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;asia;156.5970000000;156.5970000000;156.7480000000;156.3710000000;151.0000000000;226.0000000000;1.4966887417;0.1000000000;9.6300000000;0.1000000000;double_top_neckline_break;156.6050000000;156.7450000000;156.7430000000;178.6771105309;0.0300714286;23.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4441823536;156.2836978389;1;0.2884487963;0.1743129427;above;above;bullish;38.1266010867;28.1918687837;high;middle;minus_di;minus_di;0.0890000000;0.0300714286;79.5000000000;23.0000000000;high_vol;low_vol;5.0213776722;7.5154394299;4.5890736342;0.2660332542;4.5890736342;0.9857142857;0.5653206651;0.3103448276;0.5862068966;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 04:55:00;LONG_1767328800_156.623;2026.01.02 04:50:00;2026.01.02 04:55:00;2026.01.02 04:50:00;2026.01.02 04:55:00;;USDJPY;LONG;Strategy_01_NWave_ExpectedValue;H4;M15;M5;asia;156.6710000000;156.6930000000;156.5820000000;156.8600000000;111.0000000000;167.0000000000;1.5045045045;0.1400000000;9.9200000000;0.1000000000;double_bottom_neckline_break;156.6230000000;156.5870000000;156.5860000000;188.9437314906;0.0285714286;22.0000000000;1;1;1;1;double_bottom_neckline_close_break;direction_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4441823536;156.2836978389;1;0.2884487963;0.1743129427;above;above;bullish;38.3849430927;26.4301580279;high;middle;minus_di;plus_di;0.0722857143;0.0285714286;56.0000000000;16.0000000000;normal_vol;low_vol;3.8850000000;5.8450000000;1.2600000000;1.6800000000;1.2950000000;0.9729729730;1.8550000000;0.8870967742;0.8548387097;high;1;TrendFollow;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 09:45:00;LONG_1767339900_156.848;2026.01.02 09:40:00;2026.01.02 09:45:00;2026.01.02 09:40:00;2026.01.02 09:45:00;;USDJPY;LONG;Strategy_01_NWave_ExpectedValue;H4;M15;M5;london;156.8790000000;156.8950000000;156.8130000000;157.0180000000;82.0000000000;123.0000000000;1.5000000000;0.1900000000;9.9400000000;0.1000000000;double_bottom_neckline_break;156.8480000000;156.8120000000;156.8190000000;188.9437314906;0.0377857143;16.0000000000;1;1;1;1;double_bottom_neckline_close_break;direction_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4879745104;156.3080234138;1;0.2832011104;0.1754188348;above;above;bullish;53.3137194643;42.4691471974;high;high;minus_di;minus_di;0.0547857143;0.0377857143;28.5000000000;62.5000000000;low_vol;normal_vol;2.1701323251;3.2551984877;0.7674858223;0.8204158790;0.7674858223;0.8055555556;1.2967863894;0.8461538462;0.7538461538;high;1;TrendFollow;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 11:20:00;SHORT_1767349500_156.807;2026.01.02 11:15:00;2026.01.02 11:20:00;2026.01.02 11:15:00;2026.01.02 11:20:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;london;156.7940000000;156.7940000000;156.9970000000;156.4900000000;203.0000000000;304.0000000000;1.4975369458;0.0700000000;9.0500000000;0.1000000000;double_top_neckline_break;156.8070000000;156.9860000000;156.9900000000;178.6771105309;0.0443571429;16.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4879745104;156.3080234138;1;0.2832011104;0.1754188348;above;above;bullish;32.9574798623;48.5172102866;high;high;minus_di;minus_di;0.0744285714;0.0443571429;66.5000000000;73.5000000000;normal_vol;high_vol;4.5764895330;6.8534621578;4.0354267311;0.2930756844;4.1256038647;0.9781420765;0.7439613527;0.0943396226;0.6226415094;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 11:45:00;SHORT_1767349500_156.807;2026.01.02 11:40:00;2026.01.02 11:45:00;2026.01.02 11:40:00;2026.01.02 11:45:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;london;156.7970000000;156.7970000000;156.9970000000;156.4970000000;200.0000000000;300.0000000000;1.5000000000;0.0700000000;8.9200000000;0.1000000000;double_top_neckline_break;156.8070000000;156.9860000000;156.9900000000;178.6771105309;0.0465714286;16.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.4879745104;156.3080234138;1;0.2832011104;0.1754188348;above;above;bullish;35.6656654537;48.8736920875;high;high;minus_di;minus_di;0.0732857143;0.0465714286;65.0000000000;80.5000000000;normal_vol;high_vol;4.2944785276;6.4417177914;3.8435582822;0.2147239264;3.9294478528;0.9781420765;1.0521472393;0.0483870968;0.7903225806;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 16:30:00;SHORT_1767369300_156.839;2026.01.02 16:25:00;2026.01.02 16:30:00;2026.01.02 16:25:00;2026.01.02 16:30:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;new_york;156.8290000000;156.8290000000;156.9400000000;156.6630000000;111.0000000000;166.0000000000;1.4954954955;0.1400000000;9.9000000000;0.1000000000;double_top_neckline_break;156.8390000000;156.9400000000;156.9330000000;178.6771105309;0.0441428571;21.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.5632353702;156.3537686338;1;0.4161653514;0.2449416053;above;above;bullish;13.8631737787;17.8776192974;low;low;minus_di;minus_di;0.0675714286;0.0441428571;60.5000000000;66.0000000000;normal_vol;normal_vol;2.5145631068;3.7605177994;2.1294498382;0.2265372168;2.1294498382;0.9306930693;0.5889967638;0.3333333333;0.6190476190;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 16:50:00;SHORT_1767369300_156.839;2026.01.02 16:45:00;2026.01.02 16:50:00;2026.01.02 16:45:00;2026.01.02 16:50:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;new_york;156.8060000000;156.8060000000;156.9400000000;156.6050000000;134.0000000000;201.0000000000;1.5000000000;0.1100000000;9.3900000000;0.1000000000;double_top_neckline_break;156.8390000000;156.9400000000;156.9330000000;178.6771105309;0.0454285714;16.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.5632353702;156.3537686338;1;0.4161653514;0.2449416053;above;above;bullish;14.0782727355;22.8045691507;low;middle;minus_di;minus_di;0.0682857143;0.0454285714;63.5000000000;71.5000000000;normal_vol;high_vol;2.9496855346;4.4245283019;2.0691823899;0.7264150943;2.0691823899;0.9306930693;1.0566037736;0.0615384615;0.7384615385;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
2026.01.02 17:05:00;SHORT_1767369300_156.839;2026.01.02 17:00:00;2026.01.02 17:05:00;2026.01.02 17:00:00;2026.01.02 17:05:00;;USDJPY;SHORT;Strategy_01_NWave_ExpectedValue;H4;M15;M5;new_york;156.7380000000;156.7380000000;156.9410000000;156.4330000000;203.0000000000;305.0000000000;1.5024630542;0.0700000000;9.0500000000;0.1000000000;double_top_neckline_break;156.8390000000;156.9400000000;156.9330000000;178.6771105309;0.0552142857;23.0000000000;1;1;1;1;double_top_neckline_close_break;pattern_adx_bucket_filter_failed;REJECTED;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0;;FILTER_ALL;fibo_and_atr;0;156.5632353702;156.3537686338;1;0.4161653514;0.2449416053;above;above;bullish;14.9922703566;26.1488713178;low;middle;minus_di;minus_di;0.0701428571;0.0552142857;65.5000000000;99.0000000000;normal_vol;high_vol;3.6765847348;5.5239327296;1.7024579560;1.8292367400;1.7024579560;0.9306930693;1.9922380336;0.0326797386;0.7189542484;high;0;CounterTrend;0;0;0;-1;0;0;0;0;0;false;;0.0000000000;0.0000000000
