session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
ny_open,1,3.0,0.45,0.6,8.0,100.0,11,0.031980617807389464,0.19393939393939397,0.7272727272727273,4,0.07145515444733905,0.21666666666666673,0.75,0.2540476387129931
ny_open,1,3.0,0.45,0.6,10.0,100.0,11,0.031980617807389464,0.19393939393939397,0.7272727272727273,4,0.07145515444733905,0.21666666666666673,0.75,0.2540476387129931
ny_open,1,3.0,0.45,0.65,8.0,100.0,10,0.029073288915808602,0.14466666666666672,0.7,4,0.07145515444733905,0.21666666666666673,0.75,0.24224799111649511
ny_open,1,3.0,0.45,0.65,10.0,100.0,10,0.029073288915808602,0.14466666666666672,0.7,4,0.07145515444733905,0.21666666666666673,0.75,0.24224799111649511
ny_open,1,3.0,0.45,0.6,12.0,100.0,10,0.029073288915808602,0.14333333333333337,0.7,4,0.07145515444733905,0.21666666666666673,0.75,0.24198132444982845
ny_open,1,0.0,0.45,0.6,8.0,100.0,12,0.03488794669897032,0.08611111111111114,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.23003314489534965
ny_open,1,0.0,0.45,0.6,10.0,100.0,12,0.03488794669897032,0.08611111111111114,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.23003314489534965
ny_open,1,1.0,0.45,0.6,8.0,100.0,12,0.03488794669897032,0.08611111111111114,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.23003314489534965
ny_open,1,1.0,0.45,0.6,10.0,100.0,12,0.03488794669897032,0.08611111111111114,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.23003314489534965
ny_open,1,2.0,0.45,0.6,8.0,100.0,12,0.03488794669897032,0.08611111111111114,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.23003314489534965
ny_open,1,2.0,0.45,0.6,10.0,100.0,12,0.03488794669897032,0.08611111111111114,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.23003314489534965
ny_open,1,3.0,0.45,0.7,8.0,100.0,9,0.026165960024227743,0.08370370370370374,0.6666666666666666,4,0.07145515444733905,0.21666666666666673,0.75,0.22780726607891968
