"RunName","Window","Magic","EnableTrading","DoubleTopBottomToleranceATR","NecklineBreakBufferATR","ADXLowThreshold","ADXHighThreshold","Trades","WinRate","AvgWinR","AvgLossR","ExpectancyR","PF","MaxDD_R","MaxLossR","TotalR","MaxConsecutiveLosses","PositiveMonths","PositiveQuarters","RiskGuardRejects","spread_too_wide","daily_loss_r_blocked","live_order_send_failed","live_position_tracking_failed","live_sl_tp_invalid","live_lot_invalid","MonthlyProfitR","QuarterProfitR","RejectReasonCounts"
"oos2026_jan_apr_selected_virtual","2026.01.01-2026.04.30","2026053201","False","0.25","0.07","20.0","30.0","41","43.9024","1.49944","-1","0.097315","1.173475","8.004638","-1","3.989926","7","2","1","4","8","4","0","0","0","0","2026-01:2.492|2026-02:3.997|2026-03:-0.005|2026-04:-2.494","2026-Q1:6.484|2026-Q2:-2.494","break_candle_strength_filter_failed=32|daily_loss_r_blocked=4|direction_filter_failed=595|entry_open_count_filter_failed=24|fibo_filter_failed=9|pattern_adx_bucket_filter_failed=179|spread_too_wide=8|trend_alignment_filter_failed=298"
"oos2026_jan_apr_selected_live_smoke","2026.01.01-2026.04.30","2026053202","True","0.25","0.07","20.0","30.0","40","37.5","1.472009","-1.019123","-0.084949","0.866633","11.726668","-1.105642","-3.397948","7","1","1","4","8","4","0","0","0","0","2026-01:-0.189|2026-02:3.792|2026-03:-2.888|2026-04:-4.112","2026-Q1:0.714|2026-Q2:-4.112","break_candle_strength_filter_failed=32|daily_loss_r_blocked=4|direction_filter_failed=595|entry_open_count_filter_failed=25|fibo_filter_failed=9|pattern_adx_bucket_filter_failed=179|spread_too_wide=8|trend_alignment_filter_failed=298"
