Month,VirtualTrades,LiveTrades,VirtualWins,LiveWins,VirtualLosses,LiveLosses,VirtualTotalR,LiveTotalR,TotalRDiff,VirtualExpectancyR,LiveExpectancyR,VirtualPF,LivePF,VirtualWinLiveLoss,VirtualEntryLiveNotEntered,LiveOnly,AvgRDiffAllCandidates
2026-01,10,10,5,4,5,6,2.492325,-0.189173,-2.681498,0.249233,-0.018917,1.498465,0.969651,1,0,0,-0.268150
2026-02,6,6,4,4,2,2,3.996855,3.791604,-0.205251,0.666143,0.631934,2.998428,2.895802,0,0,0,-0.034209
2026-03,15,15,6,5,9,10,-0.005002,-2.888334,-2.883333,-0.000333,-0.192556,0.999444,0.716147,1,0,0,-0.192222
2026-04,10,9,3,2,7,7,-2.494253,-4.112045,-1.617792,-0.249425,-0.456894,0.643678,0.418321,1,1,0,-0.161779
