MatchKey,Month,Classification,SetupId,Direction,SignalTime,EntryTime,VirtualEntry,LiveEntry,VirtualResult,LiveResult,VirtualProfitR,LiveProfitR,RDiff_LiveMinusVirtual,VirtualEntryPrice,LiveEntryPrice,EntryPriceDiff,VirtualSL,LiveSL,SLDiff,VirtualTP,LiveTP,TPDiff,VirtualRiskPoints,LiveRiskPoints,RiskPointsDiff,VirtualExitTime,LiveExitTime,VirtualExitBarTime,LiveExitBarTime,VirtualExitReason,LiveExitReason,VirtualMFE_R,LiveMFE_R,VirtualMAE_R,LiveMAE_R,VirtualHoldingBars,LiveHoldingBars,SpreadPoints,LiveRejectReasonAtSignal
SHORT_1767583800_157.020|2026.01.05 04:00:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1767583800_157.020,SHORT,2026.01.05 03:55:00,2026.01.05 04:00:00,true,true,LOSS,LOSS,-1.000000,-1.000000,0.000000,157.0080000000,157.0080000000,0.0000000000,157.1830000000,157.1830000000,0.0000000000,156.7460000000,156.7460000000,0.0000000000,175.0000000000,175.0000000000,0.000000,2026.01.05 04:40:00,2026.01.05 04:37:06,2026.01.05 04:35:00,2026.01.05 04:35:00,virtual_stop_loss,stop_loss,0.3657142857,0.2628571429,-1.1428571429,-1.0000000000,7,7,16.0000000000,
SHORT_1767611400_156.771|2026.01.05 16:05:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1767611400_156.771,SHORT,2026.01.05 16:00:00,2026.01.05 16:05:00,true,true,WIN,WIN,1.495726,1.498578,0.002851,156.7610000000,156.7610000000,0.0000000000,156.8780000000,156.8780000000,0.0000000000,156.5860000000,156.5860000000,0.0000000000,117.0000000000,117.0000000000,0.000000,2026.01.05 17:05:00,2026.01.05 17:25:45,2026.01.05 17:00:00,2026.01.05 17:25:00,virtual_take_profit,take_profit,1.5299145299,1.4957264957,-0.8803418803,-0.8803418803,11,16,21.0000000000,
SHORT_1767840600_156.728|2026.01.08 05:20:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1767840600_156.728,SHORT,2026.01.08 05:15:00,2026.01.08 05:20:00,true,true,WIN,WIN,1.500000,1.510821,0.010821,156.6670000000,156.6670000000,0.0000000000,156.7950000000,156.7950000000,0.0000000000,156.4750000000,156.4750000000,0.0000000000,128.0000000000,128.0000000000,0.000000,2026.01.08 10:00:00,2026.01.08 10:00:00,2026.01.08 09:55:00,2026.01.08 10:00:00,virtual_take_profit,take_profit,1.6093750000,1.5078125000,-0.6718750000,-0.6718750000,55,56,17.0000000000,
SHORT_1767891900_156.950|2026.01.08 17:50:00|SHORT,2026-01,same_outcome_material_r_diff,SHORT_1767891900_156.950,SHORT,2026.01.08 17:45:00,2026.01.08 17:50:00,true,true,LOSS,LOSS,-1.000000,-1.105642,-0.105642,156.9000000000,156.9000000000,0.0000000000,157.0570000000,157.0570000000,0.0000000000,156.6650000000,156.6650000000,0.0000000000,157.0000000000,157.0000000000,0.000000,2026.01.09 03:10:00,2026.01.09 02:54:17,2026.01.09 03:05:00,2026.01.09 02:50:00,virtual_stop_loss,stop_loss,1.4012738854,0.7452229299,-1.2866242038,-1.0000000000,111,108,17.0000000000,
SHORT_1768379400_159.223|2026.01.14 08:45:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1768379400_159.223,SHORT,2026.01.14 08:40:00,2026.01.14 08:45:00,true,true,WIN,WIN,1.496599,1.520674,0.024076,159.1930000000,159.1930000000,0.0000000000,159.3400000000,159.3400000000,0.0000000000,158.9730000000,158.9730000000,0.0000000000,147.0000000000,147.0000000000,0.000000,2026.01.14 10:35:00,2026.01.14 10:34:27,2026.01.14 10:30:00,2026.01.14 10:30:00,virtual_take_profit,take_profit,2.1428571429,1.5170068027,-0.2993197279,-0.2993197279,21,21,18.0000000000,
SHORT_1768385700_159.007|2026.01.14 10:35:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1768385700_159.007,SHORT,2026.01.14 10:30:00,2026.01.14 10:35:00,true,true,WIN,WIN,1.500000,1.514096,0.014096,158.9420000000,158.9420000000,0.0000000000,159.1980000000,159.1980000000,0.0000000000,158.5580000000,158.5580000000,0.0000000000,256.0000000000,256.0000000000,0.000000,2026.01.14 14:05:00,2026.01.14 14:00:35,2026.01.14 14:00:00,2026.01.14 14:00:00,virtual_take_profit,take_profit,3.1132812500,1.5078125000,-0.6093750000,-0.6093750000,41,41,17.0000000000,
SHORT_1768511100_158.468|2026.01.15 21:25:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1768511100_158.468,SHORT,2026.01.15 21:20:00,2026.01.15 21:25:00,true,true,LOSS,LOSS,-1.000000,-1.043531,-0.043531,158.4660000000,158.4660000000,0.0000000000,158.5350000000,158.5350000000,0.0000000000,158.3630000000,158.3630000000,0.0000000000,69.0000000000,69.0000000000,0.000000,2026.01.15 21:45:00,2026.01.15 21:39:07,2026.01.15 21:40:00,2026.01.15 21:35:00,virtual_stop_loss,stop_loss,0.1739130435,0.0000000000,-1.4927536232,-1.0434782609,3,2,17.0000000000,
SHORT_1768527000_158.543|2026.01.16 02:05:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1768527000_158.543,SHORT,2026.01.16 02:00:00,2026.01.16 02:05:00,true,true,LOSS,LOSS,-1.000000,-1.027755,-0.027755,158.5260000000,158.5260000000,0.0000000000,158.6700000000,158.6700000000,0.0000000000,158.3100000000,158.3100000000,0.0000000000,144.0000000000,144.0000000000,0.000000,2026.01.16 02:55:00,2026.01.16 02:50:40,2026.01.16 02:50:00,2026.01.16 02:50:00,virtual_stop_loss,stop_loss,0.0902777778,0.0000000000,-1.3055555556,-1.0277777778,9,9,18.0000000000,
SHORT_1769076600_158.722|2026.01.22 12:35:00|SHORT,2026-01,virtual_win_live_loss,SHORT_1769076600_158.722,SHORT,2026.01.22 12:30:00,2026.01.22 12:35:00,true,true,WIN,LOSS,1.500000,-1.031363,-2.531363,158.6970000000,158.6970000000,0.0000000000,158.8550000000,158.8550000000,0.0000000000,158.4600000000,158.4600000000,0.0000000000,158.0000000000,158.0000000000,0.000000,2026.01.22 17:10:00,2026.01.22 15:00:30,2026.01.22 17:05:00,2026.01.22 15:00:00,virtual_take_profit,stop_loss,1.6075949367,0.9556962025,-1.0949367089,-1.0316455696,54,29,19.0000000000,
SHORT_1769149800_158.577|2026.01.23 06:55:00|SHORT,2026-01,same_outcome_near_equal,SHORT_1769149800_158.577,SHORT,2026.01.23 06:50:00,2026.01.23 06:55:00,true,true,LOSS,LOSS,-1.000000,-1.025051,-0.025051,158.5430000000,158.5430000000,0.0000000000,158.6620000000,158.6620000000,0.0000000000,158.3650000000,158.3650000000,0.0000000000,119.0000000000,119.0000000000,0.000000,2026.01.23 08:30:00,2026.01.23 08:25:51,2026.01.23 08:25:00,2026.01.23 08:25:00,virtual_stop_loss,stop_loss,0.6806722689,0.4873949580,-1.3361344538,-1.0252100840,18,18,26.0000000000,
