period_id,variant,mfe_1r_bucket,mfe_13r_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,mfe_ge_1r,mfe_ge_1_3r,40,40,1.0,1151.8499999999997,1151.8499999999997,0,inf,51.3285,1.2832124999999999,inf,0.0,0.0,inf,0,0.0,39,0.975,1,0.025,1.3236574999999997,0.4846150000000001,1.0,1.0,1.0,1.0,0.025
full2025_validation,base,mfe_ge_1r,mfe_lt_1_3r,38,20,0.5263157894736842,186.52,366.64,-180.12,2.035531867643793,8.4881,0.22337105263157894,2.064645603120649,65.81,0.6581,2.8342197234462847,3,0.07894736842105263,10,0.2631578947368421,25,0.6578947368421053,1.1818131578947366,0.4955157894736842,1.0,1.0,1.0,0.0,0.0
full2025_validation,base,mfe_lt_1r,mfe_lt_1_3r,240,17,0.07083333333333333,-2483.2599999999998,128.93999999999997,-2612.2,0.049360692136896096,-110.13729999999995,-0.45890541666666645,0.04952203093487246,2490.0699999999997,24.900699999999997,-0.9972651371246591,30,0.125,0,0.0,210,0.875,0.3833966666666668,0.5958699999999998,0.3333333333333333,0.09583333333333334,0.0,0.0,0.0
full2025_validation,light,mfe_ge_1r,mfe_ge_1_3r,12,12,1.0,383.61,383.61,0,inf,15.7357,1.3113083333333333,inf,0.0,0.0,inf,0,0.0,12,1.0,0,0.0,1.3207333333333333,0.3497416666666668,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,mfe_ge_1r,mfe_lt_1_3r,8,5,0.625,112.99,128.8,-15.809999999999999,8.146742567994941,4.5501,0.5687625,7.8618609561152155,10.719999999999999,0.10719999999999998,10.540111940298509,0,0.0,3,0.375,5,0.625,1.2572875,0.3951375,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,mfe_lt_1r,mfe_lt_1_3r,30,2,0.06666666666666667,-362.31,15.95,-378.26,0.042166763601755405,-14.792199999999998,-0.49307333333333325,0.04365310265461552,362.31,3.6231,-1.0,7,0.23333333333333334,0,0.0,23,0.7666666666666667,0.43731000000000003,0.5943066666666665,0.4,0.13333333333333333,0.0,0.0,0.0
full2025_validation,light_and_wave1,mfe_ge_1r,mfe_ge_1_3r,1,1,1.0,30.5,30.5,0,inf,1.3034,1.3034,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3034,0.0855,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_and_wave1,mfe_ge_1r,mfe_lt_1_3r,1,0,0.0,-3.74,0,-3.74,0.0,-0.1474,-0.1474,0.0,3.74,0.0374,-1.0,0,0.0,0,0.0,1,1.0,1.2628,0.4744,1.0,1.0,1.0,0.0,0.0
full2025_validation,light_and_wave1,mfe_lt_1r,mfe_lt_1_3r,5,0,0.0,-75.41,0,-75.41,0.0,-3.0690999999999997,-0.6138199999999999,0.0,75.41,0.7541,-1.0,1,0.2,0,0.0,4,0.8,0.48116000000000003,0.6493800000000001,0.6,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,mfe_ge_1r,mfe_ge_1_3r,16,16,1.0,475.10000000000014,475.10000000000014,0,inf,19.7115,1.23196875,inf,0.0,0.0,inf,0,0.0,15,0.9375,1,0.0625,1.3178750000000001,0.32010000000000005,1.0,1.0,1.0,1.0,0.0
