period_id,variant,required_light_bucket,wave1_quality_pass_bucket,m15_wave1_impulse_bucket,m15_wave1_body_efficiency_bucket,m15_wave1_overlap_bucket,m15_wave1_break_quality,m15_wave1_speed_bucket,m15_wave1_follow_through_bucket,m15_wave1_obstacle_clearance_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,choppy,weak_break,normal,normal_hold,blocked,1,0,0.0,-5.91,0,-5.91,0.0,-0.2521,-0.2521,0.0,5.91,0.05910000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.4145,0.2521,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,choppy,weak_break,too_old,normal_hold,blocked,3,3,1.0,76.19,76.19,0,inf,3.0773,1.0257666666666667,inf,0.0,0.0,inf,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.0820999999999998,0.49923333333333336,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,choppy,weak_break,too_slow,normal_hold,blocked,1,0,0.0,-8.52,0,-8.52,0.0,-0.3747,-0.3747,0.0,8.52,0.0852,-1.0,0,0.0,0,0.0,1,1.0,0.3799,0.3747,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,normal,normal_break,normal,normal_hold,blocked,2,1,0.5,1.7800000000000011,15.47,-13.69,1.1300219138056977,0.07509999999999994,0.03754999999999997,1.1370688081766744,13.69,0.1369,0.13002191380569766,0,0.0,0,0.0,2,1.0,1.0168,0.38130000000000003,1.0,1.0,0.5,0.0,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,inefficient,normal,strong_break,too_old,normal_hold,blocked,3,2,0.6666666666666666,12.61,36.31,-23.7,1.5320675105485233,0.5266000000000001,0.17553333333333335,1.5266000000000002,23.7,0.23700000000000002,0.5320675105485232,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.8068666666666666,0.6156,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,normal,choppy,normal_break,normal,normal_hold,blocked,4,1,0.25,-6.9399999999999995,30.72,-37.66,0.8157195963887414,-0.2281999999999999,-0.057049999999999976,0.8525649308696215,34.4,0.344,-0.20174418604651162,1,0.25,1,0.25,2,0.5,0.626575,0.47647500000000004,0.5,0.25,0.25,0.25,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,normal,choppy,strong_break,normal,normal_hold,blocked,3,2,0.6666666666666666,53.33,64.28999999999999,-10.96,5.865875912408758,2.1787,0.7262333333333334,5.986724650949873,10.96,0.10960000000000002,4.865875912408758,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.1906333333333332,0.5402666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,normal,choppy,strong_break,too_slow,normal_hold,blocked,2,0,0.0,-38.67,0,-38.67,0.0,-1.5960999999999999,-0.7980499999999999,0.0,38.67,0.38670000000000004,-1.0,1,0.5,0,0.0,1,0.5,0.2058,0.9384,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,large,normal,choppy,weak_break,normal,normal_hold,blocked,1,0,0.0,-24.24,0,-24.24,0.0,-1.0079,-1.0079,0.0,24.24,0.2424,-1.0,1,1.0,0,0.0,0,0.0,0.6929,1.0079,1.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,normal,inefficient,choppy,weak_break,normal,normal_hold,blocked,1,0,0.0,-3.41,0,-3.41,0.0,-0.1406,-0.1406,0.0,3.41,0.0341,-1.0,0,0.0,0,0.0,1,1.0,0.4922,0.1406,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_pass,wave1_quality_low,tiny,inefficient,none,normal_break,too_fast,invalidated,blocked,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,efficient,clean,strong_break,too_fast,normal_hold,blocked,1,0,0.0,-25.99,0,-25.99,0.0,-1.0652,-1.0652,0.0,25.99,0.25989999999999996,-1.0,1,1.0,0,0.0,0,0.0,0.8696,1.0942,1.0,1.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,efficient,normal,normal_break,too_fast,normal_hold,blocked,2,0,0.0,-46.709999999999994,0,-46.709999999999994,0.0,-1.9107,-0.95535,0.0,46.709999999999994,0.46709999999999996,-1.0,1,0.5,0,0.0,1,0.5,0.10865,0.95535,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,efficient,normal,strong_break,normal,normal_hold,blocked,2,1,0.5,12.39,31.5,-19.11,1.6483516483516485,0.5066,0.2533,1.6288480635551144,19.11,0.1911,0.6483516483516484,0,0.0,1,0.5,1,0.5,0.7209,0.6456,0.5,0.5,0.5,0.5,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,efficient,normal,strong_break,too_fast,normal_hold,blocked,2,1,0.5,-17.16,5.44,-22.6,0.2407079646017699,-0.6961999999999999,-0.34809999999999997,0.2405367077560816,22.6,0.22600000000000003,-0.7592920353982301,0,0.0,0,0.0,2,1.0,0.42095000000000005,0.7792,0.5,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,normal_break,normal,normal_hold,blocked,6,3,0.5,-19.940000000000005,28.79,-48.730000000000004,0.5908064847116765,-0.8203999999999997,-0.1367333333333333,0.5897794889744488,46.800000000000004,0.468,-0.4260683760683761,1,0.16666666666666666,0,0.0,5,0.8333333333333334,0.5713666666666667,0.5525833333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,normal,normal_hold,blocked,22,4,0.18181818181818182,-108.98000000000002,100.69999999999999,-209.67999999999998,0.48025562762304463,-4.634899999999999,-0.21067727272727269,0.47322301275202866,141.03000000000003,1.4103000000000003,-0.7727433879316458,3,0.13636363636363635,3,0.13636363636363635,16,0.7272727272727273,0.6193818181818181,0.48195909090909095,0.5454545454545454,0.2727272727272727,0.22727272727272727,0.13636363636363635,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,normal,normal_hold,room_available,2,0,0.0,-23.35,0,-23.35,0.0,-0.9912000000000001,-0.49560000000000004,0.0,23.35,0.23350000000000004,-1.0,0,0.0,0,0.0,2,1.0,0.21445,0.51935,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,too_fast,normal_hold,blocked,1,0,0.0,-6.4,0,-6.4,0.0,-0.2867,-0.2867,0.0,6.4,0.064,-1.0,0,0.0,0,0.0,1,1.0,0.8029,0.3692,1.0,1.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,too_old,normal_hold,room_available,1,0,0.0,-8.57,0,-8.57,0.0,-0.3602,-0.3602,0.0,8.57,0.0857,-1.0,0,0.0,0,0.0,1,1.0,0.4037,0.4907,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,strong_break,too_slow,normal_hold,blocked,1,0,0.0,-0.5,0,-0.5,0.0,-0.0202,-0.0202,0.0,0.5,0.005,-1.0,0,0.0,0,0.0,1,1.0,1.1169,0.371,1.0,1.0,1.0,0.0,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,large,normal,normal,weak_break,normal,normal_hold,blocked,2,1,0.5,21.54,31.41,-9.87,3.182370820668693,0.9024999999999999,0.45124999999999993,3.2305981216015813,9.870000000000001,0.09870000000000001,2.1823708206686927,0,0.0,1,0.5,1,0.5,0.77315,0.31425000000000003,0.5,0.5,0.5,0.5,0.0
full2025_validation,light_or_wave1,required_light_reject,wave1_quality_high,normal,normal,normal,strong_break,normal,normal_hold,blocked,1,0,0.0,-8.25,0,-8.25,0.0,-0.347,-0.347,0.0,8.25,0.0825,-1.0,0,0.0,0,0.0,1,1.0,0.3516,0.4064,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_high,large,efficient,normal,weak_break,normal,normal_hold,blocked,1,0,0.0,-14.55,0,-14.55,0.0,-0.5926,-0.5926,0.0,14.55,0.14550000000000002,-1.0,0,0.0,0,0.0,1,1.0,0.6593,0.7704,1.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_high,large,normal,normal,normal_break,normal,normal_hold,blocked,1,0,0.0,-7.59,0,-7.59,0.0,-0.3059,-0.3059,0.0,7.59,0.0759,-1.0,0,0.0,0,0.0,1,1.0,0.1216,0.3059,0.0,0.0,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,normal_break,normal,normal_hold,blocked,1,1,1.0,30.96,30.96,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,wave1_quality_low,large,inefficient,choppy,normal_break,too_old,normal_hold,blocked,5,2,0.4,40.45,63.11,-22.66,2.785083848190644,1.6998000000000002,0.33996000000000004,2.8236240746700996,17.839999999999996,0.17839999999999995,2.2673766816143504,0,0.0,2,0.4,3,0.6,0.78762,0.26880000000000004,0.6,0.4,0.4,0.4,0.0
