feature,near_miss_group,m15_wave1_impulse_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,m15_wave1_body_efficiency_bucket,m15_wave1_overlap_bucket,m15_wave1_break_quality,m15_wave1_speed_bucket,m15_wave1_follow_through_bucket,m15_wave1_obstacle_clearance_bucket,entry_pattern,symbol,direction,session_label
m15_wave1_impulse_bucket,,large,236,55,0.2330508474576271,-895.3800000000002,1171.7799999999997,-2067.16,0.5668550088043498,-39.52139999999998,-0.1674635593220338,0.5693762387349348,930.4500000000002,9.3045,-0.9623085603740127,23,0.09745762711864407,35,0.1483050847457627,178,0.7542372881355932,0.6076338983050845,0.5670995762711862,0.5084745762711864,0.3177966101694915,0.2542372881355932,0.13135593220338984,0.00423728813559322,,,,,,,,,,
m15_wave1_impulse_bucket,,none,46,10,0.21739130434782608,-227.67999999999998,171.82,-399.50000000000006,0.4300876095118898,-9.930699999999996,-0.21588478260869556,0.4370830144828955,229.17999999999998,2.2918,-0.9934549262588358,5,0.10869565217391304,5,0.10869565217391304,36,0.782608695652174,0.4940934782608696,0.570695652173913,0.43478260869565216,0.2391304347826087,0.17391304347826086,0.021739130434782608,0.0,,,,,,,,,,
m15_wave1_impulse_bucket,,normal,16,3,0.1875,-97.68999999999997,73.3,-170.98999999999998,0.4286800397684075,-4.2869,-0.26793125,0.4351835992569072,112.85999999999997,1.1285999999999998,-0.865585681375155,3,0.1875,2,0.125,11,0.6875,0.5967375,0.6077624999999999,0.4375,0.3125,0.125,0.125,0.0,,,,,,,,,,
m15_wave1_impulse_bucket,,small,5,1,0.2,-42.300000000000004,29.93,-72.23,0.4143707600719922,-1.8591000000000002,-0.37182000000000004,0.41513826407021737,59.27,0.5927,-0.7136831449299815,1,0.2,1,0.2,3,0.6,0.53072,0.7478600000000001,0.4,0.4,0.2,0.2,0.0,,,,,,,,,,
m15_wave1_impulse_bucket,,tiny,1,0,0.0,-14.08,0,-14.08,0.0,-0.6021,-0.6021,0.0,14.08,0.1408,-1.0,0,0.0,0,0.0,1,1.0,0.0451,0.7241,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
m15_wave1_body_efficiency_bucket,,,5,2,0.4,-29.81,34.57,-64.38,0.5369680024852439,-1.1680000000000004,-0.23360000000000009,0.5663634676072025,50.39,0.5039,-0.5915856320698551,2,0.4,1,0.2,2,0.4,0.73422,0.8627800000000001,0.8,0.4,0.2,0.2,0.0,efficient,,,,,,,,,
m15_wave1_body_efficiency_bucket,,,166,41,0.2469879518072289,-559.61,874.8599999999996,-1434.4700000000003,0.6098837898317842,-24.666999999999987,-0.14859638554216859,0.6122583393458678,573.4,5.733999999999999,-0.9759504708754797,17,0.10240963855421686,26,0.1566265060240964,123,0.7409638554216867,0.6250234939759034,0.5621759036144579,0.5301204819277109,0.3373493975903614,0.25903614457831325,0.13253012048192772,0.0,inefficient,,,,,,,,,
m15_wave1_body_efficiency_bucket,,,46,10,0.21739130434782608,-227.67999999999998,171.82,-399.50000000000006,0.4300876095118898,-9.930699999999996,-0.21588478260869556,0.4370830144828955,229.17999999999998,2.2918,-0.9934549262588358,5,0.10869565217391304,5,0.10869565217391304,36,0.782608695652174,0.4940934782608696,0.570695652173913,0.43478260869565216,0.2391304347826087,0.17391304347826086,0.021739130434782608,0.0,none,,,,,,,,,
m15_wave1_body_efficiency_bucket,,,87,16,0.1839080459770115,-460.03,365.58,-825.6100000000001,0.44279986918763087,-20.434499999999993,-0.2348793103448275,0.4452754280998556,499.48999999999995,4.9948999999999995,-0.920999419407796,8,0.09195402298850575,11,0.12643678160919541,68,0.7816091954022989,0.5542885057471265,0.5791724137931034,0.42528735632183906,0.27586206896551724,0.21839080459770116,0.12643678160919541,0.011494252873563218,normal,,,,,,,,,
m15_wave1_overlap_bucket,,,206,45,0.21844660194174756,-846.4800000000007,1027.5299999999997,-1874.0099999999998,0.5483055053068019,-37.48949999999998,-0.1819878640776698,0.5501198816303902,915.1900000000006,9.151900000000007,-0.9249226936483136,22,0.10679611650485436,32,0.1553398058252427,152,0.7378640776699029,0.6009368932038833,0.5770436893203883,0.4854368932038835,0.32038834951456313,0.24757281553398058,0.13592233009708737,0.0048543689320388345,,choppy,,,,,,,,
m15_wave1_overlap_bucket,,,1,0,0.0,-24.99,0,-24.99,0.0,-1.0652,-1.0652,0.0,24.99,0.24989999999999998,-1.0,1,1.0,0,0.0,0,0.0,0.8696,1.0942,1.0,1.0,0.0,0.0,0.0,,clean,,,,,,,,
m15_wave1_overlap_bucket,,,47,10,0.2127659574468085,-230.60999999999999,171.82,-402.43000000000006,0.42695624083691563,-10.064799999999996,-0.21414468085106375,0.4337856387407458,230.60999999999999,2.3061,-1.0,5,0.10638297872340426,5,0.10638297872340426,37,0.7872340425531915,0.49903404255319145,0.5724595744680852,0.44680851063829785,0.23404255319148937,0.1702127659574468,0.02127659574468085,0.0,,none,,,,,,,,
m15_wave1_overlap_bucket,,,50,14,0.28,-175.05000000000007,247.48000000000002,-422.53000000000003,0.5857098904219818,-7.5807,-0.151614,0.592792337897434,182.54000000000002,1.8254000000000004,-0.9589678974471352,4,0.08,6,0.12,40,0.8,0.6051839999999999,0.5480860000000001,0.54,0.3,0.24,0.12,0.0,,normal,,,,,,,,
m15_wave1_break_quality,,,46,10,0.21739130434782608,-227.67999999999998,171.82,-399.50000000000006,0.4300876095118898,-9.930699999999996,-0.21588478260869556,0.4370830144828955,229.17999999999998,2.2918,-0.9934549262588358,5,0.10869565217391304,5,0.10869565217391304,36,0.782608695652174,0.4940934782608696,0.570695652173913,0.43478260869565216,0.2391304347826087,0.17391304347826086,0.021739130434782608,0.0,,,none,,,,,,,
m15_wave1_break_quality,,,41,11,0.2682926829268293,-170.99,228.25,-399.24,0.5717112513776175,-7.302299999999999,-0.17810487804878047,0.5877108787461325,179.88,1.7988,-0.9505781632199245,4,0.0975609756097561,7,0.17073170731707318,30,0.7317073170731707,0.6226560975609757,0.6061609756097561,0.5121951219512195,0.2926829268292683,0.2926829268292683,0.17073170731707318,0.0,,,normal_break,,,,,,,
m15_wave1_break_quality,,,199,46,0.23115577889447236,-791.4200000000008,986.0299999999997,-1777.45,0.5547441559537538,-34.936499999999974,-0.17556030150753757,0.5566799692918732,831.6800000000007,8.316800000000008,-0.951591958445556,23,0.11557788944723618,29,0.1457286432160804,147,0.7386934673366834,0.5963572864321606,0.5733804020100504,0.48743718592964824,0.32160804020100503,0.24120603015075376,0.1306532663316583,0.005025125628140704,,,strong_break,,,,,,,
m15_wave1_break_quality,,,18,2,0.1111111111111111,-87.04,60.730000000000004,-147.76999999999998,0.41097651756107473,-4.0306999999999995,-0.22392777777777775,0.3920237718147127,118.06,1.1806,-0.737252244621379,0,0.0,2,0.1111111111111111,16,0.8888888888888888,0.6357833333333334,0.5037666666666667,0.6111111111111112,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.0,,,weak_break,,,,,,,
m15_wave1_speed_bucket,,,46,10,0.21739130434782608,-227.67999999999998,171.82,-399.50000000000006,0.4300876095118898,-9.930699999999996,-0.21588478260869556,0.4370830144828955,229.17999999999998,2.2918,-0.9934549262588358,5,0.10869565217391304,5,0.10869565217391304,36,0.782608695652174,0.4940934782608696,0.570695652173913,0.43478260869565216,0.2391304347826087,0.17391304347826086,0.021739130434782608,0.0,,,,none,,,,,,
