run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpNearMissSeparatorMode,InpNearMissSeparatorCombineMask,InpUseM15Wave1Quality,InpM15Wave1QualityMode,InpM15Wave1QualityCombineMode,InpM15Wave1MinImpulseAtr,InpM15Wave1MinBodyEfficiency,InpM15Wave1MaxOverlapRatio,InpM15Wave1MaxAgeBars,InpExitMode,InpMaxHoldBars,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,daily_or_dd_stopped,passed_2025_gate
q1_base,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_base.ini,fx_session_reversal_m15_wave1_quality_q1_base,16385,15,5,0,false,0,0,0,0,0,0,0,false,0,0,0.8,0.45,0.60,24,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,False,False
q1_light,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light.ini,fx_session_reversal_m15_wave1_quality_q1_light,16385,15,5,0,true,2,3,0,0,0,0,0,false,0,0,0.8,0.45,0.60,24,1,30,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0,False,False
q1_wave1_diag,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,wave1_diag,wave1_quality_diagnostic_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_wave1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_wave1_diag.ini,fx_session_reversal_m15_wave1_quality_q1_wave1_diag,16385,15,5,0,false,0,0,0,0,0,0,0,true,1,0,0.8,0.45,0.60,24,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,False,False
q1_light_and_wave1,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_and_wave1,required_light_and_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light_and_wave1.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light_and_wave1.ini,fx_session_reversal_m15_wave1_quality_q1_light_and_wave1,16385,15,5,0,true,2,3,0,0,0,0,0,true,3,1,0.8,0.45,0.60,24,1,30,2,0,0.0,-29.009999999999998,0,-29.009999999999998,0.0,-1.1844,-0.5922,0.0,29.009999999999998,0.29009999999999997,-1.0,1,0.5,0,0.0,1,0.5,0.9138,0.7556999999999999,1.0,0.5,0.5,0.0,0.0,False,False
q1_light_or_wave1,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_wave1,required_light_or_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light_or_wave1.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light_or_wave1.ini,fx_session_reversal_m15_wave1_quality_q1_light_or_wave1,16385,15,5,0,true,1,1,6,5,9,0,0,true,3,2,0.8,0.45,0.60,24,1,30,27,9,0.3333333333333333,-35.14000000000001,207.65,-242.79,0.855265867622225,-1.4626000000000003,-0.05417037037037038,0.8530936118923262,125.74,1.2574,-0.2794655638619374,4,0.14814814814814814,6,0.2222222222222222,17,0.6296296296296297,0.6772259259259258,0.5317629629629631,0.5925925925925926,0.4074074074074074,0.25925925925925924,0.2222222222222222,0.0,False,False
q1_wave1_only,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,wave1_only,wave1_quality_required_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_wave1_only.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_wave1_only.ini,fx_session_reversal_m15_wave1_quality_q1_wave1_only,16385,15,5,0,false,0,1,6,5,9,0,0,true,3,0,0.8,0.45,0.60,24,1,30,14,3,0.21428571428571427,-104.92999999999998,37.129999999999995,-142.05999999999997,0.2613684358721667,-4.3335,-0.3095357142857143,0.25858440691885237,106.85999999999999,1.0686,-0.9819389855886206,3,0.21428571428571427,1,0.07142857142857142,10,0.7142857142857143,0.4980214285714286,0.5149785714285714,0.42857142857142855,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.0,False,False
q1_light_or_wave1_exhaustion,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_wave1_exhaustion,required_light_plus_wave1_quality_nearmiss,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light_or_wave1_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_light_or_wave1_exhaustion.ini,fx_session_reversal_m15_wave1_quality_q1_light_or_wave1_exhaustion,16385,15,5,0,true,1,1,6,5,9,0,0,true,3,3,0.8,0.45,0.60,24,1,30,22,7,0.3181818181818182,-25.410000000000007,175.4,-200.80999999999997,0.8734624769682786,-1.1547,-0.05248636363636364,0.8603123525640252,107.69,1.0769,-0.23595505617977536,3,0.13636363636363635,5,0.22727272727272727,14,0.6363636363636364,0.671809090909091,0.549618181818182,0.5909090909090909,0.4090909090909091,0.22727272727272727,0.18181818181818182,0.0,False,False
q1_one_light_wave1_diag,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_light_wave1_diag,one_symbol_required_light_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_one_light_wave1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_one_light_wave1_diag.ini,fx_session_reversal_m15_wave1_quality_q1_one_light_wave1_diag,16385,15,5,0,true,2,3,0,0,0,0,0,true,1,0,0.8,0.45,0.60,24,1,30,10,5,0.5,78.41000000000001,140.52,-62.11,2.2624376106907103,3.1195000000000004,0.31195000000000006,2.2176034348165494,26.039999999999992,0.2603999999999999,3.011136712749617,0,0.0,4,0.4,6,0.6,0.73661,0.56831,0.6,0.4,0.4,0.3,0.0,False,False
q1_one_light_or_wave1,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_light_or_wave1,one_symbol_required_light_or_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_one_light_or_wave1.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_one_light_or_wave1.ini,fx_session_reversal_m15_wave1_quality_q1_one_light_or_wave1,16385,15,5,0,true,1,1,6,5,9,0,0,true,3,2,0.8,0.45,0.60,24,1,30,17,7,0.4117647058823529,2.740000000000001,145.35999999999999,-142.62,1.0192118917402888,0.044799999999999646,0.0026352941176470378,1.007664539528836,87.88999999999999,0.8788999999999998,0.03117533280236661,2,0.11764705882352941,4,0.23529411764705882,11,0.6470588235294118,0.6517882352941177,0.5586058823529413,0.5882352941176471,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.0,False,False
q1_one_wave1_only,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_wave1_only,one_symbol_wave1_quality_required_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_one_wave1_only.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_q1_one_wave1_only.ini,fx_session_reversal_m15_wave1_quality_q1_one_wave1_only,16385,15,5,0,false,0,1,6,5,9,0,0,true,3,0,0.8,0.45,0.60,24,1,30,12,3,0.25,-73.19000000000001,37.16,-110.35,0.33674671499773445,-3.0380000000000003,-0.2531666666666667,0.332219633358245,75.15,0.7515000000000001,-0.9739188290086495,2,0.16666666666666666,1,0.08333333333333333,9,0.75,0.5078916666666666,0.49284999999999995,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.0,False,False
