period_id,variant,near_miss_by_wave1_group,wave1_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,reject_wave1_low,none,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,light,required_light_pass,none,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0
full2025_validation,light_and_wave1,required_light_pass,high,7,1,0.14285714285714285,-48.65,30.5,-79.14999999999999,0.3853442830069489,-1.9131000000000002,-0.27330000000000004,0.40522306855277473,50.14,0.5014000000000001,-0.970283207020343,1,0.14285714285714285,1,0.14285714285714285,5,0.7142857142857143,0.7102857142857142,0.5438285714285714,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
full2025_validation,light_or_wave1,reject_wave1_high_loser_or_no_mfe1,high,35,2,0.05714285714285714,-421.17,8.59,-429.76,0.01998790022338049,-17.5565,-0.5016142857142857,0.019551450303240146,421.17,4.2117,-1.0,6,0.17142857142857143,0,0.0,29,0.8285714285714286,0.42496571428571434,0.5927228571428571,0.37142857142857144,0.14285714285714285,0.05714285714285714,0.0,0.0
full2025_validation,light_or_wave1,reject_wave1_high_mfe1_winner,high,2,2,1.0,30.04,30.04,0,inf,1.2252,0.6126,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.1663000000000001,0.39465000000000006,1.0,1.0,1.0,0.0,0.0
full2025_validation,light_or_wave1,reject_wave1_high_strong_mfe13_winner,high,6,6,1.0,159.20999999999998,159.20999999999998,0,inf,6.6076999999999995,1.1012833333333332,inf,0.0,0.0,inf,0,0.0,5,0.8333333333333334,1,0.16666666666666666,1.3115166666666667,0.2571666666666667,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_or_wave1,required_light_pass,high,17,6,0.35294117647058826,-24.96999999999999,146.79,-171.76,0.8546227293898463,-0.9423999999999999,-0.055435294117647055,0.8658925318761385,101.47,1.0147,-0.24608258598600563,4,0.23529411764705882,4,0.23529411764705882,9,0.5294117647058824,0.6943705882352942,0.5934823529411765,0.5882352941176471,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.0
full2025_validation,light_or_wave1,required_light_pass,low,4,3,0.75,67.67,76.19,-8.52,8.942488262910798,2.7026,0.67565,8.212703496130239,8.519999999999996,0.08519999999999996,7.9424882629108025,0,0.0,2,0.5,2,0.5,0.90655,0.4681,0.75,0.5,0.5,0.25,0.0
full2025_validation,light_or_wave1,required_light_pass,medium,22,6,0.2727272727272727,13.689999999999982,189.17000000000002,-175.48,1.0780145885571006,0.5647000000000003,0.025668181818181833,1.077709583310398,75.09,0.7509,0.18231455586629353,2,0.09090909090909091,6,0.2727272727272727,14,0.6363636363636364,0.7597499999999999,0.4511727272727273,0.6363636363636364,0.4090909090909091,0.36363636363636365,0.18181818181818182,0.0
full2025_validation,light_or_wave1,required_light_pass,poor,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_or_wave1_exhaustion,reject_wave1_high_loser_or_no_mfe1,high,16,2,0.125,-152.94,8.59,-161.53,0.053178976041602176,-6.3887,-0.39929375,0.0519528699471716,156.09,1.5609,-0.979819334999039,2,0.125,0,0.0,14,0.875,0.41250000000000003,0.5293625,0.3125,0.125,0.0,0.0,0.0
full2025_validation,light_or_wave1_exhaustion,reject_wave1_high_strong_mfe13_winner,high,4,4,1.0,125.33,125.33,0,inf,5.2141,1.303525,inf,0.0,0.0,inf,0,0.0,4,1.0,0,0.0,1.313825,0.28097500000000003,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,high,18,6,0.3333333333333333,-33.23000000000001,146.79,-180.01999999999998,0.8154093989556717,-1.2568,-0.06982222222222222,0.8288111583306091,109.73000000000002,1.0973000000000002,-0.30283422947234123,4,0.2222222222222222,4,0.2222222222222222,10,0.5555555555555556,0.6644444444444445,0.5779777777777777,0.5555555555555556,0.4444444444444444,0.2777777777777778,0.2222222222222222,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,low,4,3,0.75,67.56,76.08,-8.52,8.929577464788732,2.7026,0.67565,8.212703496130239,8.519999999999996,0.08519999999999996,7.9295774647887365,0,0.0,2,0.5,2,0.5,0.90655,0.4681,0.75,0.5,0.5,0.25,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,medium,24,7,0.2916666666666667,6.0199999999999925,207.45999999999998,-201.44,1.0298848292295473,0.2597999999999999,0.010824999999999996,1.0314269124691535,67.31,0.6731,0.0894369335908482,3,0.125,6,0.25,15,0.625,0.7600833333333332,0.4720083333333334,0.625,0.4166666666666667,0.375,0.16666666666666666,0.0
full2025_validation,light_or_wave1_exhaustion,required_light_pass,poor,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,one_light_or_wave1,reject_wave1_high_loser_or_no_mfe1,high,18,2,0.1111111111111111,-197.23000000000002,8.59,-205.82,0.04173549703624526,-8.065699999999998,-0.44809444444444435,0.041600323201597,197.23000000000002,1.9723000000000002,-1.0,2,0.1111111111111111,0,0.0,16,0.8888888888888888,0.4616722222222223,0.5827444444444444,0.5,0.16666666666666666,0.05555555555555555,0.0,0.0
full2025_validation,one_light_or_wave1,reject_wave1_high_mfe1_winner,high,1,1,1.0,23.71,23.71,0,inf,0.969,0.969,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.0732,0.5268,1.0,1.0,1.0,0.0,0.0
full2025_validation,one_light_or_wave1,reject_wave1_high_strong_mfe13_winner,high,4,4,1.0,96.08,96.08,0,inf,3.9892,0.9973,inf,0.0,0.0,inf,0,0.0,3,0.75,1,0.25,1.31265,0.144625,1.0,1.0,1.0,1.0,0.0
full2025_validation,one_light_or_wave1,required_light_pass,high,10,4,0.4,-9.999999999999998,84.71000000000001,-94.71000000000001,0.89441452856087,-0.45599999999999974,-0.045599999999999974,0.8831847525361206,89.75999999999999,0.8976,-0.11140819964349376,2,0.2,2,0.2,6,0.6,0.63379,0.6465299999999999,0.5,0.4,0.3,0.2,0.0
full2025_validation,one_light_or_wave1,required_light_pass,low,4,3,0.75,67.63,76.15,-8.52,8.937793427230048,2.7026,0.67565,8.212703496130239,8.520000000000003,0.08520000000000003,7.937793427230043,0,0.0,2,0.5,2,0.5,0.90655,0.4681,0.75,0.5,0.5,0.25,0.0
full2025_validation,one_light_or_wave1,required_light_pass,medium,15,4,0.26666666666666666,-10.200000000000006,126.89,-137.09,0.9255963235830477,-0.4019000000000001,-0.02679333333333334,0.9286132968614007,59.41,0.5941,-0.17168826796835562,2,0.13333333333333333,4,0.26666666666666666,9,0.6,0.7566466666666668,0.4950666666666667,0.6666666666666666,0.4,0.4,0.13333333333333333,0.0
full2025_validation,one_light_or_wave1,required_light_pass,poor,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,one_light_wave1_diag,required_light_pass,high,13,6,0.46153846153846156,46.36,149.23,-102.87000000000002,1.4506658889860986,1.8615,0.14319230769230767,1.4413229018492177,67.06,0.6706,0.6913212048911422,2,0.15384615384615385,4,0.3076923076923077,7,0.5384615384615384,0.7019615384615384,0.569076923076923,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.3076923076923077,0.0
full2025_validation,one_light_wave1_diag,required_light_pass,low,4,3,0.75,67.27,75.78999999999999,-8.52,8.895539906103286,2.7026,0.67565,8.212703496130239,8.520000000000003,0.08520000000000003,7.895539906103283,0,0.0,2,0.5,2,0.5,0.90655,0.4681,0.75,0.5,0.5,0.25,0.0
full2025_validation,one_light_wave1_diag,required_light_pass,medium,17,6,0.35294117647058826,38.88999999999999,176.01999999999998,-137.13000000000002,1.2835995041201775,1.5962000000000003,0.09389411764705884,1.283521909803016,59.41,0.5941,0.6546036020871906,2,0.11764705882352941,5,0.29411764705882354,10,0.5882352941176471,0.8206764705882353,0.49302352941176464,0.7058823529411765,0.47058823529411764,0.47058823529411764,0.17647058823529413,0.0
full2025_validation,one_light_wave1_diag,required_light_pass,poor,1,1,1.0,31.41,31.41,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0
full2025_validation,one_wave1_only,reject_wave1_high_loser_or_no_mfe1,high,29,2,0.06896551724137931,-318.1,8.59,-326.69,0.026294040221616823,-13.262000000000002,-0.45731034482758626,0.025719764033470215,318.1,3.1810000000000005,-1.0,4,0.13793103448275862,0,0.0,25,0.8620689655172413,0.43317931034482754,0.5698103448275862,0.3793103448275862,0.1724137931034483,0.06896551724137931,0.0,0.0
full2025_validation,one_wave1_only,reject_wave1_high_mfe1_winner,high,2,2,1.0,27.67,27.67,0,inf,1.2252,0.6126,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.1663000000000001,0.39465000000000006,1.0,1.0,1.0,0.0,0.0
full2025_validation,one_wave1_only,reject_wave1_high_strong_mfe13_winner,high,5,5,1.0,127.64999999999999,127.64999999999999,0,inf,5.2955,1.0591,inf,0.0,0.0,inf,0,0.0,4,0.8,1,0.2,1.3113800000000002,0.2124,1.0,1.0,1.0,1.0,0.0
full2025_validation,one_wave1_only,required_light_pass,high,2,0,0.0,-22.14,0,-22.14,0.0,-0.8985000000000001,-0.44925000000000004,0.0,22.14,0.2214,-1.0,0,0.0,0,0.0,2,1.0,0.39045,0.53815,0.5,0.0,0.0,0.0,0.0
full2025_validation,wave1_diag,reject_wave1_high_loser_or_no_mfe1,high,16,2,0.125,-178.86999999999998,8.2,-187.07,0.043833858983268296,-7.903599999999999,-0.49397499999999994,0.04241734010201486,178.86999999999998,1.7886999999999997,-1.0,4,0.25,0,0.0,12,0.75,0.48436250000000003,0.650625,0.5,0.1875,0.0625,0.0,0.0
full2025_validation,wave1_diag,reject_wave1_high_mfe1_winner,high,1,1,1.0,21.34,21.34,0,inf,0.969,0.969,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.0732,0.5268,1.0,1.0,1.0,0.0,0.0
