policy,model,eligible,selected,coverage,c0_policy_value,c2_policy_value,c2_ci_low,c2_ci_high,positive_folds,total_folds,status,holm_rank,holm_alpha,candidate_gate,candidate_reason
NO_TRADE,FIXED,1818,0,0.0,0.0,0.0,0.0,0.0,,5,BASELINE,,,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
UNFILTERED,FIXED,1818,1818,1.0,-0.29644351343784375,-0.38343069237073707,-0.422830707650165,-0.3430995284682344,,5,BASELINE,,,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
COMBINED,LOGISTIC,1521,9,0.005917159763313609,-0.002227646061801446,-0.0027772263576594344,-0.0073116104865220246,0.001375007347961866,0.0,5,EVALUATED,7.0,0.025,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
COMBINED,TREE,1521,0,0.0,0.0,0.0,0.0,0.0,0.0,5,EVALUATED,1.0,0.00625,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
DETECTION_SHAPE,LOGISTIC,1521,5,0.003287310979618672,-0.0034641996186719265,-0.0037460594411571338,-0.0072943835174227485,-0.0007151858119658119,0.0,5,EVALUATED,6.0,0.016666666666666666,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
DETECTION_SHAPE,TREE,1521,0,0.0,0.0,0.0,0.0,0.0,0.0,5,EVALUATED,2.0,0.0071428571428571435,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
LIQUIDITY_ONLY,LOGISTIC,1521,14,0.009204470742932281,-0.0036961372649572653,-0.004517145239973702,-0.010330408743918476,0.0007422790811965803,0.0,5,EVALUATED,8.0,0.05,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
LIQUIDITY_ONLY,TREE,1521,0,0.0,0.0,0.0,0.0,0.0,0.0,5,EVALUATED,4.0,0.01,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
PRE_CONTEXT,LOGISTIC,1521,0,0.0,0.0,0.0,0.0,0.0,0.0,5,EVALUATED,3.0,0.008333333333333333,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
PRE_CONTEXT,TREE,1521,0,0.0,0.0,0.0,0.0,0.0,0.0,5,EVALUATED,5.0,0.0125,False,INSUFFICIENT_SUPPORT_OR_NONPOSITIVE_STRESS_CI
