symbol,session,feature_status,result,episodes
GBPUSD,OVERLAP,AVAILABLE,TP_FIRST,9
GBPUSD,OVERLAP,EXCLUDED,INVALID_PATH,1
GBPUSD,OVERLAP,EXCLUDED,SL_FIRST,5
GBPUSD,OVERLAP,EXCLUDED,TIMEOUT,7
GBPUSD,OVERLAP,EXCLUDED,TP_FIRST,3
GBPUSD,TOKYO,AVAILABLE,INVALID_PATH,16
GBPUSD,TOKYO,AVAILABLE,SL_FIRST,6
GBPUSD,TOKYO,AVAILABLE,TIMEOUT,36
GBPUSD,TOKYO,EXCLUDED,INVALID_PATH,8
GBPUSD,TOKYO,EXCLUDED,SL_FIRST,3
USDCAD,LONDON,AVAILABLE,INVALID_PATH,40
USDCAD,LONDON,AVAILABLE,SL_FIRST,17
USDCAD,LONDON,AVAILABLE,TIMEOUT,70
USDCAD,LONDON,AVAILABLE,TP_FIRST,2
USDCAD,LONDON,EXCLUDED,INVALID_PATH,6
USDCAD,LONDON,EXCLUDED,SL_FIRST,2
USDCAD,LONDON,EXCLUDED,TIMEOUT,19
USDCAD,NEW_YORK,AVAILABLE,INVALID_PATH,34
USDCAD,NEW_YORK,AVAILABLE,SL_FIRST,52
USDCAD,NEW_YORK,AVAILABLE,TIMEOUT,49
USDCAD,NEW_YORK,AVAILABLE,TP_FIRST,16
USDCAD,NEW_YORK,EXCLUDED,INVALID_PATH,5
USDCAD,NEW_YORK,EXCLUDED,SL_FIRST,4
USDCAD,NEW_YORK,EXCLUDED,TIMEOUT,5
USDCAD,NEW_YORK,EXCLUDED,TP_FIRST,2
USDCAD,OTHER,AVAILABLE,INVALID_PATH,10
USDCAD,OTHER,AVAILABLE,SL_FIRST,5
USDCAD,OTHER,AVAILABLE,TIMEOUT,13
USDCAD,OTHER,EXCLUDED,INVALID_PATH,3
USDCAD,OTHER,EXCLUDED,SL_FIRST,2
USDCAD,OTHER,EXCLUDED,TIMEOUT,4
USDCAD,OVERLAP,AVAILABLE,INVALID_PATH,32
USDCAD,OVERLAP,AVAILABLE,SL_FIRST,26
USDCAD,OVERLAP,AVAILABLE,TIMEOUT,68
USDCAD,OVERLAP,AVAILABLE,TP_FIRST,10
USDCAD,OVERLAP,EXCLUDED,INVALID_PATH,9
USDCAD,OVERLAP,EXCLUDED,SL_FIRST,7
USDCAD,OVERLAP,EXCLUDED,TIMEOUT,6
USDCAD,OVERLAP,EXCLUDED,TP_FIRST,4
USDCAD,TOKYO,AVAILABLE,INVALID_PATH,39
USDCAD,TOKYO,AVAILABLE,SL_FIRST,3
USDCAD,TOKYO,AVAILABLE,TIMEOUT,57
USDCAD,TOKYO,EXCLUDED,INVALID_PATH,15
USDCAD,TOKYO,EXCLUDED,TIMEOUT,11
USDCHF,LONDON,AVAILABLE,INVALID_PATH,10
USDCHF,LONDON,AVAILABLE,SL_FIRST,9
USDCHF,LONDON,AVAILABLE,TIMEOUT,33
USDCHF,LONDON,AVAILABLE,TP_FIRST,1
USDCHF,LONDON,EXCLUDED,INVALID_PATH,8
USDCHF,LONDON,EXCLUDED,SL_FIRST,3
USDCHF,LONDON,EXCLUDED,TIMEOUT,12
USDCHF,LONDON,EXCLUDED,TP_FIRST,1
USDCHF,NEW_YORK,AVAILABLE,INVALID_PATH,13
USDCHF,NEW_YORK,AVAILABLE,SL_FIRST,15
USDCHF,NEW_YORK,AVAILABLE,TIMEOUT,44
USDCHF,NEW_YORK,AVAILABLE,TP_FIRST,3
USDCHF,NEW_YORK,EXCLUDED,INVALID_PATH,6
USDCHF,NEW_YORK,EXCLUDED,SL_FIRST,7
USDCHF,NEW_YORK,EXCLUDED,TIMEOUT,21
USDCHF,NEW_YORK,EXCLUDED,TP_FIRST,1
USDCHF,OTHER,AVAILABLE,INVALID_PATH,4
USDCHF,OTHER,AVAILABLE,TIMEOUT,6
USDCHF,OTHER,EXCLUDED,TIMEOUT,4
USDCHF,OVERLAP,AVAILABLE,INVALID_PATH,14
USDCHF,OVERLAP,AVAILABLE,SL_FIRST,15
USDCHF,OVERLAP,AVAILABLE,TIMEOUT,43
USDCHF,OVERLAP,EXCLUDED,INVALID_PATH,10
USDCHF,OVERLAP,EXCLUDED,SL_FIRST,9
USDCHF,OVERLAP,EXCLUDED,TIMEOUT,15
USDCHF,TOKYO,AVAILABLE,INVALID_PATH,3
USDCHF,TOKYO,EXCLUDED,INVALID_PATH,2
USDCHF,TOKYO,EXCLUDED,TIMEOUT,2
USDJPY,LONDON,AVAILABLE,INVALID_PATH,21
USDJPY,LONDON,AVAILABLE,SL_FIRST,92
USDJPY,LONDON,AVAILABLE,TIMEOUT,18
USDJPY,LONDON,AVAILABLE,TP_FIRST,37
USDJPY,LONDON,EXCLUDED,INVALID_PATH,5
USDJPY,LONDON,EXCLUDED,SL_FIRST,13
USDJPY,LONDON,EXCLUDED,TIMEOUT,4
USDJPY,LONDON,EXCLUDED,TP_FIRST,8
USDJPY,NEW_YORK,AVAILABLE,INVALID_PATH,19
USDJPY,NEW_YORK,AVAILABLE,SL_FIRST,101
USDJPY,NEW_YORK,AVAILABLE,TIMEOUT,22
USDJPY,NEW_YORK,AVAILABLE,TP_FIRST,59
USDJPY,NEW_YORK,EXCLUDED,INVALID_PATH,3
