symbol,feature,rows,missing
AUDUSD,spread_atr5,507,0
AUDUSD,tick_activity_ratio,507,0
AUDUSD,pre_return_5m_dir_atr,507,0
AUDUSD,m5_ema20_slope_dir_atr,507,0
AUDUSD,m15_alignment_dir,507,0
AUDUSD,pre_extension_15m_dir_atr,507,0
AUDUSD,day_range_position_dir,507,0
AUDUSD,detection_efficiency,507,0
AUDUSD,severity,507,0
AUDUSD,confirmation_retention,507,86
AUDUSD,spread_efficiency_interaction,507,0
AUDUSD,flow_efficiency_interaction,507,0
EURUSD,spread_atr5,248,0
EURUSD,tick_activity_ratio,248,0
EURUSD,pre_return_5m_dir_atr,248,0
EURUSD,m5_ema20_slope_dir_atr,248,0
EURUSD,m15_alignment_dir,248,0
EURUSD,pre_extension_15m_dir_atr,248,0
EURUSD,day_range_position_dir,248,0
EURUSD,detection_efficiency,248,0
EURUSD,severity,248,0
EURUSD,confirmation_retention,248,33
EURUSD,spread_efficiency_interaction,248,0
EURUSD,flow_efficiency_interaction,248,0
GBPUSD,spread_atr5,417,0
GBPUSD,tick_activity_ratio,417,0
GBPUSD,pre_return_5m_dir_atr,417,0
GBPUSD,m5_ema20_slope_dir_atr,417,0
GBPUSD,m15_alignment_dir,417,0
GBPUSD,pre_extension_15m_dir_atr,417,0
GBPUSD,day_range_position_dir,417,0
GBPUSD,detection_efficiency,417,0
GBPUSD,severity,417,0
GBPUSD,confirmation_retention,417,74
GBPUSD,spread_efficiency_interaction,417,0
GBPUSD,flow_efficiency_interaction,417,0
USDCAD,spread_atr5,647,0
USDCAD,tick_activity_ratio,647,0
USDCAD,pre_return_5m_dir_atr,647,0
USDCAD,m5_ema20_slope_dir_atr,647,0
USDCAD,m15_alignment_dir,647,0
USDCAD,pre_extension_15m_dir_atr,647,0
USDCAD,day_range_position_dir,647,0
USDCAD,detection_efficiency,647,0
USDCAD,severity,647,0
USDCAD,confirmation_retention,647,104
USDCAD,spread_efficiency_interaction,647,0
USDCAD,flow_efficiency_interaction,647,0
USDCHF,spread_atr5,314,0
USDCHF,tick_activity_ratio,314,0
USDCHF,pre_return_5m_dir_atr,314,0
USDCHF,m5_ema20_slope_dir_atr,314,0
USDCHF,m15_alignment_dir,314,0
USDCHF,pre_extension_15m_dir_atr,314,0
USDCHF,day_range_position_dir,314,0
USDCHF,detection_efficiency,314,0
USDCHF,severity,314,0
USDCHF,confirmation_retention,314,101
USDCHF,spread_efficiency_interaction,314,0
USDCHF,flow_efficiency_interaction,314,0
USDJPY,spread_atr5,1018,0
USDJPY,tick_activity_ratio,1018,0
USDJPY,pre_return_5m_dir_atr,1018,0
USDJPY,m5_ema20_slope_dir_atr,1018,0
USDJPY,m15_alignment_dir,1018,3
USDJPY,pre_extension_15m_dir_atr,1018,0
USDJPY,day_range_position_dir,1018,0
USDJPY,detection_efficiency,1018,0
USDJPY,severity,1018,0
USDJPY,confirmation_retention,1018,135
USDJPY,spread_efficiency_interaction,1018,0
USDJPY,flow_efficiency_interaction,1018,0
