policy,model,fold,train_rows,test_rows,selected,hyperparameter,threshold,inner_policy_value,purge_ms
LIQUIDITY_ONLY,LOGISTIC,0,295,302,0,0.1,0.45,0.0,900250
LIQUIDITY_ONLY,LOGISTIC,1,599,308,14,0.1,0.35,0.018695175416666668,900250
LIQUIDITY_ONLY,LOGISTIC,2,906,308,0,0.1,0.35,0.0,900250
LIQUIDITY_ONLY,LOGISTIC,3,1213,299,0,0.1,0.35,0.0,900250
LIQUIDITY_ONLY,LOGISTIC,4,1514,304,0,0.1,0.35,0.0,900250
LIQUIDITY_ONLY,TREE,0,295,302,0,"(1, 100)",0.35,0.0,900250
LIQUIDITY_ONLY,TREE,1,599,308,0,"(1, 100)",0.35,0.0,900250
LIQUIDITY_ONLY,TREE,2,906,308,0,"(1, 100)",0.35,0.0,900250
LIQUIDITY_ONLY,TREE,3,1213,299,0,"(2, 100)",0.35,0.018284357860082305,900250
LIQUIDITY_ONLY,TREE,4,1514,304,0,"(1, 100)",0.35,0.0,900250
PRE_CONTEXT,LOGISTIC,0,295,302,0,0.1,0.55,0.0,900250
PRE_CONTEXT,LOGISTIC,1,599,308,0,0.1,0.45,0.0,900250
PRE_CONTEXT,LOGISTIC,2,906,308,0,0.1,0.45,0.0,900250
PRE_CONTEXT,LOGISTIC,3,1213,299,0,0.1,0.35,0.0,900250
PRE_CONTEXT,LOGISTIC,4,1514,304,0,0.1,0.35,0.0,900250
PRE_CONTEXT,TREE,0,295,302,0,"(1, 100)",0.45,0.0,900250
PRE_CONTEXT,TREE,1,599,308,0,"(1, 100)",0.45,0.0,900250
PRE_CONTEXT,TREE,2,906,308,0,"(1, 100)",0.45,0.0,900250
PRE_CONTEXT,TREE,3,1213,299,0,"(1, 100)",0.45,0.0,900250
PRE_CONTEXT,TREE,4,1514,304,0,"(1, 100)",0.45,0.0,900250
DETECTION_SHAPE,LOGISTIC,0,295,302,2,0.1,0.45,0.0,900250
DETECTION_SHAPE,LOGISTIC,1,599,308,1,0.1,0.5,0.0,900250
DETECTION_SHAPE,LOGISTIC,2,906,308,2,1.0,0.35,-0.0033432596703296706,900250
DETECTION_SHAPE,LOGISTIC,3,1213,299,0,0.1,0.45,0.0,900250
DETECTION_SHAPE,LOGISTIC,4,1514,304,0,0.1,0.45,0.0,900250
DETECTION_SHAPE,TREE,0,295,302,0,"(1, 100)",0.35,0.0,900250
DETECTION_SHAPE,TREE,1,599,308,0,"(1, 100)",0.45,0.0,900250
DETECTION_SHAPE,TREE,2,906,308,0,"(1, 100)",0.35,0.0,900250
DETECTION_SHAPE,TREE,3,1213,299,0,"(1, 100)",0.35,0.0,900250
DETECTION_SHAPE,TREE,4,1514,304,0,"(1, 100)",0.35,0.0,900250
COMBINED,LOGISTIC,0,295,302,1,0.1,0.55,0.0,900250
COMBINED,LOGISTIC,1,599,308,0,0.1,0.5,0.0,900250
COMBINED,LOGISTIC,2,906,308,0,0.1,0.45,0.0,900250
COMBINED,LOGISTIC,3,1213,299,8,1.0,0.35,0.0090239953909465,900250
COMBINED,LOGISTIC,4,1514,304,0,0.1,0.45,0.0,900250
COMBINED,TREE,0,295,302,0,"(1, 100)",0.45,0.0,900250
COMBINED,TREE,1,599,308,0,"(1, 100)",0.45,0.0,900250
COMBINED,TREE,2,906,308,0,"(1, 100)",0.45,0.0,900250
COMBINED,TREE,3,1213,299,0,"(1, 100)",0.35,0.0,900250
COMBINED,TREE,4,1514,304,0,"(1, 100)",0.35,0.0,900250
