trial_id,feature_set,model,hyperparameters,thresholds,primary_cost,primary_horizon_seconds,primary_delay_ms,status
TS15H-LIQUIDITY_ONLY-LOGISTIC_L2,LIQUIDITY_ONLY,LOGISTIC_L2,C=0.1|1|10,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-LIQUIDITY_ONLY-TREE_DEPTH2,LIQUIDITY_ONLY,TREE_DEPTH2,depth_leaf=1_100|2_100|2_200,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-PRE_CONTEXT-LOGISTIC_L2,PRE_CONTEXT,LOGISTIC_L2,C=0.1|1|10,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-PRE_CONTEXT-TREE_DEPTH2,PRE_CONTEXT,TREE_DEPTH2,depth_leaf=1_100|2_100|2_200,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-DETECTION_SHAPE-LOGISTIC_L2,DETECTION_SHAPE,LOGISTIC_L2,C=0.1|1|10,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-DETECTION_SHAPE-TREE_DEPTH2,DETECTION_SHAPE,TREE_DEPTH2,depth_leaf=1_100|2_100|2_200,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-COMBINED-LOGISTIC_L2,COMBINED,LOGISTIC_L2,C=0.1|1|10,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
TS15H-COMBINED-TREE_DEPTH2,COMBINED,TREE_DEPTH2,depth_leaf=1_100|2_100|2_200,0.35|0.45|0.50|0.55|0.65,C2,900,0,PREREGISTERED
