requested_delay_ms,horizon_seconds,result,rows,median_entry_delay_ms,mean_c0_r,mean_c2_r
0,300,SL_FIRST,496,158.5,-1.0479189658064516,-1.1400466591330645
0,300,TIMEOUT,2526,199.0,-0.1835414382145685,-0.26840097294140935
0,300,TP_FIRST,129,100.0,1.2045766074418605,1.1146091321705427
0,600,SL_FIRST,810,159.0,-1.050867831765432,-1.1415149071851851
0,600,TIMEOUT,2101,204.0,-0.1277169032460733,-0.21204521601142312
0,600,TP_FIRST,240,134.0,1.2048084720833332,1.1152734582916668
0,900,INVALID_PATH,637,233.0,,
0,900,SL_FIRST,1007,159.0,-1.0477444127805362,-1.1379423134359483
0,900,TIMEOUT,1152,211.0,-0.11157030094618056,-0.19571304470486112
0,900,TP_FIRST,355,143.0,1.205020279577465,1.1162324434366198
100,300,SL_FIRST,497,254.0,-1.0473150909255533,-1.1396901314889336
100,300,TIMEOUT,2527,322.0,-0.18254778129402452,-0.267409459984171
100,300,TP_FIRST,127,272.0,1.204703309055118,1.1153259197637797
100,600,SL_FIRST,806,263.5,-1.0500039770967742,-1.1409348980148883
100,600,TIMEOUT,2103,342.0,-0.12860938189728957,-0.21291061319068
100,600,TP_FIRST,242,266.0,1.2048365565289254,1.1155998205371902
100,900,INVALID_PATH,641,424.0,,
100,900,SL_FIRST,1001,272.0,-1.0474212153346654,-1.1378913807892108
100,900,TIMEOUT,1156,334.5,-0.11162904932525951,-0.1957680965916955
100,900,TP_FIRST,353,267.0,1.2050384407648724,1.1165128053824362
250,300,SL_FIRST,487,444.0,-1.0456283082135525,-1.1373872777002052
250,300,TIMEOUT,2537,567.0,-0.18298293232558138,-0.2678830050059125
250,300,TP_FIRST,127,384.0,1.204942446456693,1.1153927596850395
250,600,SL_FIRST,808,458.5,-1.0479214017574257,-1.138490091200495
250,600,TIMEOUT,2102,588.5,-0.12659093713130354,-0.2108601854138915
250,600,TP_FIRST,241,422.0,1.2049933191286306,1.115541061286307
250,900,INVALID_PATH,645,681.0,,
250,900,SL_FIRST,998,457.0,-1.0458370871743488,-1.136055325250501
250,900,TIMEOUT,1158,588.5,-0.10782645251295336,-0.19194028593264248
250,900,TP_FIRST,350,425.5,1.205065878942857,1.1165289464285715
