symbol,shock_direction,feature_status,result,episodes
AUDUSD,LONG,AVAILABLE,INVALID_PATH,62
AUDUSD,LONG,AVAILABLE,SL_FIRST,25
AUDUSD,LONG,AVAILABLE,TIMEOUT,115
AUDUSD,LONG,AVAILABLE,TP_FIRST,4
AUDUSD,LONG,EXCLUDED,INVALID_PATH,14
AUDUSD,LONG,EXCLUDED,SL_FIRST,5
AUDUSD,LONG,EXCLUDED,TIMEOUT,27
AUDUSD,SHORT,AVAILABLE,INVALID_PATH,58
AUDUSD,SHORT,AVAILABLE,SL_FIRST,19
AUDUSD,SHORT,AVAILABLE,TIMEOUT,136
AUDUSD,SHORT,AVAILABLE,TP_FIRST,2
AUDUSD,SHORT,EXCLUDED,INVALID_PATH,9
AUDUSD,SHORT,EXCLUDED,SL_FIRST,5
AUDUSD,SHORT,EXCLUDED,TIMEOUT,25
AUDUSD,SHORT,EXCLUDED,TP_FIRST,1
EURUSD,LONG,AVAILABLE,INVALID_PATH,6
EURUSD,LONG,AVAILABLE,SL_FIRST,51
EURUSD,LONG,AVAILABLE,TIMEOUT,19
EURUSD,LONG,AVAILABLE,TP_FIRST,17
EURUSD,LONG,EXCLUDED,INVALID_PATH,3
EURUSD,LONG,EXCLUDED,SL_FIRST,8
EURUSD,LONG,EXCLUDED,TIMEOUT,4
EURUSD,LONG,EXCLUDED,TP_FIRST,2
EURUSD,SHORT,AVAILABLE,INVALID_PATH,9
EURUSD,SHORT,AVAILABLE,SL_FIRST,55
EURUSD,SHORT,AVAILABLE,TIMEOUT,35
EURUSD,SHORT,AVAILABLE,TP_FIRST,23
EURUSD,SHORT,EXCLUDED,INVALID_PATH,1
EURUSD,SHORT,EXCLUDED,SL_FIRST,7
EURUSD,SHORT,EXCLUDED,TIMEOUT,6
EURUSD,SHORT,EXCLUDED,TP_FIRST,2
GBPUSD,LONG,AVAILABLE,INVALID_PATH,30
GBPUSD,LONG,AVAILABLE,SL_FIRST,54
GBPUSD,LONG,AVAILABLE,TIMEOUT,66
GBPUSD,LONG,AVAILABLE,TP_FIRST,13
GBPUSD,LONG,EXCLUDED,INVALID_PATH,8
GBPUSD,LONG,EXCLUDED,SL_FIRST,9
GBPUSD,LONG,EXCLUDED,TIMEOUT,8
GBPUSD,LONG,EXCLUDED,TP_FIRST,5
GBPUSD,SHORT,AVAILABLE,INVALID_PATH,28
GBPUSD,SHORT,AVAILABLE,SL_FIRST,61
GBPUSD,SHORT,AVAILABLE,TIMEOUT,76
GBPUSD,SHORT,AVAILABLE,TP_FIRST,15
GBPUSD,SHORT,EXCLUDED,INVALID_PATH,10
GBPUSD,SHORT,EXCLUDED,SL_FIRST,15
GBPUSD,SHORT,EXCLUDED,TIMEOUT,17
GBPUSD,SHORT,EXCLUDED,TP_FIRST,2
USDCAD,LONG,AVAILABLE,INVALID_PATH,75
USDCAD,LONG,AVAILABLE,SL_FIRST,54
USDCAD,LONG,AVAILABLE,TIMEOUT,121
USDCAD,LONG,AVAILABLE,TP_FIRST,16
USDCAD,LONG,EXCLUDED,INVALID_PATH,19
USDCAD,LONG,EXCLUDED,SL_FIRST,10
USDCAD,LONG,EXCLUDED,TIMEOUT,24
USDCAD,LONG,EXCLUDED,TP_FIRST,2
USDCAD,SHORT,AVAILABLE,INVALID_PATH,80
USDCAD,SHORT,AVAILABLE,SL_FIRST,49
USDCAD,SHORT,AVAILABLE,TIMEOUT,136
USDCAD,SHORT,AVAILABLE,TP_FIRST,12
USDCAD,SHORT,EXCLUDED,INVALID_PATH,19
USDCAD,SHORT,EXCLUDED,SL_FIRST,5
USDCAD,SHORT,EXCLUDED,TIMEOUT,21
USDCAD,SHORT,EXCLUDED,TP_FIRST,4
USDCHF,LONG,AVAILABLE,INVALID_PATH,22
USDCHF,LONG,AVAILABLE,SL_FIRST,23
USDCHF,LONG,AVAILABLE,TIMEOUT,71
USDCHF,LONG,AVAILABLE,TP_FIRST,3
USDCHF,LONG,EXCLUDED,INVALID_PATH,14
USDCHF,LONG,EXCLUDED,SL_FIRST,10
USDCHF,LONG,EXCLUDED,TIMEOUT,29
USDCHF,LONG,EXCLUDED,TP_FIRST,1
USDCHF,SHORT,AVAILABLE,INVALID_PATH,22
USDCHF,SHORT,AVAILABLE,SL_FIRST,16
USDCHF,SHORT,AVAILABLE,TIMEOUT,55
USDCHF,SHORT,AVAILABLE,TP_FIRST,1
USDCHF,SHORT,EXCLUDED,INVALID_PATH,12
USDCHF,SHORT,EXCLUDED,SL_FIRST,9
USDCHF,SHORT,EXCLUDED,TIMEOUT,25
USDCHF,SHORT,EXCLUDED,TP_FIRST,1
USDJPY,LONG,AVAILABLE,INVALID_PATH,63
USDJPY,LONG,AVAILABLE,SL_FIRST,223
USDJPY,LONG,AVAILABLE,TIMEOUT,61
USDJPY,LONG,AVAILABLE,TP_FIRST,98
USDJPY,LONG,EXCLUDED,INVALID_PATH,6
USDJPY,LONG,EXCLUDED,SL_FIRST,39
USDJPY,LONG,EXCLUDED,TIMEOUT,15
USDJPY,LONG,EXCLUDED,TP_FIRST,14
USDJPY,SHORT,AVAILABLE,INVALID_PATH,57
USDJPY,SHORT,AVAILABLE,SL_FIRST,228
USDJPY,SHORT,AVAILABLE,TIMEOUT,49
USDJPY,SHORT,AVAILABLE,TP_FIRST,101
USDJPY,SHORT,EXCLUDED,INVALID_PATH,10
USDJPY,SHORT,EXCLUDED,SL_FIRST,27
USDJPY,SHORT,EXCLUDED,TIMEOUT,11
USDJPY,SHORT,EXCLUDED,TP_FIRST,16
