fold,clusters,test_start_msc,purge_cutoff_msc
0,285,1741280126036,1741279225786
1,285,1741692213099,1741691312849
2,285,1741953241181,1741952340931
3,285,1742471063896,1742470163646
4,284,1743001822292,1743000922042
